   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.75631 	0.375673	0.284107	1       	4       	2.7     	1.04403 
1  	98    	0       	0.75631 	0.427097	0.264629	1       	5       	2.91    	1.09631 
2  	96    	0       	0.75631 	0.491658	0.220709	1       	5       	2.71    	1.07047 
3  	92    	0       	0.784129	0.553731	0.174493	1       	4       	2.64    	1.09105 
4  	92    	0       	0.78748 	0.533659	0.231887	1       	5       	2.69    	1.09266 
5  	95    	0       	0.78748 	0.603995	0.176075	1       	5       	2.66    	1.16808 
6  	94    	0       	0.78748 	0.547497	0.260722	1       	5       	2.91    	1.14974 
7  	98    	0       	0.791762	0.625596	0.199967	1       	4       	2.71    	1.14276 
8  	95    	0       	0.791762	0.412481	0.33806 	1       	5       	2.71    	1.14276 
--- 43225.04398393631 sec ---
