   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std      	min     	max     	avg     	std     
0  	100   	0       	0.205969	0.0649146	0.0681362	1       	5       	2.57    	1.14241 
1  	84    	0       	0.204552	0.0888076	0.0636782	1       	5       	2.29    	1.1072  
2  	79    	0       	0.214597	0.114798 	0.0598886	1       	4       	2.07    	1.00255 
3  	79    	0       	0.214597	0.133183 	0.0562698	1       	4       	2.18    	1.04288 
4  	80    	0       	0.217283	0.144139 	0.0466343	1       	4       	2.18    	1.06189 
5  	73    	0       	0.230301	0.153608 	0.0491813	1       	5       	2       	1.03923 
6  	75    	0       	0.230301	0.154184 	0.062087 	1       	5       	1.9     	0.964365
7  	78    	0       	0.230301	0.160284 	0.0603393	1       	5       	1.83    	0.990505
8  	82    	0       	0.230301	0.168277 	0.0547054	1       	5       	1.85    	1.02347 
9  	80    	0       	0.230301	0.164668 	0.0668056	1       	5       	1.98    	1.05811 
10 	72    	0       	0.230301	0.107045 	0.097467 	1       	4       	1.79    	0.919728
--- 3615.8525264263153 sec ---
