   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std      	min     	max     	avg     	std     
0  	100   	0       	0.188807	0.060887	0.0611523	1       	5       	2.78    	1.16258 
1  	70    	0       	0.188807	0.0903452	0.0599875	1       	5       	2.62    	1.12054 
2  	77    	0       	0.188807	0.121271 	0.053469 	1       	5       	2.8     	1.16619 
3  	75    	0       	0.190828	0.134668 	0.0548351	1       	5       	2.7     	1.14455 
4  	76    	0       	0.201749	0.151591 	0.0504235	1       	5       	2.76    	1.17576 
5  	75    	0       	0.201749	0.152138 	0.0520941	1       	5       	2.52    	1.06283 
6  	69    	0       	0.204907	0.155389 	0.0512883	1       	5       	2.53    	0.963898
7  	72    	0       	0.205626	0.158452 	0.0540973	1       	4       	2.44    	0.897998
8  	70    	0       	0.205626	0.156232 	0.0624258	1       	5       	2.58    	0.814616
9  	71    	0       	0.205626	0.152778 	0.0633451	1       	5       	2.59    	0.939095
10 	64    	0       	0.205626	0.17222  	0.0361585	1       	4       	2.42    	0.826801
11 	55    	0       	0.205626	0.170619 	0.0426758	1       	4       	2.46    	0.887919
12 	70    	0       	0.207038	0.162604 	0.0599541	1       	5       	2.59    	1.0686  
13 	60    	0       	0.207038	0.158049 	0.0619141	1       	5       	2.39    	1.06672 
14 	62    	0       	0.207038	0.160858 	0.0618748	1       	5       	2.45    	1.01366 
15 	77    	0       	0.207038	0.165721 	0.0539872	1       	5       	2.4     	1.00995 
16 	64    	0       	0.207038	0.165136 	0.0549761	1       	5       	2.47    	1.01445 
--- 3601.290149450302 sec ---
