   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std     	min     	max     	avg     	std     
0  	100   	0       	0.193206	0.0624619	0.05682 	1       	5       	2.53    	1.18706 
1  	89    	0       	0.193206	0.083279 	0.0574384	1       	5       	2.25    	1.06184 
2  	84    	0       	0.193206	0.10812  	0.0505626	1       	5       	2.12    	1.10707 
3  	81    	0       	0.21112 	0.124457 	0.0448174	1       	5       	1.96    	1.03846 
4  	68    	0       	0.21112 	0.137321 	0.0516332	1       	4       	1.82    	1.00379 
5  	72    	0       	0.21112 	0.145361 	0.0469954	1       	4       	1.76    	0.970773
6  	61    	0       	0.21112 	0.155077 	0.0552799	1       	5       	2.01    	1.11799 
7  	49    	0       	0.21112 	0.157065 	0.0636774	1       	4       	1.86    	1.01015 
8  	47    	0       	0.21112 	0.168142 	0.0480317	1       	4       	1.62    	0.935735
9  	44    	0       	0.223872	0.159942 	0.0713446	1       	5       	1.9     	1.1619  
--- 3613.500482559204 sec ---
