   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.969314	0.584356	0.436431	1       	4       	2.7     	1.04403 
1  	89    	0       	0.969314	0.833719	0.292264	1       	4       	2.77    	0.998549
2  	76    	0       	0.970799	0.81304 	0.316637	1       	4       	2.63    	0.996544
3  	77    	0       	0.970799	0.852018	0.279443	1       	5       	2.58    	1.0018  
4  	86    	0       	0.972439	0.862763	0.278931	1       	5       	2.57    	1.0794  
5  	78    	0       	0.972439	0.894116	0.231544	1       	4       	2.74    	1.08277 
6  	83    	0       	0.972439	0.88157 	0.251082	1       	4       	2.63    	1.11045 
7  	73    	0       	0.972439	0.899564	0.230112	1       	4       	2.78    	1.06377 
8  	70    	0       	0.972439	0.895505	0.231849	1       	5       	3       	1.03923 
9  	76    	0       	0.972439	0.869351	0.277699	1       	5       	3.1     	0.964365
10 	73    	0       	0.972439	0.89008 	0.248903	1       	5       	3.08    	0.96623 
11 	68    	0       	0.972439	0.841938	0.305492	1       	5       	2.97    	0.888313
12 	68    	0       	0.972439	0.95206 	0.0984817	1       	4       	3.02    	0.748064
13 	72    	0       	0.972439	0.916133	0.198139 	1       	4       	3.17    	0.693614
14 	61    	0       	0.972439	0.859456	0.302354 	1       	5       	3.28    	0.722219
15 	73    	0       	0.972439	0.919208	0.197355 	2       	5       	3.35    	0.668954
16 	64    	0       	0.972439	0.910615	0.215438 	1       	5       	3.25    	0.726292
17 	64    	0       	0.972439	0.900309	0.233387 	1       	4       	3.24    	0.801499
18 	60    	0       	0.972439	0.885259	0.263383 	1       	4       	3.08    	0.744043
19 	64    	0       	0.972439	0.849407	0.306522 	2       	4       	3.18    	0.698284
20 	70    	0       	0.972439	0.866644	0.290032 	1       	5       	3.16    	0.856971
21 	69    	0       	0.972439	0.932404	0.155293 	2       	4       	3.15    	0.804674
22 	69    	0       	0.974078	0.903355	0.233076 	2       	5       	3.27    	0.798185
23 	69    	0       	0.974078	0.903854	0.219549 	1       	5       	3.22    	0.855336
24 	71    	0       	0.974078	0.932816	0.166003 	1       	5       	3.24    	0.81388 
25 	73    	0       	0.974078	0.89435 	0.23953  	1       	5       	3.25    	0.876071
26 	75    	0       	0.974078	0.844271	0.315604 	2       	5       	3.42    	0.814616
27 	62    	0       	0.974078	0.855092	0.304366 	2       	5       	3.46    	0.726911
28 	61    	0       	0.974078	0.889337	0.262626 	1       	5       	3.4     	0.787401
29 	68    	0       	0.974078	0.834108	0.326913 	2       	5       	3.54    	0.669627
30 	58    	0       	0.974078	0.855287	0.304673 	1       	4       	3.47    	0.573672
31 	67    	0       	0.974078	0.753399	0.400376 	1       	5       	3.41    	0.69419 
32 	55    	0       	0.974078	0.84053 	0.325517 	1       	5       	3.53    	0.655057
33 	56    	0       	0.974078	0.815963	0.346345 	2       	5       	3.55    	0.68374 
34 	45    	0       	0.974078	0.827635	0.335947 	1       	5       	3.45    	0.71239 
35 	49    	0       	0.974078	0.847867	0.316735 	1       	5       	3.43    	0.764918
36 	49    	0       	0.974078	0.818689	0.347301 	1       	5       	3.25    	0.792149
37 	54    	0       	0.974078	0.758749	0.394313 	1       	5       	3.32    	0.810925
38 	54    	0       	0.974078	0.847484	0.316079 	2       	4       	3.27    	0.732871
39 	51    	0       	0.974078	0.899704	0.247517 	1       	5       	3.37    	0.77013 
40 	56    	0       	0.974078	0.793677	0.372154 	1       	5       	3.41    	0.7496  
41 	65    	0       	0.974078	0.750793	0.399836 	1       	5       	3.43    	0.724638
42 	62    	0       	0.974078	0.797541	0.357187 	1       	5       	3.35    	0.753326
43 	61    	0       	0.974078	0.837374	0.319524 	1       	5       	3.33    	0.788099
44 	45    	0       	0.974078	0.82946 	0.337959 	1       	5       	3.38    	0.784602
45 	45    	0       	0.974078	0.856537	0.30569  	2       	5       	3.39    	0.676683
46 	52    	0       	0.974078	0.828118	0.337606 	1       	5       	3.49    	0.685493
47 	44    	0       	0.974078	0.820202	0.340482 	1       	5       	3.41    	0.762824
48 	51    	0       	0.974078	0.874646	0.28012  	2       	5       	3.43    	0.651997
49 	58    	0       	0.974078	0.754441	0.401183 	2       	4       	3.56    	0.588558
50 	60    	0       	0.974078	0.80246 	0.35425  	1       	4       	3.47    	0.670149
51 	55    	0       	0.974078	0.800426	0.363066 	2       	4       	3.59    	0.584722
52 	42    	0       	0.974078	0.806831	0.355509 	1       	4       	3.48    	0.670522
53 	57    	0       	0.974078	0.740135	0.407304 	1       	4       	3.62    	0.612862
54 	60    	0       	0.974078	0.78294 	0.37935  	1       	5       	3.52    	0.670522
55 	55    	0       	0.974078	0.836551	0.326948 	1       	4       	3.45    	0.698212
56 	54    	0       	0.974078	0.827556	0.336515 	1       	5       	3.47    	0.699357
