   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.934412	0.392005	0.323486	1       	5       	2.78    	1.07313 
1  	64    	0       	0.979111	0.541501	0.289769	1       	5       	2.68    	1.15655 
2  	86    	0       	0.979111	0.60905 	0.313804	1       	5       	2.73    	1.04743 
3  	72    	0       	0.979111	0.671958	0.30497 	1       	4       	2.67    	1.03976 
4  	69    	0       	0.979111	0.729827	0.277708	1       	5       	2.54    	0.899111
5  	79    	0       	0.979111	0.775894	0.257717	1       	4       	2.43    	0.827708
6  	72    	0       	0.979111	0.797552	0.240846	1       	5       	2.4     	0.916515
7  	72    	0       	0.979111	0.809517	0.254015	1       	5       	2.36    	0.954149
8  	60    	0       	0.979111	0.854173	0.215333	1       	5       	2.14    	0.663626
9  	76    	0       	0.979111	0.888277	0.154608	1       	4       	2.08    	0.594643
10 	70    	0       	0.982188	0.900965	0.184082	1       	4       	2.1     	0.591608
11 	55    	0       	0.982188	0.878606	0.232296	1       	4       	2.05    	0.589491
12 	62    	0       	0.982188	0.887833	0.205979	1       	4       	2.03    	0.639609
13 	48    	0       	0.982188	0.915603	0.186238	1       	4       	1.94    	0.562494
14 	52    	0       	0.982188	0.882369	0.254459	1       	4       	2       	0.663325
15 	49    	0       	0.982278	0.887139	0.225407	1       	4       	1.99    	0.670746
16 	50    	0       	0.982278	0.884918	0.259399	1       	3       	1.93    	0.474447
17 	42    	0       	0.982278	0.913568	0.214286	1       	4       	2.08    	0.523068
18 	27    	0       	0.985353	0.937766	0.164728	1       	4       	2.09    	0.402368
19 	20    	0       	0.985353	0.927368	0.182329	2       	4       	2.16    	0.542586
20 	22    	0       	0.985353	0.911176	0.213371	1       	5       	2.14    	0.548088
21 	17    	0       	0.985353	0.941109	0.158376	1       	4       	2.05    	0.357071
22 	32    	0       	0.985353	0.906992	0.227814	1       	4       	2.06    	0.395474
23 	26    	0       	0.985353	0.926734	0.18903 	2       	5       	2.07    	0.406325
24 	36    	0       	0.985353	0.93795 	0.134843	1       	4       	2.06    	0.369324
25 	38    	0       	0.985353	0.939074	0.177823	1       	4       	2.01    	0.299833
26 	47    	0       	0.985353	0.911904	0.215935	1       	4       	2.06    	0.395474
27 	28    	0       	0.985353	0.931653	0.180282	1       	5       	2.07    	0.430232
28 	42    	0       	0.985353	0.927412	0.182712	1       	5       	2.13    	0.577148
29 	41    	0       	0.985598	0.917895	0.202474	1       	4       	2.07    	0.474447
30 	32    	0       	0.985598	0.921033	0.181564	1       	4       	2.07    	0.406325
31 	34    	0       	0.985598	0.909779	0.215235	1       	5       	2.07    	0.45288 
32 	33    	0       	0.985598	0.89619 	0.232045	1       	4       	2.01    	0.264386
33 	35    	0       	0.985598	0.914879	0.21606 	2       	4       	2.14    	0.424735
34 	37    	0       	0.985598	0.812847	0.359395	2       	5       	2.2     	0.632456
--- 3602.1070647239685 sec ---
