pipeline	fitness	fit_time
randomForest(18,'entropy','sqrt',12,12,False,'balanced_subsample')	0.7187758068489776	0.3831329345703125
minMaxScaler();qda(0.9935430415726941)	0.5	0.22836613655090332
kNN(2,'uniform',2)	0.5498672086720867	0.2155904769897461
minMaxScaler();randomOverSampler('not majority');passiveAggressiveClassifier(True,'hinge',0.7696769233615699)	0.6165959595959596	0.18005800247192383
bernoulliNB(1.505733687781938,False)	0.7181845282089185	0.1472008228302002
qda(0.7288404975962923)	0.6163628972653363	0.2206108570098877
randomUnderSampler('not majority',False);minMaxScaler();varianceThreshold();adaBoost(46,0.023371504633890244,'SAMME',5)	0.5	0.7806737422943115
maxAbsScaler();maxAbsScaler();decisionTree('gini',0.7069162336894226,8,0.6265900851958079,15,'balanced')	invalid_ind	invalid_ind
randomOverSampler('not minority');lda(0.19064305910167811,219,0.00015822712516803784)	invalid_ind	invalid_ind
smoteTomek('minority');bernoulliNB(0.10286472363063233,True)	0.6815851194875585	0.29618120193481445
qda(0.5725067754107345)	0.6386060606060605	0.21999716758728027
simpleImputer('median');smote('not majority',2);normalizer('max');decisionTree('gini',1.8631326091006168,4,0.9657737950039332,17,'None')	0.6375652870165066	0.21576857566833496
pca(0.7859117038034326,True);rbfSampler(0.06390367953156907,75);gaussianNB(2.9119186963333185e-09)	0.535119980290712	0.24994850158691406
fastICA(9,'deflation',False,'exp');randomUnderSampler('minority',False);pca(0.9869385617841194,True);logisticRegression('l2',True,14.096122742000226,'None')	invalid_ind	invalid_ind
randomForest(53,'gini','sqrt',11,10,False,'None')	0.5914864498644986	0.6972684860229492
multinomialNB(0.9999588255190095,True)	0.5700061591525006	0.15116190910339355
varianceThreshold();multinomialNB(99.14120826350836,True)	0.505	0.1595323085784912
rbfSampler(0.025216264922572545,51);minMaxScaler();passiveAggressiveClassifier(True,'hinge',7.46648322951792e-05)	0.5	0.21406149864196777
knnImputer('median','uniform',8);linearSvc('l2','squared_hinge',True,0.00013166352989844423,0.0003556538216376541,'balanced')	0.528489898989899	0.42993974685668945
smote('not majority',2);minMaxScaler();qda(0.5468527450605734)	0.6977410692288741	0.25629615783691406
extraTreesClassifier(51,'entropy','log2',18,19,False,'None')	0.5043679477703867	0.6073360443115234
lda(0.05066508464227448,15,3.852017137351399e-05)	invalid_ind	invalid_ind
varianceThreshold();robustScaler(True,False);extraTreesClassifier(45,'entropy','sqrt',5,1,False,'None')	0.6764300320275931	0.708071231842041
varianceThreshold();qda(0.49975745789808235)	0.6367381128356737	0.21426081657409668
pca(0.9144009303472067,False);adaBoost(85,0.8166918011754508,'SAMME',10)	0.5144822616407982	1.1696562767028809
minMaxScaler();standardScaler(False,True);passiveAggressiveClassifier(True,'squared_hinge',0.003750603866769089)	0.6432244395171225	0.1544196605682373
randomOverSampler('not majority');maxAbsScaler();selectPercentile(28.31004112577202);qda(0.2218908144527063)	0.6922458733678246	0.19218969345092773
normalizer('l2');randomForest(92,'entropy','log2',5,1,True,'None')	0.649079822616408	2.033491373062134
selectPercentile(22.204598273372373);kNN(9,'uniform',2)	0.5728930771125894	0.22027301788330078
knnImputer('mean','uniform',10);varianceThreshold();varianceThreshold();passiveAggressiveClassifier(False,'hinge',0.27604811245579225)	invalid_ind	invalid_ind
randomUnderSampler('not majority',False);varianceThreshold();varianceThreshold();decisionTree('entropy',1.5463395265669093,13,0.4827940946987822,3,'balanced')	invalid_ind	invalid_ind
truncatedSVD(98,'arpack');logisticRegression('l2',True,0.013598002682457826,'None')	invalid_ind	invalid_ind
linearSvc('l2','hinge',True,4.0297625402356175e-05,0.03352967503389113,'balanced')	0.4995	0.4302787780761719
randomOverSampler('not majority');passiveAggressiveClassifier(False,'squared_hinge',0.0001978185605439674)	0.501010101010101	0.1695716381072998
featureAgglomeration(21,'manhattan','average');minMaxScaler();mlpClassifier(0.00035584374501125056,0.024689418425158025,'sgd','logistic')	0.6348669623059866	5.591598749160767
minMaxScaler();minMaxScaler();knnImputer('most_frequent','distance',9);bernoulliNB(16.456152591454323,True)	invalid_ind	invalid_ind
varianceThreshold();randomOverSampler('not minority');maxAbsScaler();extraTreesClassifier(57,'entropy','log2',8,14,True,'balanced_subsample')	0.7208897511702389	0.9705305099487305
decisionTree('entropy',1.3184747411022735,14,0.27780906140515593,17,'None')	0.5045	0.14370179176330566
pca(0.8736126142363712,False);adaBoost(82,0.6090889736637566,'SAMME.R',9)	0.5140125646711012	1.3096425533294678
logisticRegression('l2',True,0.0036941577708739554,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();decisionTree('gini',0.41022665624838184,4,0.5452465241608012,3,'balanced')	0.5	0.14462590217590332
minMaxScaler();decisionTree('gini',1.8848776339321656,20,0.25310774964924954,8,'balanced')	0.523339738851934	0.16022658348083496
varianceThreshold();standardScaler(True,True);sgdClassifier('squared_hinge',7.4985214867856795e-06,4.971848349158223e-07,1.7273069847470573e-05,0.023846561470034354,9.433846532617937e-05,0.2456940778717269,True,'None')	0.6819833702882484	0.20679092407226562
truncatedSVD(28,'arpack');randomUnderSampler('not minority',False);bernoulliNB(0.6216355450954311,False)	0.5356837891106184	0.2145247459411621
randomOverSampler('not minority');kNN(35,'distance',2)	0.5149010840108401	0.19471025466918945
minMaxScaler();maxAbsScaler();adaBoost(91,0.010240890785000623,'SAMME.R',7)	0.5	1.5463488101959229
minMaxScaler();pca(0.9167990849580656,True);multinomialNB(16.95277245475506,True)	invalid_ind	invalid_ind
rbfSampler(0.6204799590496496,85);truncatedSVD(106,'randomized');normalizer('l2');decisionTree('entropy',1.8149657285999612,15,0.48490306870164945,13,'balanced')	0.48568539049026854	0.3498234748840332
linearSvc('l1','hinge',False,0.009219739351588957,0.47033640695648493,'None')	invalid_ind	invalid_ind
bernoulliNB(21.804936881166412,False)	0.6139178369056417	0.14584732055664062
maxAbsScaler();featureAgglomeration(9,'euclidean','complete');maxAbsScaler();sgdClassifier('hinge',4.712411621383402e-07,0.0001671121629826086,0.009320937777156962,0.04455386006943953,0.00016205753547367192,0.035562383829641615,True,'None')	invalid_ind	invalid_ind
extraTreesClassifier(91,'gini','log2',9,19,True,'balanced')	0.7056340231584134	1.1208412647247314
varianceThreshold();selectPercentile(86.76657823159597);extraTreesClassifier(23,'gini','log2',18,11,False,'None')	0.5629536831731954	0.3829050064086914
robustScaler(False,False);decisionTree('entropy',0.2360422101224009,18,0.458223882266092,8,'None')	0.5	0.13671374320983887
standardScaler(False,True);pca(0.7202379699452883,False);randomOverSampler('not majority');sgdClassifier('squared_hinge',1.196105143804297e-07,0.13712231159772742,0.0016662898081550948,9.458248148419436e-05,0.0010953365957472722,0.48774698619853596,True,'None')	0.7235214338507021	0.2558417320251465
linearSvc('l1','hinge',False,0.0008874457239477717,0.21862398522841342,'balanced')	invalid_ind	invalid_ind
gaussianNB(1.300136006278865e-05)	0.5433223700418822	0.14384031295776367
nystroem('rbf',0.2632140378136739,75,3,-0.39522231924536366);knnImputer('mean','uniform',5);logisticRegression('l1',False,0.04243051417834111,'None')	invalid_ind	invalid_ind
truncatedSVD(56,'arpack');mlpClassifier(0.000920648953258834,0.11751492399619584,'sgd','logistic')	0.5	0.882512092590332
truncatedSVD(27,'arpack');smote('minority',4);truncatedSVD(10,'randomized');extraTreesClassifier(78,'entropy','sqrt',7,16,False,'balanced')	invalid_ind	invalid_ind
varianceThreshold();maxAbsScaler();decisionTree('entropy',1.8680410301071249,3,0.5947717210461807,6,'balanced')	0.6791905641783691	0.1670222282409668
linearSvc('l2','hinge',False,0.021998769938351658,0.00017913903145935547,'None')	invalid_ind	invalid_ind
standardScaler(False,True);bernoulliNB(2.227154576485615,True)	0.6878210150283322	0.1695244312286377
rbfSampler(0.021746064335900567,52);smote('not majority',2);varianceThreshold();adaBoost(86,0.0526386641974503,'SAMME.R',9)	0.48411554570091153	3.7658183574676514
maxAbsScaler();selectFwe(0.009687755483441696);qda(0.9130713507748887)	0.5	0.16933441162109375
simpleImputer('median');randomUnderSampler('not majority',True);fastICA(64,'parallel',True,'cube');lda(0.8750096891450203,188,0.002284566574089317)	invalid_ind	invalid_ind
mlpClassifier(0.010072670620462802,0.0016579365368039303,'sgd','identity')	0.5	0.7598586082458496
minMaxScaler();varianceThreshold();selectPercentile(16.9162139748801);mlpClassifier(0.006261247647497242,0.3885291507960905,'adam','logistic')	0.5	0.6318907737731934
varianceThreshold();minMaxScaler();standardScaler(True,False);logisticRegression('l2',False,9.053503235621227,'balanced')	0.7061437546193644	0.3507363796234131
minMaxScaler();nystroem('cosine',0.0558157763695651,20,4,0.7127877111458643);pca(0.5277100424960814,True);mlpClassifier(0.010653145770412263,0.01707325229836655,'sgd','relu')	0.6102206208425721	3.8057761192321777
smoteTomek('minority');kNN(4,'uniform',2)	0.5325125646711013	0.36083984375
maxAbsScaler();gaussianNB(5.28768124192023e-05)	0.67920066518847	0.16205477714538574
normalizer('l2');minMaxScaler();linearSvc('l1','squared_hinge',True,0.01901212356841282,1.3864636955305127,'balanced')	invalid_ind	invalid_ind
varianceThreshold();randomForest(20,'gini','log2',17,17,True,'balanced')	0.6948569844789356	0.3899681568145752
multinomialNB(1.2479693833539027,False)	0.5732016506528701	0.14129376411437988
varianceThreshold();minMaxScaler();bernoulliNB(8.49279863661896,True)	0.6477676767676768	0.1593179702758789
maxAbsScaler();extraTreesClassifier(18,'entropy','sqrt',13,1,True,'balanced')	0.7030266075388028	0.39116930961608887
maxAbsScaler();qda(0.10646033598179261)	0.690239837398374	0.21319317817687988
normalizer('l2');adaBoost(59,0.10852038026739833,'SAMME.R',5)	0.5765958364129096	1.3885209560394287
randomUnderSampler('not minority',False);gaussianNB(4.11439275280376e-08)	0.6983468834688347	0.1401195526123047
nystroem('cosine',0.14316173855400866,41,4,0.4861659023092475);maxAbsScaler();minMaxScaler();logisticRegression('l1',True,0.02506769694611636,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();bernoulliNB(0.37379699445580494,False)	0.7255625769894062	0.14911484718322754
minMaxScaler();minMaxScaler();linearSvc('l1','hinge',True,0.05506134256555012,0.12269655709128709,'balanced')	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();linearSvc('l2','hinge',True,0.003916102249133823,0.0008946234443230552,'None')	invalid_ind	invalid_ind
varianceThreshold();nystroem('cosine',0.358399768968202,22,2,0.948536132863804);varianceThreshold();extraTreesClassifier(48,'gini','sqrt',8,7,True,'None')	invalid_ind	invalid_ind
truncatedSVD(11,'randomized');normalizer('l2');randomForest(92,'gini','sqrt',15,5,True,'balanced')	0.5049358216309436	1.6564075946807861
randomOverSampler('not minority');knnImputer('mean','distance',6);minMaxScaler();randomForest(73,'gini','log2',11,17,True,'None')	0.5137459965508746	0.9759933948516846
minMaxScaler();featureAgglomeration(20,'manhattan','average');extraTreesClassifier(13,'entropy','sqrt',3,16,False,'balanced')	0.6795326435082533	0.34540390968322754
varianceThreshold();varianceThreshold();linearSvc('l2','hinge',True,0.009359565113751463,0.016867543107799088,'balanced')	invalid_ind	invalid_ind
knnImputer('most_frequent','distance',5);varianceThreshold();randomOverSampler('not majority');extraTreesClassifier(30,'gini','sqrt',10,15,False,'None')	0.7081033505789603	0.4835011959075928
randomOverSampler('not minority');rbfSampler(0.36608772359178693,98);extraTreesClassifier(64,'entropy','log2',13,18,True,'balanced_subsample')	0.4700875831485588	1.1885097026824951
pca(0.8883875440621036,True);randomOverSampler('not majority');maxAbsScaler();qda(0.48559879407998563)	0.5429067504311407	0.23118162155151367
logisticRegression('l2',False,2.293315887548722,'None')	0.6866558265582656	0.48454737663269043
selectFwe(0.014327010497713878);truncatedSVD(14,'arpack');adaBoost(70,0.055861202925639016,'SAMME.R',7)	0.5436794777038679	1.080195665359497
maxAbsScaler();mlpClassifier(0.004135425198230241,0.01916795109060518,'lbfgs','tanh')	0.6916687607785168	2.6282405853271484
maxAbsScaler();mlpClassifier(0.05290776001846517,0.057890565274062306,'lbfgs','logistic')	0.6936788617886178	6.071415185928345
varianceThreshold();nystroem('cosine',3.723417471566316e-05,21,3,0.7845781184928331);minMaxScaler();multinomialNB(0.07025029684798054,True)	0.5	0.2727510929107666
truncatedSVD(43,'arpack');normalizer('l1');decisionTree('entropy',0.38793312176613504,4,0.253334046893851,12,'None')	0.5	0.21671080589294434
extraTreesClassifier(11,'entropy','sqrt',4,14,True,'None')	0.5588397388519339	0.28299880027770996
bernoulliNB(1.7955167109553438,True)	0.689749938408475	0.14179253578186035
bernoulliNB(8.49279863661896,True)	0.6366028578467603	0.15465641021728516
varianceThreshold();minMaxScaler();kNN(2,'uniform',2)	0.6427567134762258	0.2860758304595947
normalizer('l2');decisionTree('entropy',1.3184747411022735,14,0.27780906140515593,17,'None')	0.5051244148805124	0.15604114532470703
adaBoost(59,0.10852038026739833,'SAMME.R',5)	0.5612097807341709	1.049450397491455
randomOverSampler('not minority');knnImputer('mean','distance',6);bernoulliNB(2.227154576485615,True)	0.6878210150283322	0.17662405967712402
standardScaler(False,True);minMaxScaler();qda(0.37931998782438725)	0.6232324464153731	0.26204967498779297
fastICA(93,'parallel',False,'logcosh');qda(0.10646033598179261)	invalid_ind	invalid_ind
maxAbsScaler();mlpClassifier(0.00026495772169425933,0.11121538620980316,'sgd','relu')	0.6881481892091648	4.365865707397461
bernoulliNB(21.804936881166412,False)	0.6139178369056417	0.1569535732269287
qda(0.5725067754107345)	0.6386060606060605	0.223008394241333
knnImputer('most_frequent','distance',5);featureAgglomeration(12,'cosine','average');randomOverSampler('not majority');extraTreesClassifier(30,'gini','sqrt',10,15,False,'None')	0.5764726533628972	0.5356874465942383
varianceThreshold();extraTreesClassifier(45,'entropy','sqrt',5,1,False,'None')	0.6764300320275931	0.6865885257720947
varianceThreshold();robustScaler(True,False);randomForest(20,'gini','log2',17,17,True,'balanced')	0.6948569844789356	0.4205160140991211
truncatedSVD(43,'arpack');knnImputer('mean','distance',6);minMaxScaler();randomForest(73,'gini','log2',11,17,True,'None')	0.5036752894801675	1.1009364128112793
randomOverSampler('not minority');normalizer('l1');decisionTree('entropy',0.38793312176613504,4,0.253334046893851,12,'None')	0.5	0.16668033599853516
varianceThreshold();minMaxScaler();qda(0.7166764782296982)	0.5225428677014043	0.24403047561645508
maxAbsScaler();extraTreesClassifier(13,'entropy','sqrt',3,16,False,'balanced')	0.7054207932988421	0.28935933113098145
sgdClassifier('squared_hinge',7.4985214867856795e-06,4.971848349158223e-07,1.7273069847470573e-05,0.023846561470034354,9.433846532617937e-05,0.2456940778717269,True,'None')	0.5	0.1683495044708252
varianceThreshold();standardScaler(True,True);randomForest(18,'entropy','sqrt',12,12,False,'balanced_subsample')	0.7187758068489776	0.380765438079834
maxAbsScaler();qda(0.5468527450605734)	0.5575756343927075	0.22636175155639648
smote('not majority',2);minMaxScaler();bernoulliNB(0.37379699445580494,False)	0.6780136733185513	0.2037522792816162
randomForest(92,'entropy','log2',5,1,True,'None')	0.6589170978073418	1.4014489650726318
maxAbsScaler();maxAbsScaler();extraTreesClassifier(51,'entropy','log2',18,19,False,'None')	invalid_ind	invalid_ind
minMaxScaler();sgdClassifier('squared_hinge',1.196105143804297e-07,0.13712231159772742,0.0016662898081550948,9.458248148419436e-05,0.0010953365957472722,0.48774698619853596,True,'None')	0.6676763981276176	0.16155314445495605
standardScaler(False,True);pca(0.7202379699452883,False);randomOverSampler('not majority');qda(0.9935430415726941)	0.7097350332594236	0.3065180778503418
smoteTomek('not majority');standardScaler(True,True);adaBoost(46,0.023371504633890244,'SAMME',5)	0.6791905641783691	1.0577151775360107
randomUnderSampler('not majority',False);minMaxScaler();varianceThreshold();sgdClassifier('squared_hinge',7.4985214867856795e-06,4.971848349158223e-07,1.7273069847470573e-05,0.023846561470034354,9.433846532617937e-05,0.2456940778717269,True,'None')	0.6769425966986942	0.23965716361999512
randomForest(53,'gini','sqrt',11,10,False,'None')	0.5914864498644986	0.6804347038269043
mlpClassifier(0.008468590872241999,0.0029964448946420133,'lbfgs','relu')	0.6598286523774328	5.2195305824279785
varianceThreshold();minMaxScaler();passiveAggressiveClassifier(True,'hinge',7.46648322951792e-05)	0.5	0.17142248153686523
rbfSampler(0.025216264922572545,51);minMaxScaler();standardScaler(True,False);logisticRegression('l2',False,9.053503235621227,'balanced')	0.5422048534121704	0.26682186126708984
pca(0.8736126142363712,False);randomForest(53,'gini','sqrt',11,10,False,'None')	0.5182238236018725	0.808121919631958
adaBoost(82,0.6090889736637566,'SAMME.R',9)	0.6565645479182065	1.407426118850708
varianceThreshold();minMaxScaler();standardScaler(True,False);extraTreesClassifier(18,'entropy','sqrt',13,1,True,'balanced')	0.7030266075388028	0.3969004154205322
maxAbsScaler();logisticRegression('l2',False,9.053503235621227,'balanced')	0.7076437546193644	0.48293280601501465
gaussianNB(1.300136006278865e-05)	0.5433223700418822	0.1324019432067871
qda(0.23007998464643797)	0.6729635378171963	0.21934056282043457
standardScaler(False,True);bernoulliNB(8.49279863661896,True)	0.6366028578467603	0.1635756492614746
varianceThreshold();minMaxScaler();bernoulliNB(2.227154576485615,True)	0.686331116038433	0.1478135585784912
maxAbsScaler();adaBoost(70,0.055861202925639016,'SAMME.R',7)	0.5224919931017492	1.2208096981048584
selectFwe(0.014327010497713878);fastICA(43,'deflation',False,'cube');bernoulliNB(0.37379699445580494,False)	0.6684413648681942	0.24092411994934082
fastICA(2,'parallel',False,'logcosh');maxAbsScaler();mlpClassifier(0.05290776001846517,0.057890565274062306,'lbfgs','logistic')	invalid_ind	invalid_ind
maxAbsScaler();decisionTree('entropy',1.8680410301071249,3,0.5947717210461807,6,'balanced')	0.6791905641783691	0.16893887519836426
smote('not minority',4);extraTreesClassifier(48,'entropy','sqrt',8,8,False,'balanced')	0.6951744271988174	0.672156810760498
smote('not majority',2);standardScaler(False,True);qda(0.5468527450605734)	0.6965193397388519	0.28505825996398926
minMaxScaler();bernoulliNB(2.227154576485615,True)	0.686331116038433	0.16867375373840332
minMaxScaler();randomOverSampler('not majority');bernoulliNB(1.505733687781938,False)	0.7143162108893817	0.16321372985839844
passiveAggressiveClassifier(True,'hinge',0.7696769233615699)	0.5	0.14885830879211426
extraTreesClassifier(18,'entropy','sqrt',13,1,True,'balanced')	0.7030266075388028	0.3972599506378174
maxAbsScaler();qda(0.7288404975962923)	0.5117156935205716	0.22814440727233887
multinomialNB(0.9999588255190095,True)	0.5700061591525006	0.14682793617248535
qda(0.7288404975962923)	0.6163628972653363	0.22527551651000977
varianceThreshold();decisionTree('entropy',1.9032013085894055,7,0.07362236781285991,3,'None')	0.5	0.1420576572418213
maxAbsScaler();robustScaler(True,False);extraTreesClassifier(47,'gini','sqrt',13,12,False,'balanced')	0.6970427445183542	0.6540656089782715
pca(0.8736126142363712,False);decisionTree('gini',0.41022665624838184,4,0.5452465241608012,3,'balanced')	0.5	0.21909832954406738
