   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.739714	0.515136	0.244879	1       	5       	2.92    	1.03615 
1  	71    	0       	0.739714	0.610009	0.180649	1       	5       	2.76    	1.02098 
2  	82    	0       	0.739714	0.607165	0.191634	1       	5       	2.79    	1.00295 
3  	85    	0       	0.741643	0.622129	0.182391	1       	5       	2.8     	1.00995 
4  	82    	0       	0.741643	0.611578	0.222736	1       	5       	2.79    	0.919728
5  	73    	0       	0.741643	0.683705	0.113537	1       	5       	2.59    	0.906587
6  	77    	0       	0.741643	0.627302	0.207214	1       	4       	2.6     	0.948683
7  	72    	0       	0.741643	0.653193	0.185402	1       	5       	2.58    	0.94    
8  	65    	0       	0.742082	0.642014	0.206976	1       	5       	2.68    	0.957914
9  	79    	0       	0.742082	0.676194	0.149826	1       	4       	2.48    	0.877268
10 	71    	0       	0.742082	0.680039	0.134398	1       	4       	2.35    	0.726292
11 	71    	0       	0.742082	0.638271	0.21861 	1       	5       	2.46    	0.805233
12 	63    	0       	0.742082	0.683492	0.136956	1       	5       	2.35    	0.753326
13 	60    	0       	0.742082	0.702996	0.0941435	1       	5       	2.35    	0.779423
14 	72    	0       	0.742082	0.671364	0.191092 	1       	5       	2.53    	0.727393
15 	56    	0       	0.742082	0.695415	0.135108 	1       	5       	2.5     	0.728011
16 	57    	0       	0.742082	0.666526	0.202408 	1       	5       	2.41    	0.679632
17 	65    	0       	0.742082	0.664816	0.191984 	1       	4       	2.36    	0.656049
18 	59    	0       	0.742082	0.684126	0.166836 	1       	5       	2.3     	0.6245  
19 	51    	0       	0.742082	0.655939	0.213905 	1       	4       	2.29    	0.604897
20 	48    	0       	0.742082	0.662628	0.193527 	1       	5       	2.33    	0.648922
21 	40    	0       	0.742082	0.654825	0.222975 	1       	5       	2.21    	0.534696
22 	42    	0       	0.742082	0.699937	0.133254 	1       	4       	2.17    	0.548726
