   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.699074	0.29802 	0.221189	1       	4       	2.49    	1.08162 
1  	71    	0       	0.70037 	0.374728	0.191835	1       	5       	2.32    	1.04766 
2  	69    	0       	0.730185	0.472431	0.174928	1       	5       	2.45    	1.0332  
3  	67    	0       	0.730185	0.4829  	0.215523	1       	4       	2.55    	0.973396
4  	75    	0       	0.778704	0.533778	0.205463	1       	4       	2.57    	0.863192
5  	76    	0       	0.778704	0.591056	0.186018	1       	5       	2.78    	0.933595
6  	77    	0       	0.778704	0.608931	0.195877	1       	4       	2.66    	0.896883
7  	73    	0       	0.778704	0.634615	0.177124	1       	5       	2.74    	0.91236 
8  	84    	0       	0.782037	0.639815	0.191099	1       	4       	2.75    	0.942072
9  	75    	0       	0.782037	0.679422	0.143141	1       	5       	2.63    	0.856213
10 	84    	0       	0.782037	0.654431	0.196792	1       	5       	2.57    	0.919293
11 	63    	0       	0.782037	0.689424	0.182214	1       	5       	2.39    	0.915369
12 	62    	0       	0.782037	0.681591	0.204739	1       	4       	2.45    	0.698212
13 	67    	0       	0.782037	0.705628	0.173865	1       	4       	2.55    	0.792149
14 	50    	0       	0.782037	0.7125  	0.189868	1       	5       	2.65    	0.84113 
15 	65    	0       	0.782037	0.646511	0.251378	1       	5       	2.62    	0.834026
16 	59    	0       	0.782037	0.66272 	0.234096	1       	5       	2.6     	0.848528
17 	56    	0       	0.782037	0.672059	0.228952	1       	5       	2.45    	0.71239 
18 	58    	0       	0.782037	0.720311	0.170463	1       	4       	2.47    	0.623779
19 	49    	0       	0.782037	0.677304	0.228694	1       	4       	2.38    	0.612862
20 	51    	0       	0.782037	0.733059	0.151861	1       	3       	2.21    	0.431161
21 	54    	0       	0.782037	0.719291	0.174781	2       	4       	2.27    	0.50705 
22 	51    	0       	0.782037	0.706572	0.205076	1       	4       	2.26    	0.558928
23 	44    	0       	0.782037	0.693585	0.209347	1       	4       	2.27    	0.580603
24 	42    	0       	0.782037	0.731343	0.165748	2       	4       	2.26    	0.558928
25 	39    	0       	0.782037	0.680726	0.23536 	1       	4       	2.18    	0.517301
26 	53    	0       	0.782037	0.64692 	0.264385	1       	5       	2.21    	0.553082
27 	36    	0       	0.782037	0.69602 	0.221492	1       	4       	2.16    	0.523832
28 	34    	0       	0.782037	0.716198	0.164488	2       	4       	2.05    	0.259808
29 	34    	0       	0.782037	0.704376	0.196401	2       	5       	2.14    	0.469468
30 	30    	0       	0.782037	0.717674	0.169453	1       	5       	2.15    	0.554527
31 	36    	0       	0.782037	0.692698	0.209467	1       	4       	2.09    	0.491833
32 	42    	0       	0.782037	0.715981	0.177942	2       	5       	2.2     	0.565685
33 	42    	0       	0.782037	0.726152	0.15195 	1       	5       	2.1     	0.43589 
34 	43    	0       	0.782037	0.674839	0.226992	1       	4       	2.19    	0.542125
35 	46    	0       	0.782037	0.706763	0.187658	1       	4       	2.1     	0.412311
36 	28    	0       	0.782037	0.726811	0.165644	1       	4       	2.09    	0.376696
37 	49    	0       	0.782037	0.719613	0.169826	2       	5       	2.13    	0.461628
38 	51    	0       	0.782037	0.705257	0.177122	1       	4       	2.1     	0.412311
39 	37    	0       	0.782037	0.693622	0.194168	1       	4       	2.11    	0.44486 
40 	50    	0       	0.782037	0.721943	0.167159	1       	4       	2.17    	0.530189
41 	41    	0       	0.782037	0.706556	0.191606	1       	5       	2.13    	0.482804
42 	53    	0       	0.782037	0.717854	0.176719	1       	5       	2.13    	0.439431
43 	64    	0       	0.782037	0.718602	0.158838	1       	4       	2.07    	0.406325
44 	45    	0       	0.782037	0.723894	0.168545	1       	4       	2.06    	0.395474
45 	51    	0       	0.782037	0.712489	0.195778	1       	5       	2.07    	0.406325
46 	56    	0       	0.782037	0.713346	0.175675	2       	4       	2.08    	0.337046
47 	57    	0       	0.782037	0.717359	0.17761 	1       	4       	2.08    	0.44    
48 	41    	0       	0.782037	0.7137  	0.187685	2       	4       	2.15    	0.47697 
49 	53    	0       	0.782037	0.709176	0.184314	1       	5       	2.15    	0.572276
50 	53    	0       	0.782037	0.673057	0.230066	2       	4       	2.2     	0.469042
51 	56    	0       	0.782037	0.687441	0.202931	2       	4       	2.14    	0.424735
52 	48    	0       	0.782037	0.6986  	0.196501	1       	4       	2.14    	0.447661
53 	49    	0       	0.788333	0.712641	0.173766	1       	4       	2.12    	0.40694 
54 	46    	0       	0.788333	0.753393	0.104369	2       	3       	2.03    	0.170587
55 	47    	0       	0.788333	0.727839	0.1697  	2       	4       	2.14    	0.469468
56 	51    	0       	0.788333	0.705869	0.190321	1       	5       	2.11    	0.563826
57 	50    	0       	0.788333	0.69947 	0.203322	2       	4       	2.11    	0.421782
58 	46    	0       	0.788333	0.736596	0.149168	1       	4       	2.08    	0.462169
59 	53    	0       	0.788333	0.736476	0.161368	1       	4       	2.05    	0.357071
60 	47    	0       	0.788333	0.728217	0.162547	1       	4       	2.06    	0.341174
61 	52    	0       	0.788333	0.730557	0.160789	1       	4       	2.03    	0.359305
62 	63    	0       	0.788333	0.714957	0.191149	1       	4       	2.01    	0.387169
63 	55    	0       	0.788333	0.704159	0.195003	1       	4       	2.07    	0.430232
64 	47    	0       	0.788333	0.729096	0.170739	1       	4       	1.97    	0.359305
65 	44    	0       	0.788333	0.711241	0.20833 	1       	4       	2.06    	0.50636 
66 	43    	0       	0.788333	0.701622	0.213112	1       	4       	2.01    	0.538424
67 	50    	0       	0.788333	0.724156	0.183646	1       	4       	2.07    	0.474447
68 	43    	0       	0.788333	0.731833	0.181168	1       	5       	2.03    	0.457275
69 	66    	0       	0.788333	0.71232 	0.187807	1       	4       	2.04    	0.313688
70 	57    	0       	0.788333	0.747631	0.150264	1       	4       	2.09    	0.449333
