   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.959151	0.45327 	0.269587	1       	5       	2.53    	1.18706 
1  	91    	0       	0.959151	0.52978 	0.237761	1       	4       	2.46    	1.10833 
2  	69    	0       	0.959151	0.604316	0.198658	1       	4       	2.43    	1.21041 
3  	86    	0       	0.971512	0.64109 	0.221268	1       	5       	2.3     	1.21244 
4  	77    	0       	0.998765	0.674877	0.235193	1       	4       	2.53    	1.17009 
5  	67    	0       	0.998765	0.70691 	0.212974	1       	4       	2.56    	1.1342  
6  	70    	0       	1       	0.701269	0.28431 	1       	4       	2.83    	0.980357
7  	66    	0       	1       	0.802697	0.18474 	1       	4       	2.71    	0.930537
8  	74    	0       	1       	0.72238 	0.304993	1       	4       	2.87    	0.901721
9  	75    	0       	1       	0.711085	0.308462	1       	5       	2.72    	1.0008  
10 	74    	0       	1       	0.702171	0.283899	1       	5       	2.59    	1.0686  
11 	70    	0       	1       	0.735108	0.258293	1       	4       	2.64    	1.02489 
12 	70    	0       	1       	0.765511	0.259777	1       	4       	2.69    	0.966385
13 	57    	0       	1       	0.781888	0.271168	1       	4       	2.75    	0.887412
14 	67    	0       	1       	0.743644	0.340411	1       	4       	2.89    	0.870575
15 	65    	0       	1       	0.761911	0.310089	1       	5       	2.87    	0.844452
16 	64    	0       	1       	0.736848	0.327972	1       	5       	2.79    	0.840179
17 	61    	0       	1       	0.771528	0.290675	2       	5       	2.72    	0.7494  
18 	52    	0       	1       	0.811402	0.283107	2       	5       	2.8     	0.761577
19 	51    	0       	1       	0.860927	0.294087	2       	5       	2.78    	0.729109
20 	50    	0       	1       	0.85156 	0.296397	1       	4       	2.55    	0.68374 
21 	51    	0       	1       	0.885365	0.244651	1       	5       	2.59    	0.788606
22 	60    	0       	1       	0.892084	0.243446	1       	4       	2.6     	0.774597
23 	51    	0       	1       	0.874287	0.250533	1       	5       	2.57    	0.751731
24 	53    	0       	1       	0.856546	0.265986	1       	4       	2.44    	0.637495
25 	54    	0       	1       	0.80402 	0.322065	1       	5       	2.56    	0.791454
26 	51    	0       	1       	0.842315	0.27996 	1       	4       	2.51    	0.714073
27 	77    	0       	1       	0.778101	0.334549	1       	4       	2.56    	0.739189
28 	54    	0       	1       	0.865913	0.263101	2       	4       	2.67    	0.762299
29 	53    	0       	1       	0.82926 	0.303491	1       	4       	2.66    	0.777432
30 	51    	0       	1       	0.87646 	0.251703	1       	4       	2.61    	0.77324 
31 	57    	0       	1       	0.809424	0.32144 	1       	5       	2.68    	0.785875
32 	57    	0       	1       	0.832741	0.272536	2       	4       	2.64    	0.741889
33 	63    	0       	1       	0.790177	0.338755	2       	4       	2.59    	0.708449
34 	56    	0       	1       	0.836056	0.28031 	1       	5       	2.58    	0.750733
35 	61    	0       	1       	0.83581 	0.289399	1       	5       	2.56    	0.739189
36 	60    	0       	1       	0.820142	0.323155	1       	4       	2.47    	0.780449
37 	52    	0       	1       	0.840135	0.289464	1       	5       	2.43    	0.815537
38 	57    	0       	1       	0.855281	0.26462 	1       	4       	2.28    	0.693974
39 	58    	0       	1       	0.902029	0.237736	1       	4       	2.23    	0.630159
40 	52    	0       	1       	0.862165	0.267816	1       	4       	2.36    	0.755248
41 	53    	0       	1       	0.861329	0.277629	1       	5       	2.39    	0.786066
42 	61    	0       	1       	0.883756	0.244554	1       	4       	2.37    	0.730137
43 	55    	0       	1       	0.880537	0.257363	1       	4       	2.31    	0.658711
44 	59    	0.5     	1       	0.916983	0.167816	1       	4       	2.27    	0.705053
45 	61    	0       	1       	0.85402 	0.28582 	2       	5       	2.39    	0.760197
46 	43    	0       	1       	0.91592 	0.227948	1       	4       	2.3     	0.7     
47 	49    	0       	1       	0.91022 	0.196563	1       	4       	2.23    	0.580603
48 	40    	0       	1       	0.893949	0.230373	1       	4       	2.13    	0.461628
49 	37    	0       	1       	0.912247	0.207207	1       	4       	2.18    	0.572364
50 	41    	0       	1       	0.929255	0.192527	1       	4       	2.28    	0.66453 
51 	38    	0       	1       	0.915399	0.217897	1       	4       	2.23    	0.580603
52 	39    	0       	1       	0.903299	0.225848	1       	4       	2.27    	0.630159
53 	56    	0       	1       	0.893386	0.243595	1       	4       	2.24    	0.601997
54 	42    	0       	1       	0.762042	0.381156	1       	4       	2.17    	0.510979
--- 3600.1378886699677 sec ---
