   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.913358	0.523957	0.376174	1       	5       	2.8     	1.22474 
1  	83    	0       	0.916324	0.660169	0.314317	1       	5       	2.74    	1.2698  
2  	81    	0       	0.916324	0.736566	0.278547	1       	5       	2.54    	1.2839  
3  	84    	0       	0.916324	0.802906	0.181054	1       	5       	2.41    	1.26566 
4  	73    	0       	0.916324	0.822863	0.188043	1       	5       	2.42    	1.28203 
5  	74    	0       	0.916324	0.836999	0.199096	1       	5       	2.67    	1.29657 
6  	66    	0       	0.922941	0.847155	0.200216	1       	5       	2.58    	1.28981 
7  	55    	0       	0.922941	0.812221	0.274845	1       	5       	2.77    	1.30273 
8  	46    	0       	0.922941	0.832215	0.249594	1       	5       	2.56    	1.23548 
9  	46    	0       	0.922941	0.853243	0.217557	1       	5       	2.63    	1.30119 
10 	49    	0       	0.922941	0.834145	0.234958	1       	5       	2.53    	1.2606  
11 	51    	0       	0.922941	0.853961	0.200911	1       	5       	2.6     	1.22474 
12 	34    	0       	0.922941	0.850388	0.218089	1       	5       	2.48    	1.22866 
13 	45    	0       	0.922941	0.857633	0.188161	1       	5       	2.57    	1.1769  
14 	40    	0       	0.922941	0.857668	0.203235	1       	5       	2.6     	1.31149 
15 	47    	0       	0.922941	0.815746	0.273648	1       	5       	2.89    	1.20744 
16 	54    	0       	0.922941	0.817583	0.261392	1       	5       	3.22    	1.00578 
17 	45    	0       	0.922941	0.823699	0.238013	1       	5       	3.19    	1.11978 
18 	42    	0       	0.922941	0.794168	0.297588	1       	5       	3.4     	0.959166
19 	48    	0       	0.922941	0.842008	0.233355	1       	5       	3.44    	1.03267 
20 	45    	0       	0.922941	0.790352	0.297833	1       	5       	3.57    	0.951367
21 	41    	0       	0.922941	0.813443	0.27432 	1       	5       	3.59    	1.09631 
22 	46    	0       	0.922941	0.795   	0.288338	1       	5       	3.49    	1.17043 
23 	40    	0       	0.922941	0.858369	0.202377	1       	5       	3.44    	1.08    
24 	42    	0       	0.922941	0.799925	0.287745	1       	5       	3.5     	1.11803 
25 	31    	0       	0.922941	0.855477	0.218167	1       	5       	3.72    	0.949526
26 	40    	0       	0.922941	0.789189	0.307128	1       	5       	3.84    	0.833307
27 	32    	0       	0.922941	0.83767 	0.237819	1       	5       	3.93    	0.815537
28 	36    	0       	0.934338	0.856041	0.218346	1       	5       	3.87    	0.94504 
29 	46    	0       	0.934338	0.771359	0.325483	1       	5       	3.92    	0.844748
30 	39    	0       	0.934338	0.828711	0.261892	1       	5       	3.87    	0.820427
31 	43    	0       	0.934338	0.818906	0.263101	1       	5       	3.79    	0.765441
32 	48    	0       	0.934338	0.780741	0.318856	1       	5       	3.78    	0.782049
33 	40    	0       	0.934338	0.819235	0.274142	1       	5       	3.91    	0.471063
34 	30    	0       	0.934338	0.839935	0.250351	1       	5       	3.89    	0.527162
35 	41    	0       	0.934338	0.720871	0.366709	1       	5       	3.89    	0.507839
36 	31    	0       	0.934338	0.784977	0.310513	1       	5       	3.94    	0.395474
37 	53    	0       	0.934338	0.727068	0.365173	1       	5       	3.88    	0.49558 
38 	43    	0       	0.934338	0.74229 	0.360086	2       	5       	3.92    	0.416653
39 	46    	0       	0.934338	0.786831	0.30994 	2       	5       	3.87    	0.416053
40 	49    	0       	0.934338	0.787158	0.30816 	2       	4       	3.75    	0.554527
41 	42    	0       	0.934338	0.822113	0.26357 	2       	5       	3.64    	0.656049
42 	39    	0       	0.934338	0.826403	0.263686	2       	5       	3.51    	0.655668
43 	61    	0       	0.934338	0.795224	0.290176	1       	5       	3.33    	0.707884
44 	47    	0       	0.943137	0.822139	0.264812	1       	5       	3.24    	0.861626
45 	53    	0       	0.943137	0.760723	0.336179	1       	5       	3.21    	0.875157
46 	57    	0       	0.943137	0.823216	0.275407	1       	4       	3.19    	0.716868
47 	44    	0       	0.943137	0.84546 	0.239408	1       	5       	3.08    	0.688186
48 	53    	0       	0.943137	0.828409	0.266323	1       	4       	2.97    	0.684909
49 	69    	0       	0.943137	0.841033	0.2396  	1       	4       	2.96    	0.662118
50 	63    	0       	0.943137	0.808181	0.278963	2       	4       	2.96    	0.662118
51 	62    	0       	0.943137	0.835153	0.264682	1       	4       	2.91    	0.649538
52 	56    	0       	0.943137	0.823715	0.277046	1       	4       	2.89    	0.614736
53 	64    	0       	0.943137	0.782768	0.320697	1       	4       	2.96    	0.733757
54 	67    	0       	0.943137	0.782265	0.3219  	1       	4       	2.98    	0.647765
55 	67    	0       	0.943137	0.800767	0.310851	1       	4       	2.94    	0.660606
56 	70    	0       	0.943137	0.79091 	0.320367	1       	4       	2.91    	0.617981
57 	56    	0       	0.946471	0.828935	0.277588	2       	4       	2.89    	0.581292
58 	63    	0       	0.946471	0.845781	0.251183	1       	4       	2.9     	0.640312
59 	69    	0       	0.946471	0.807683	0.288894	1       	5       	2.95    	0.68374 
60 	71    	0       	0.946471	0.802531	0.300548	1       	5       	2.95    	0.779423
61 	67    	0       	0.946471	0.830732	0.264878	2       	5       	3.05    	0.668954
62 	57    	0       	0.946471	0.798671	0.31068 	1       	5       	2.91    	0.813572
63 	57    	0       	0.946471	0.439543	0.466837	1       	5       	2.93    	0.738309
--- 3600.116462945938 sec ---
