   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.988494	0.693142	0.357806	1       	5       	2.92    	1.03615 
1  	74    	0       	0.988494	0.840244	0.250184	1       	5       	2.68    	1.12143 
2  	76    	0       	0.991607	0.87676 	0.232256	1       	5       	2.63    	1.11045 
3  	89    	0       	0.993402	0.871816	0.244854	1       	5       	2.61    	1.00891 
4  	74    	0       	0.993402	0.928772	0.157475	1       	5       	2.45    	0.887412
5  	73    	0       	0.993402	0.921393	0.199502	1       	4       	2.23    	0.719097
6  	78    	0       	0.993402	0.922829	0.164112	1       	5       	2.14    	0.70739 
7  	76    	0       	0.993402	0.931551	0.195131	1       	4       	2.28    	0.788416
8  	73    	0       	0.993402	0.884706	0.262012	1       	5       	2.32    	0.835225
9  	72    	0       	0.993402	0.888452	0.27063 	1       	4       	2.21    	0.697065
10 	71    	0       	0.993402	0.344017	0.468987	1       	4       	2.26    	0.687314
--- 3601.496633529663 sec ---
