   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.732333	0.415371	0.250161	1       	5       	2.76    	1.24193 
1  	87    	0       	0.798938	0.526822	0.173487	1       	5       	2.42    	1.32045 
2  	72    	0       	0.798938	0.556337	0.187057	1       	5       	2.55    	1.29132 
3  	78    	0       	0.830767	0.554628	0.216657	1       	5       	2.72    	1.18389 
4  	68    	0       	0.830767	0.591118	0.20248 	1       	5       	2.6     	1.23288 
5  	70    	0       	0.867572	0.633423	0.190123	1       	5       	2.62    	1.1643  
6  	64    	0       	0.867572	0.673777	0.172588	1       	5       	2.58    	1.28203 
7  	68    	0       	0.86813 	0.696417	0.179541	1       	4       	2.88    	1.19398 
8  	58    	0       	0.86813 	0.718129	0.190323	1       	4       	2.99    	1.25296 
9  	42    	0       	0.869779	0.70129 	0.251483	1       	5       	3.2     	1.25698 
10 	59    	0       	0.869779	0.699044	0.254356	1       	4       	3.27    	1.16495 
11 	61    	0       	0.876928	0.702337	0.272649	1       	5       	3.55    	0.973396
12 	55    	0       	0.876928	0.703742	0.285028	1       	4       	3.75    	0.653835
13 	65    	0       	0.876928	0.611698	0.355044	1       	5       	3.78    	0.656963
14 	61    	0       	0.876928	0.639474	0.334209	1       	5       	3.8     	0.632456
15 	45    	0       	0.876928	0.689362	0.305437	1       	5       	3.85    	0.589491
16 	57    	0       	0.881849	0.663905	0.332989	2       	5       	3.95    	0.384057
17 	53    	0       	0.881849	0.651805	0.332698	1       	5       	3.97    	0.330303
18 	41    	0       	0.881849	0.761629	0.230535	2       	4       	3.95    	0.259808
19 	49    	0       	0.881849	0.730534	0.291676	3       	5       	3.98    	0.198997
20 	50    	0       	0.881849	0.683993	0.314172	1       	5       	3.88    	0.570614
21 	53    	0       	0.881849	0.692251	0.297743	1       	5       	3.91    	0.491833
22 	52    	0       	0.881849	0.708261	0.290593	1       	4       	3.82    	0.6063  
23 	73    	0       	0.881849	0.646373	0.330085	1       	5       	3.83    	0.633325
24 	52    	0       	0.881849	0.512305	0.409441	1       	5       	3.93    	0.474447
--- 3600.7527406215668 sec ---
