   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std      	min     	max     	avg     	std     
0  	100   	0       	0.5     	0.005   	0.0497494	1       	5       	2.91    	1.12334 
1  	70    	0       	0.553569	0.0209838	0.102877 	1       	5       	2.96    	1.15689 
2  	84    	0       	0.566041	0.0161961	0.0922285	1       	5       	3       	1.08628 
3  	86    	0       	0.566041	0.0206354	0.101259 	1       	5       	2.78    	1.17115 
4  	78    	0       	0.624357	0.0531108	0.159842 	1       	5       	2.84    	1.21425 
5  	74    	0       	0.624357	0.0937479	0.200601 	1       	5       	2.98    	1.21639 
6  	72    	0       	0.649301	0.192951 	0.252831 	1       	5       	3.01    	1.14451 
7  	65    	0       	0.649301	0.269082 	0.25968  	1       	5       	3.19    	1.08347 
8  	71    	0       	0.649301	0.366674 	0.248008 	1       	5       	3.32    	0.893085
9  	75    	0       	0.67337 	0.379868 	0.245089 	1       	5       	3.25    	0.887412
10 	68    	0       	0.67337 	0.43269  	0.226384 	1       	4       	3.16    	0.891291
11 	67    	0       	0.688147	0.42077  	0.239485 	2       	5       	3.19    	0.844926
12 	81    	0       	0.688147	0.383979 	0.25996  	2       	5       	3.27    	0.834925
13 	79    	0       	0.688147	0.363691 	0.263496 	1       	4       	3.08    	0.832827
14 	80    	0       	0.700283	0.392354 	0.260445 	1       	4       	3.1     	0.818535
15 	61    	0       	0.700283	0.434261 	0.241229 	2       	5       	3.12    	0.84    
16 	64    	0       	0.700283	0.445671 	0.24108  	1       	4       	3.05    	0.864581
17 	59    	0       	0.700283	0.430888 	0.26087  	1       	5       	3.16    	0.913455
18 	63    	0       	0.700283	0.477854 	0.245863 	2       	4       	3.18    	0.817068
19 	57    	0       	0.700283	0.460633 	0.264787 	1       	4       	3.18    	0.852995
20 	61    	0       	0.700283	0.42266  	0.275066 	2       	4       	3.15    	0.829156
21 	65    	0       	0.700283	0.454742 	0.261218 	1       	4       	2.93    	0.863192
22 	68    	0       	0.700283	0.418496 	0.285534 	1       	5       	3.1     	0.877496
23 	54    	0       	0.700283	0.361793 	0.31783  	1       	5       	3.16    	0.88    
--- 3600.333758354187 sec ---
