   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std      	min     	max     	avg     	std     
0  	100   	0       	0.610781	0.0160884	0.0919365	1       	5       	2.81    	1.0742  
1  	72    	0       	0.610781	0.0422364	0.143858 	1       	5       	2.66    	1.06977 
2  	77    	0       	0.610781	0.0532339	0.160255 	1       	5       	2.92    	1.01666 
3  	89    	0       	0.627035	0.0681099	0.176835 	1       	5       	2.94    	1.04709 
4  	79    	0       	0.627035	0.110361 	0.214749 	1       	5       	3.15    	1.0332  
5  	76    	0       	0.627035	0.173389 	0.247937 	1       	5       	3.15    	1.08051 
6  	68    	0       	0.650075	0.188175 	0.257855 	1       	5       	3.28    	1.11427 
7  	64    	0       	0.650075	0.26467  	0.271786 	1       	5       	3.52    	0.877268
8  	54    	0       	0.650075	0.344456 	0.260384 	1       	5       	3.62    	0.834026
9  	49    	0       	0.678065	0.347389 	0.263372 	1       	5       	3.79    	0.897719
10 	60    	0       	0.678065	0.396619 	0.250512 	1       	5       	3.79    	0.863655
11 	54    	0       	0.678065	0.459162 	0.226389 	2       	5       	3.87    	0.820427
12 	56    	0       	0.678065	0.427353 	0.256605 	1       	5       	4.12    	0.908625
13 	50    	0       	0.681505	0.457322 	0.253505 	1       	5       	4.2     	0.938083
14 	42    	0       	0.681505	0.449298 	0.269837 	1       	5       	4.15    	0.804674
15 	48    	0       	0.681505	0.415196 	0.293918 	1       	5       	4.08    	0.820731
16 	58    	0       	0.684007	0.448192 	0.275918 	2       	5       	4.09    	0.664756
17 	48    	0       	0.684007	0.453603 	0.279227 	1       	5       	3.99    	0.727942
18 	42    	0       	0.684007	0.501639 	0.255244 	1       	5       	3.93    	0.587452
19 	65    	0       	0.684007	0.429105 	0.297101 	1       	5       	3.94    	0.58    
20 	66    	0       	0.684007	0.213466 	0.304772 	1       	5       	3.89    	0.563826
--- 3610.04585981369 sec ---
