   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg       	std      	min     	max     	avg     	std     
0  	100   	0       	0.487725	0.00487725	0.0485281	1       	5       	2.57    	1.14241 
1  	84    	0       	0.5     	0.0148012 	0.084179 	1       	5       	2.66    	1.09745 
2  	82    	0       	0.521893	0.0353526 	0.128875 	1       	5       	2.61    	1.15668 
3  	81    	0       	0.570554	0.0410794 	0.13945  	1       	5       	2.77    	1.1212  
4  	82    	0       	0.570554	0.0661983 	0.17139  	1       	5       	2.8     	1.14891 
5  	81    	0       	0.570554	0.101562  	0.203286 	1       	5       	2.88    	0.992774
6  	77    	0       	0.570554	0.131399  	0.221928 	1       	5       	2.88    	1.04192 
7  	81    	0       	0.618265	0.181895  	0.242888 	1       	4       	2.86    	0.948894
8  	72    	0       	0.633853	0.2726    	0.257781 	1       	5       	3.02    	0.905318
9  	68    	0       	0.633853	0.342556  	0.24786  	1       	5       	3.16    	0.717217
10 	67    	0       	0.633853	0.374522  	0.241409 	1       	4       	3.09    	0.736139
11 	71    	0       	0.681425	0.402192  	0.234818 	2       	4       	3.22    	0.641561
12 	69    	0       	0.681425	0.41492   	0.230131 	1       	4       	3.2     	0.748331
13 	56    	0       	0.681425	0.429355  	0.224679 	2       	4       	3.23    	0.759671
14 	66    	0       	0.681425	0.40669   	0.237036 	1       	5       	3.27    	0.746391
--- 3613.23548078537 sec ---
