   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std     	min     	max     	avg     	std     
0  	100   	0       	0.622303	0.0211793	0.10431 	1       	5       	2.53    	1.18706 
1  	86    	0       	0.622303	0.0413941	0.140825	1       	5       	2.49    	1.10901 
2  	80    	0       	0.622303	0.059161 	0.169198	1       	5       	2.64    	1.17064 
3  	88    	0       	0.622303	0.1032   	0.206851	1       	5       	2.68    	1.14787 
4  	84    	0       	0.637261	0.148849 	0.239756	1       	5       	2.6     	1.14891 
5  	80    	0       	0.637261	0.18715  	0.250525	1       	5       	2.93    	1.10684 
6  	69    	0       	0.637261	0.244355 	0.260766	1       	5       	3.04    	0.93723 
7  	83    	0       	0.637261	0.294003 	0.262197	1       	4       	3.18    	0.84119 
8  	66    	0       	0.637261	0.324077 	0.261101	1       	5       	3.25    	0.90967 
9  	62    	0       	0.637261	0.368382 	0.255473	1       	5       	3.27    	0.892805
10 	69    	0       	0.65008 	0.396769 	0.244266	1       	5       	3.3     	0.806226
11 	66    	0       	0.65008 	0.360846 	0.267231	1       	5       	3.37    	0.832526
12 	74    	0       	0.65008 	0.388763 	0.263104	2       	4       	3.33    	0.762299
13 	53    	0       	0.657906	0.4282   	0.250836	1       	4       	3.34    	0.79019 
14 	61    	0       	0.66236 	0.41475  	0.261926	1       	4       	3.44    	0.778717
15 	59    	0       	0.66236 	0.371879 	0.28163 	1       	5       	3.46    	0.74054 
16 	74    	0       	0.673989	0.389346 	0.276774	2       	5       	3.48    	0.74135 
17 	67    	0       	0.673989	0.426737 	0.257945	1       	5       	3.5     	0.768115
18 	58    	0       	0.673989	0.4605   	0.248877	1       	4       	3.56    	0.682935
19 	52    	0       	0.673989	0.440059 	0.265116	1       	4       	3.62    	0.689638
--- 3609.2974276542664 sec ---
