   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.937423	0.480064	0.384787	1       	5       	2.91    	1.12334 
1  	73    	0       	0.937423	0.653255	0.32355 	1       	5       	2.59    	1.17554 
2  	82    	0       	0.937423	0.767522	0.273974	1       	5       	2.52    	1.14438 
3  	82    	0       	0.937423	0.7577  	0.301277	1       	5       	2.63    	1.1803  
4  	72    	0       	0.937423	0.805649	0.250857	1       	5       	2.5     	1.18743 
5  	85    	0       	0.942711	0.817957	0.241519	1       	5       	2.56    	1.14298 
6  	69    	0       	0.942711	0.83496 	0.238063	1       	5       	2.68    	1.22376 
7  	76    	0       	0.942711	0.83932 	0.248898	1       	5       	2.54    	1.31469 
8  	56    	0       	0.942711	0.846118	0.245505	1       	5       	2.58    	1.32801 
9  	60    	0       	0.942711	0.391473	0.460184	1       	5       	2.68    	1.46205 
--- 3603.2805037498474 sec ---
