   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.92754 	0.509621	0.380431	1       	5       	2.74    	1.03557 
1  	85    	0       	0.932828	0.634651	0.352741	1       	5       	2.72    	1.04957 
2  	77    	0       	0.942227	0.747427	0.283688	1       	5       	2.54    	1.0141  
3  	82    	0       	0.942227	0.779939	0.256497	1       	5       	2.44    	1.03267 
4  	80    	0       	0.942227	0.838886	0.1996  	1       	4       	2.47    	1.03397 
5  	81    	0       	0.942227	0.860558	0.192793	1       	4       	2.26    	1.03557 
6  	78    	0       	0.942227	0.882818	0.1663  	1       	4       	2.29    	1.08899 
7  	86    	0       	0.942227	0.883409	0.183631	1       	5       	2.28    	1.12321 
8  	75    	0       	0.942227	0.913109	0.105471	1       	4       	2.15    	1.04283 
9  	75    	0       	0.942227	0.896818	0.16724 	1       	4       	2.01    	1.03436 
10 	68    	0       	0.942227	0.875683	0.20988 	1       	4       	1.9     	0.888819
11 	56    	0       	0.942227	0.916868	0.103176	1       	4       	1.75    	0.753326
12 	45    	0       	0.942227	0.903189	0.165919	1       	5       	1.63    	0.743707
13 	46    	0       	0.942227	0.893515	0.170865	1       	4       	1.72    	0.762627
14 	33    	0       	0.942227	0.895935	0.154787	1       	4       	1.61    	0.798686
15 	39    	0       	0.945201	0.892114	0.154863	1       	4       	1.62    	0.718053
16 	37    	0       	0.947735	0.899597	0.170198	1       	5       	1.65    	0.726292
17 	44    	0       	0.947735	0.871011	0.213312	1       	5       	1.66    	0.896883
18 	52    	0       	0.947735	0.887053	0.193549	1       	5       	1.58    	0.763937
19 	62    	0       	0.947735	0.898697	0.168417	1       	4       	1.6     	0.748331
20 	38    	0       	0.947735	0.905927	0.166579	1       	4       	1.61    	0.760197
21 	56    	0       	0.947735	0.901672	0.165235	1       	4       	1.62    	0.784602
22 	50    	0       	0.947735	0.926431	0.105101	1       	4       	1.74    	0.795236
23 	43    	0       	0.947735	0.853441	0.271684	1       	5       	1.74    	0.901332
--- 3600.9759378433228 sec ---
