   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.870553	0.526226	0.371653	1       	5       	2.57    	1.14241 
1  	87    	0       	0.871731	0.629458	0.318313	1       	5       	2.43    	1.01247 
2  	86    	0       	0.873288	0.717078	0.232266	1       	5       	2.59    	0.970515
3  	78    	0.333333	0.873288	0.802399	0.127597	1       	5       	2.54    	0.921086
4  	92    	0       	0.873288	0.780103	0.209379	1       	5       	2.42    	0.862322
5  	76    	0       	0.873288	0.813963	0.174498	1       	4       	2.36    	0.842852
6  	82    	0       	0.873288	0.803698	0.200147	1       	5       	2.36    	0.922171
7  	72    	0       	0.874423	0.813469	0.17929 	1       	4       	2.49    	1.02465 
8  	75    	0       	0.874423	0.812533	0.190491	1       	4       	2.58    	1.06939 
9  	69    	0       	0.874423	0.831059	0.151439	1       	4       	2.73    	1.03783 
10 	66    	0       	0.874423	0.807562	0.189959	1       	5       	3.05    	0.920598
11 	66    	0       	0.874966	0.81528 	0.16612 	1       	4       	2.97    	0.842081
12 	74    	0       	0.874966	0.784065	0.235092	1       	5       	2.88    	0.863481
13 	56    	0       	0.874966	0.835288	0.124597	1       	4       	2.79    	0.88651 
14 	70    	0       	0.874966	0.774403	0.250858	1       	4       	2.87    	0.94504 
15 	74    	0       	0.874966	0.811968	0.191144	1       	4       	2.77    	1.00851 
16 	67    	0       	0.874966	0.797696	0.201191	1       	4       	2.79    	0.972574
17 	76    	0       	0.874966	0.790702	0.226134	1       	5       	2.87    	1.01642 
18 	67    	0       	0.874966	0.811797	0.18958 	1       	4       	2.98    	0.958958
19 	80    	0       	0.874966	0.831595	0.13385 	1       	5       	2.99    	0.994937
20 	72    	0       	0.874966	0.782238	0.230069	1       	5       	3.06    	0.914549
21 	81    	0       	0.874966	0.84516 	0.0991021	1       	5       	3.14    	0.894651
22 	70    	0       	0.874966	0.836863	0.148958 	1       	5       	3.1     	0.932738
23 	71    	0       	0.874966	0.828665	0.171122 	1       	4       	3.21    	0.778396
24 	52    	0       	0.874966	0.427059	0.43569  	1       	4       	3.18    	0.766551
--- 3600.165560245514 sec ---
