   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.445693	0.164641	0.129662	1       	4       	2.69    	1.11081 
1  	80    	0       	0.445693	0.240787	0.123888	1       	4       	2.45    	1.20312 
2  	81    	0       	0.445693	0.280019	0.120752	1       	4       	2.39    	1.19912 
3  	75    	0       	0.458706	0.335442	0.0853218	1       	4       	2.19    	1.11978 
4  	84    	0       	0.458706	0.333426	0.124381 	1       	5       	2.31    	1.18064 
5  	68    	0       	0.458706	0.374788	0.0814966	1       	5       	2.21    	1.21897 
6  	70    	0       	0.474205	0.368579	0.123435 	1       	4       	1.94    	1.15603 
7  	73    	0       	0.474205	0.367639	0.127013 	1       	4       	2.01    	1.17043 
8  	66    	0       	0.474205	0.385665	0.101689 	1       	5       	1.93    	1.07009 
9  	67    	0       	0.474205	0.390124	0.0905772	1       	5       	1.86    	1.13155 
10 	53    	0       	0.474205	0.374378	0.129891 	1       	5       	1.83    	1.14066 
11 	51    	0       	0.474205	0.387249	0.121447 	1       	5       	1.8     	1.19164 
12 	60    	0       	0.474205	0.391758	0.101331 	1       	4       	1.96    	1.21589 
13 	64    	0       	0.474205	0.396075	0.103606 	1       	5       	1.98    	1.30369 
14 	74    	0       	0.474205	0.394227	0.105929 	1       	5       	2.05    	1.29132 
15 	75    	0       	0.474205	0.395969	0.110815 	1       	5       	2.06    	1.31773 
16 	59    	0       	0.474205	0.406208	0.10788  	1       	4       	2.09    	1.36451 
17 	72    	0       	0.479483	0.39609 	0.127301 	1       	5       	2.36    	1.41789 
18 	68    	0       	0.479483	0.405094	0.105002 	1       	4       	2.57    	1.38025 
19 	71    	0       	0.479483	0.36318 	0.165944 	1       	5       	2.79    	1.40211 
20 	66    	0       	0.479483	0.38151 	0.132611 	1       	5       	2.81    	1.41912 
21 	61    	0       	0.479483	0.373789	0.154157 	1       	5       	2.73    	1.42025 
22 	51    	0       	0.479483	0.392174	0.134422 	1       	5       	2.87    	1.48091 
23 	67    	0       	0.479483	0.374248	0.149747 	1       	5       	2.92    	1.55358 
24 	58    	0       	0.479483	0.399495	0.11899  	1       	5       	2.72    	1.59424 
25 	64    	0       	0.479483	0.393145	0.135624 	1       	5       	2.57    	1.51165 
26 	56    	0       	0.479483	0.405902	0.110306 	1       	5       	2.72    	1.5105  
27 	64    	0       	0.479483	0.373667	0.152447 	1       	5       	2.59    	1.56266 
28 	45    	0       	0.479483	0.411957	0.115809 	1       	5       	2.44    	1.4094  
29 	52    	0       	0.479483	0.402648	0.126528 	1       	5       	2.34    	1.32076 
30 	52    	0       	0.479483	0.407002	0.117944 	1       	4       	2.08    	1.23839 
31 	60    	0       	0.479483	0.420373	0.0923287	1       	5       	2.09    	1.24173 
32 	65    	0       	0.479483	0.404302	0.111212 	1       	4       	2.09    	1.21733 
33 	58    	0       	0.479483	0.408379	0.112071 	1       	4       	2.12    	1.21062 
34 	58    	0       	0.479483	0.400321	0.12599  	1       	4       	2.22    	1.26159 
35 	60    	0       	0.479483	0.400346	0.132664 	1       	4       	2.33    	1.26535 
36 	69    	0       	0.479483	0.411844	0.111575 	1       	4       	2.34    	1.21836 
37 	58    	0       	0.479483	0.407373	0.127024 	1       	5       	2.18    	1.19482 
38 	62    	0       	0.479483	0.392234	0.133179 	1       	4       	2.26    	1.20516 
39 	68    	0       	0.479483	0.376935	0.144317 	1       	5       	2.27    	1.30273 
40 	57    	0       	0.479483	0.4028  	0.122704 	1       	4       	2.24    	1.30476 
41 	52    	0       	0.479483	0.423961	0.0872446	1       	4       	2.08    	1.31666 
42 	51    	0       	0.479483	0.417838	0.109245 	1       	5       	2.06    	1.31773 
43 	33    	0       	0.479483	0.420576	0.113073 	1       	5       	2.23    	1.33308 
44 	37    	0       	0.479483	0.424404	0.0941692	1       	5       	2.13    	1.36129 
45 	32    	0       	0.479483	0.415857	0.11916  	1       	5       	2.05    	1.252   
46 	33    	0       	0.479483	0.415953	0.121247 	1       	5       	2.1     	1.31529 
47 	33    	0       	0.479483	0.399285	0.135906 	1       	5       	2.06    	1.28701 
48 	39    	0       	0.479483	0.392547	0.142453 	1       	4       	1.9     	1.14455 
49 	45    	0       	0.479483	0.400819	0.129776 	1       	4       	1.62    	0.95687 
50 	27    	0       	0.479483	0.418202	0.109356 	1       	5       	1.67    	1.06822 
51 	25    	0       	0.479483	0.42644 	0.100356 	1       	4       	1.56    	0.962497
52 	32    	0       	0.479483	0.404373	0.132194 	1       	4       	1.63    	1.01642 
53 	31    	0       	0.479483	0.422089	0.0994797	1       	4       	1.54    	0.865101
54 	41    	0       	0.479483	0.403353	0.120968 	1       	4       	1.59    	0.928386
55 	36    	0       	0.479483	0.408065	0.124031 	1       	4       	1.6     	1.0198  
56 	30    	0       	0.479483	0.429957	0.0893447	1       	4       	1.49    	0.830602
57 	29    	0       	0.479483	0.427564	0.102046 	1       	4       	1.38    	0.784602
58 	30    	0       	0.479483	0.417024	0.112121 	1       	5       	1.5     	0.911043
59 	36    	0       	0.479483	0.39818 	0.132897 	1       	4       	1.58    	0.991766
60 	35    	0       	0.479483	0.39088 	0.139698 	1       	4       	1.67    	1.04933 
61 	36    	0       	0.479483	0.405606	0.121493 	1       	4       	1.56    	0.897998
62 	30    	0       	0.479483	0.420673	0.106761 	1       	5       	1.53    	0.932255
63 	31    	0       	0.479483	0.423377	0.108014 	1       	5       	1.49    	0.953887
64 	45    	0       	0.479483	0.401386	0.125521 	1       	5       	1.73    	1.08494 
65 	35    	0       	0.479483	0.408673	0.124882 	1       	4       	1.63    	1.01642 
66 	38    	0       	0.479483	0.385962	0.140206 	1       	4       	1.65    	0.983616
67 	37    	0       	0.479483	0.404402	0.125442 	1       	4       	1.5     	0.877496
68 	41    	0       	0.479483	0.412182	0.106081 	1       	4       	1.62    	1.02742 
69 	33    	0.166667	0.479483	0.431016	0.074664 	1       	4       	1.58    	0.961041
70 	34    	0       	0.479483	0.423812	0.0959624	1       	4       	1.54    	0.973858
71 	37    	0       	0.479483	0.391391	0.146541 	1       	5       	1.58    	1.05052 
72 	39    	0       	0.479483	0.403836	0.130518 	1       	4       	1.53    	0.963898
73 	35    	0       	0.479483	0.408896	0.119955 	1       	4       	1.48    	0.943186
74 	43    	0       	0.479483	0.39791 	0.139847 	1       	4       	1.65    	1.04283 
75 	39    	0       	0.479483	0.412831	0.110684 	1       	4       	1.77    	1.1212  
76 	35    	0       	0.479483	0.408497	0.112817 	1       	4       	1.84    	1.05565 
77 	37    	0       	0.479483	0.396748	0.126587 	1       	5       	1.79    	1.05162 
78 	37    	0       	0.479483	0.414673	0.112954 	1       	4       	1.58    	0.850647
79 	28    	0.166667	0.479483	0.436434	0.0698033	1       	4       	1.53    	0.876983
80 	34    	0       	0.479483	0.420853	0.114357 	1       	4       	1.57    	0.851528
81 	32    	0       	0.479483	0.411647	0.128276 	1       	4       	1.61    	0.84729 
82 	32    	0       	0.479483	0.402862	0.129541 	1       	5       	1.66    	1.02196 
83 	38    	0       	0.479483	0.397738	0.128983 	1       	4       	1.6     	0.894427
84 	32    	0       	0.479483	0.403557	0.132954 	1       	4       	1.76    	0.98102 
85 	39    	0       	0.479483	0.399029	0.131091 	1       	4       	1.73    	1.00851 
86 	31    	0       	0.479483	0.418005	0.109215 	1       	4       	1.58    	0.885212
87 	25    	0       	0.479483	0.429118	0.0943872	1       	4       	1.63    	0.856213
88 	31    	0       	0.479483	0.425686	0.0998446	1       	5       	1.73    	1.06635 
89 	29    	0       	0.479483	0.418063	0.116863 	1       	5       	1.64    	1.04422 
90 	29    	0       	0.479483	0.428909	0.0915884	1       	4       	1.58    	0.961041
91 	23    	0       	0.479483	0.448258	0.0668073	1       	4       	1.55    	0.89861 
92 	27    	0       	0.479483	0.41382 	0.122458 	1       	5       	1.7     	1.01489 
93 	38    	0       	0.479483	0.398989	0.131462 	1       	4       	1.64    	0.932952
94 	41    	0       	0.479483	0.414129	0.117511 	1       	4       	1.6     	0.948683
95 	35    	0       	0.479483	0.411747	0.123698 	1       	4       	1.63    	1.00653 
96 	32    	0       	0.479483	0.406104	0.135264 	1       	5       	1.52    	1.0245  
97 	30    	0       	0.479483	0.39761 	0.137549 	1       	5       	1.48    	0.994786
98 	32    	0       	0.479483	0.396862	0.124441 	1       	4       	1.52    	0.921737
99 	40    	0       	0.479483	0.389477	0.141152 	1       	4       	1.73    	0.988484
100	32    	0       	0.479483	0.423087	0.102205 	1       	4       	1.77    	1.02815 
--- 3585.918263196945 sec ---
