   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.393085	0.160214	0.118078	1       	5       	2.53    	1.18706 
1  	84    	0       	0.394632	0.182991	0.116703	1       	4       	2.33    	1.10503 
2  	80    	0       	0.395816	0.235515	0.121522	1       	4       	2.21    	1.08899 
3  	88    	0       	0.398417	0.270843	0.0961831	1       	5       	2.16    	1.09289 
4  	73    	0       	0.398417	0.299346	0.101166 	1       	4       	2.21    	1.07977 
5  	81    	0       	0.402303	0.328826	0.100032 	1       	4       	2.24    	1.01114 
6  	69    	0       	0.409422	0.328668	0.119304 	1       	4       	2.23    	1.19042 
7  	82    	0       	0.402303	0.34669 	0.0929355	1       	5       	2.19    	1.21404 
8  	68    	0       	0.404606	0.354218	0.0961919	1       	4       	2.2     	1.15758 
9  	73    	0       	0.404606	0.356954	0.0969331	1       	5       	2.28    	1.2254  
10 	76    	0       	0.404606	0.118542	0.181108 	1       	4       	2.36    	1.09105 
--- 3603.202083349228 sec ---
