   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.585094	0.193857	0.200214	1       	5       	2.83    	1.15806 
1  	77    	0       	0.585094	0.272001	0.206147	1       	4       	2.7     	1.08167 
2  	86    	0       	0.585094	0.375894	0.178396	1       	5       	2.71    	1.15148 
3  	79    	0       	0.585094	0.455834	0.146691	1       	4       	2.75    	1.09886 
4  	78    	0       	0.595666	0.482167	0.139439	1       	5       	2.81    	1.05541 
5  	75    	0       	0.595666	0.515699	0.125392	1       	5       	2.88    	1.0028  
6  	74    	0       	0.595666	0.505885	0.14129 	1       	5       	2.95    	1.0332  
7  	72    	0       	0.595666	0.528003	0.112392	1       	5       	3.07    	1.0223  
8  	69    	0       	0.595666	0.46957 	0.192386	1       	5       	3.22    	0.911921
9  	68    	0       	0.603646	0.483691	0.174206	1       	5       	3.14    	0.959375
10 	67    	0       	0.605312	0.50743 	0.156387	1       	4       	3.22    	0.889719
11 	69    	0       	0.605312	0.493561	0.182802	1       	5       	3.38    	0.987725
12 	64    	0       	0.605312	0.494145	0.189423	1       	5       	3.17    	1.02034 
13 	76    	0       	0.605312	0.527948	0.138804	1       	5       	3.03    	1.18706 
14 	51    	0       	0.605312	0.533817	0.146245	1       	5       	3.32    	1.00876 
15 	63    	0       	0.605312	0.472583	0.213395	1       	5       	3.47    	1.03397 
16 	60    	0       	0.605312	0.465205	0.221342	1       	5       	3.46    	1.03363 
17 	66    	0       	0.605312	0.496433	0.199956	1       	5       	3.23    	1.18199 
18 	75    	0       	0.605312	0.455286	0.220564	1       	5       	3.22    	1.02548 
19 	58    	0       	0.605312	0.503044	0.185892	1       	5       	3.38    	1.00777 
20 	68    	0       	0.605312	0.547829	0.143616	1       	5       	3.19    	0.996945
21 	60    	0       	0.605312	0.535367	0.160205	1       	5       	3.28    	1.0008  
22 	71    	0       	0.605312	0.510116	0.196081	2       	5       	3.37    	0.94504 
23 	62    	0       	0.605926	0.543151	0.150807	1       	5       	3.24    	1.03073 
24 	59    	0       	0.605926	0.557808	0.148304	1       	5       	3.05    	0.973396
25 	40    	0       	0.607226	0.55473 	0.150335	1       	5       	3.07    	0.930108
26 	52    	0       	0.607226	0.569788	0.128213	2       	5       	2.96    	0.915642
27 	61    	0       	0.607226	0.509826	0.185702	2       	5       	2.91    	0.928386
28 	60    	0       	0.607226	0.520884	0.178344	1       	5       	2.8     	0.883176
29 	56    	0       	0.607226	0.5472  	0.15329 	1       	4       	2.67    	0.87241 
30 	63    	0       	0.607226	0.544351	0.157093	1       	4       	2.53    	0.805667
31 	51    	0       	0.607226	0.550089	0.142573	1       	4       	2.59    	0.849647
32 	60    	0       	0.607226	0.537118	0.158057	2       	4       	2.76    	0.884534
33 	51    	0       	0.607226	0.563668	0.133462	2       	4       	2.92    	0.820731
34 	60    	0       	0.607226	0.529163	0.189656	1       	4       	3.09    	0.861336
35 	62    	0       	0.607226	0.537353	0.178962	1       	4       	3.25    	0.792149
36 	52    	0       	0.607226	0.516874	0.207781	1       	5       	3.21    	0.816027
37 	51    	0       	0.607226	0.49941 	0.21432 	1       	5       	3.19    	0.844926
38 	37    	0       	0.607226	0.555534	0.146964	1       	4       	3.06    	0.822435
39 	56    	0       	0.613853	0.531463	0.184046	1       	5       	2.99    	0.842556
40 	46    	0       	0.613853	0.517788	0.203809	2       	4       	3.02    	0.824379
41 	56    	0       	0.613853	0.540184	0.178661	2       	5       	3.09    	0.837795
42 	42    	0       	0.613853	0.564805	0.145389	1       	5       	2.92    	0.890842
43 	53    	0       	0.613853	0.536521	0.187753	1       	5       	3.01    	0.818474
44 	46    	0       	0.613853	0.566668	0.133756	1       	4       	2.98    	0.79975 
45 	49    	0       	0.613853	0.579361	0.111915	2       	4       	2.92    	0.744043
46 	62    	0       	0.613853	0.461753	0.249478	1       	5       	3.12    	0.790949
--- 3600.523616552353 sec ---
