['1', '1', '2', '2', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '2', '2', '1', '2', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '1', '2', '1', '1', '2', '1', '1', '2', '1', '2', '1', '2', '2', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '2', '2', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '2', '1', '2', '1', '1', '1', '2', '2', '1', '1', '1', '1', '2', '2', '2', '1', '1', '1', '1', '1', '2', '2', '2', '1', '1', '2', '1', '1', '2', '1', '2', '2', '2', '1', '1', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '2', '1', '1', '2', '2', '1', '2', '1', '2', '1', '1', '2', '1', '2', '2', '1', '1', '2', '1', '1', '2', '1', '1', '2', '2', '1', '2', '1', '1', '1', '2', '2', '1', '1', '1', '1', '1', '2', '1', '1', '2', '2', '1', '1', '2', '1', '1', '1', '1', '2', '1', '2', '2', '1', '2', '1', '1', '2', '1', '1', '1', '1', '1', '1', '2', '2', '2', '1', '1', '2']
{'accuracy_score': 0.9914163090128756, 'balanced_accuracy_score': 0.9904820261437909, 'macro_precision_score': 0.9904820261437909, 'macro_recall_score': 0.9904820261437909, 'macro_f1_score': 0.9904820261437909, 'micro_precision_score': 0.9914163090128756, 'micro_recall_score': 0.9914163090128756, 'micro_f1_score': 0.9914163090128756}
smote('not majority',5);extraTreesClassifier(91,'entropy','log2',7,8,True,'balanced')
selectFwe(0.0013207391119322604);smote('not majority',5);varianceThreshold();extraTreesClassifier(91,'entropy','log2',7,8,True,'balanced')
smote('minority',5);extraTreesClassifier(91,'entropy','log2',7,8,True,'balanced')
smote('not majority',5);randomOverSampler('not minority');extraTreesClassifier(91,'entropy','log2',7,8,True,'balanced')
smote('not majority',5);extraTreesClassifier(61,'entropy','log2',10,5,True,'balanced_subsample')
smote('not majority',5);extraTreesClassifier(81,'entropy','sqrt',18,8,True,'None')
smote('not majority',5);randomOverSampler('not majority');extraTreesClassifier(91,'entropy','log2',7,8,True,'balanced')
smote('not majority',5);extraTreesClassifier(66,'gini','sqrt',9,5,True,'balanced_subsample')
smote('not majority',5);maxAbsScaler();varianceThreshold();extraTreesClassifier(91,'entropy','log2',7,8,True,'balanced')
smote('not majority',5);extraTreesClassifier(72,'gini','sqrt',16,4,True,'None')
