['5', '3', '3', '3', '5', '3', '6', '4', '3', '2', '3', '4', '5', '3', '5', '3', '5', '3', '5', '3', '5', '5', '3', '3', '3', '5', '3', '3', '5', '3', '5', '3', '3', '4', '5', '3', '3', '3', '3', '2', '3', '5', '3', '4', '3', '3', '2', '3', '3', '3', '3', '5', '6', '3', '6', '4', '3', '3', '2', '3', '3', '4', '4', '3', '3', '5', '2', '5', '3', '3', '1', '3', '3', '3', '3', '3', '4', '4', '3', '3', '5', '3', '3', '3', '5', '3', '5', '5', '2', '5', '5', '5', '2', '6', '3', '5', '2', '2', '4', '3', '3', '3', '5', '4', '3', '5', '3', '5', '3', '6', '3', '3', '3', '5', '4', '3', '5', '3', '3', '4', '2', '3', '5', '5', '4', '4', '4', '4', '3', '5', '3', '2', '5', '5', '3', '3', '3', '3', '5', '5', '3', '4', '3', '3', '5', '2', '3', '5', '4', '3', '5', '2', '3', '3', '3', '4', '3', '3', '5', '5', '4', '5', '3', '5', '3', '3', '3', '3', '3', '3', '4', '3', '4', '5', '5', '6', '3', '3', '5', '3', '6', '5', '4', '3', '3', '6', '5', '5', '3', '5', '2', '3', '3', '3', '3', '3', '4', '3', '3', '2', '3', '1', '3', '5', '5', '5', '4', '5', '3', '3', '3', '5', '3', '5', '3', '1', '5', '3', '3', '4', '3', '5', '3', '3', '5', '3', '3', '5', '3', '3', '5', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3', '5', '4', '6', '3', '2', '3', '2', '2', '3', '2', '3', '3', '4', '3', '4', '1', '3', '3', '3', '5', '3', '5', '4', '6', '3', '4', '6', '5', '6', '3', '5', '3', '4', '5', '5', '4', '3', '2', '3', '3', '3', '3', '6', '3', '5', '3', '2', '3', '4', '4', '3', '3', '3', '3', '5', '4', '2', '3', '3', '4', '5', '3', '4', '5', '5', '3', '2', '2', '3', '3', '4', '4', '4', '3', '4', '3', '3', '3', '3', '3', '4', '3', '5', '4', '2', '4', '3', '3', '3', '3', '2', '4', '2', '2', '3', '4', '4', '4', '5', '3', '3', '2', '3', '3', '3', '4', '5', '5', '3', '4', '3', '3', '3', '5', '5', '5', '5', '4', '4', '2', '3', '3', '3', '3', '4', '2', '3', '3', '2', '5', '5', '3', '3', '3', '5', '3', '4', '2', '3', '2', '3', '3', '3', '5', '3', '3', '3', '4', '1', '2', '3', '3', '3', '2', '5', '3', '3', '3', '3', '4', '3', '4', '4', '4', '3', '3', '4', '4', '5', '5', '3', '5', '3', '3', '3', '3', '3', '2', '4', '5', '3', '4', '5', '3', '3', '5', '3', '5', '3', '2', '5', '3', '5', '4', '5', '3', '3', '3', '3', '3', '3', '3', '5', '3', '5', '3', '3', '4', '3', '5', '3', '5', '5', '3', '4', '3', '6', '3', '3', '3', '3', '5', '5', '3', '3', '3', '5', '6', '3', '5', '3', '5', '3', '5', '5', '3', '1', '4', '3', '5', '3', '3', '3', '4', '3', '3', '5', '1', '3', '3', '3', '4', '3', '4', '1', '5', '3', '4', '5', '3', '5', '6', '4', '5', '2', '3', '3', '4', '3', '5', '5', '5', '5', '3', '2', '4', '4', '5', '3', '4', '3', '3', '2', '3', '2', '6', '3', '5', '4', '5', '3', '4']
{'accuracy_score': 0.49906191369606, 'balanced_accuracy_score': 0.3443973665634024, 'macro_precision_score': 0.2980083762635684, 'macro_recall_score': 0.3443973665634024, 'macro_f1_score': 0.28872088726832695, 'micro_precision_score': 0.49906191369606, 'micro_recall_score': 0.49906191369606, 'micro_f1_score': 0.49906191369606}
smote('minority',3);extraTreesClassifier(78,'gini','sqrt',10,13,False,'balanced_subsample')
selectFwe(0.03749744992002947);smote('minority',4);extraTreesClassifier(87,'entropy','log2',7,10,False,'balanced_subsample')
smote('minority',3);extraTreesClassifier(100,'entropy','sqrt',19,12,False,'balanced_subsample')
smote('minority',3);extraTreesClassifier(78,'entropy','sqrt',10,12,False,'balanced_subsample')
selectFwe(0.03749744992002947);smote('minority',3);extraTreesClassifier(87,'entropy','log2',7,10,False,'balanced_subsample')
smote('minority',2);extraTreesClassifier(57,'gini','log2',3,15,False,'balanced')
smote('minority',3);extraTreesClassifier(67,'gini','sqrt',19,9,False,'balanced')
smote('minority',3);minMaxScaler();extraTreesClassifier(67,'gini','sqrt',19,9,False,'balanced')
smote('minority',3);simpleImputer('most_frequent');extraTreesClassifier(67,'gini','sqrt',19,9,False,'balanced')
varianceThreshold();smote('minority',3);extraTreesClassifier(67,'gini','sqrt',19,9,False,'balanced')
