   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std      	min     	max     	avg     	std     
0  	100   	0       	0.192401	0.061481	0.0624117	1       	5       	2.83    	1.15806 
1  	96    	0       	0.198732	0.0895938	0.0625352	1       	5       	2.93    	1.05124 
2  	98    	0       	0.20705 	0.110226 	0.0575091	1       	5       	3.07    	0.961821
3  	93    	0       	0.204954	0.13565  	0.0482362	1       	5       	3.08    	0.945304
4  	97    	0       	0.205956	0.150577 	0.0420931	1       	4       	2.81    	0.955981
5  	97    	0       	0.220836	0.15854  	0.0503868	1       	5       	2.76    	0.991161
6  	96    	0       	0.220836	0.160118 	0.0526831	1       	5       	2.79    	1.00295 
7  	96    	0       	0.220836	0.160923 	0.0495355	1       	5       	2.77    	0.947154
8  	91    	0       	0.217094	0.16692  	0.0472471	1       	4       	2.73    	0.936536
9  	97    	0       	0.217094	0.166689 	0.0504915	1       	4       	2.72    	1.04957 
10 	93    	0       	0.217248	0.164196 	0.0582696	1       	5       	2.81    	1.01681 
11 	89    	0       	0.219155	0.16401  	0.0612065	1       	4       	2.59    	1.01089 
12 	85    	0       	0.2234  	0.157004 	0.0672016	1       	5       	2.61    	1.07606 
13 	90    	0       	0.219155	0.039514 	0.0772453	1       	5       	2.52    	0.964158
--- 3602.715841293335 sec ---
