   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std      	min     	max     	avg     	std     
0  	100   	0       	0.178736	0.0675582	0.0596542	1       	4       	2.49    	1.08162 
1  	90    	0       	0.186156	0.0944861	0.0539161	1       	5       	2.35    	1.15217 
2  	96    	0       	0.196197	0.117889 	0.0463902	1       	4       	2.44    	1.15169 
3  	95    	0       	0.196197	0.128661 	0.0497456	1       	5       	2.69    	1.28604 
4  	94    	0       	0.197013	0.132532 	0.0545657	1       	5       	2.93    	1.22683 
5  	93    	0       	0.198622	0.135834 	0.0537188	1       	5       	3.14    	1.14035 
6  	96    	0       	0.198622	0.142455 	0.0497224	1       	5       	3.21    	1.07977 
7  	94    	0       	0.200414	0.156543 	0.032044 	1       	5       	3.2     	1.10454 
8  	93    	0       	0.19955 	0.146015 	0.0557725	1       	5       	3.25    	1.08972 
9  	93    	0       	0.206573	0.137932 	0.0633942	1       	5       	3.19    	1.11978 
10 	94    	0       	0.197956	0.0596768	0.0816417	1       	5       	3.23    	1.03783 
--- 3619.0528206825256 sec ---
