   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.970799	0.737928	0.363366	1       	5       	2.92    	1.03615 
1  	91    	0       	0.970799	0.826966	0.285234	1       	5       	2.7     	1.09087 
2  	94    	0       	0.970799	0.87237 	0.225377	1       	4       	2.65    	0.99373 
3  	94    	0       	0.972439	0.839741	0.291553	1       	5       	2.78    	0.954777
4  	97    	0       	0.972439	0.872134	0.262184	1       	4       	2.77    	0.925797
5  	93    	0       	0.972439	0.873617	0.263301	1       	5       	3.06    	0.967678
6  	89    	0       	0.972439	0.851454	0.294909	1       	5       	3.1     	0.921954
7  	95    	0       	0.972439	0.877826	0.276532	1       	5       	3.24    	0.928655
8  	92    	0       	0.972439	0.893577	0.236562	1       	5       	3.32    	0.97857 
9  	94    	0.5     	0.972439	0.958933	0.0515686	1       	4       	3.46    	0.921086
10 	97    	0       	0.972439	0.909995	0.215714 	1       	4       	3.64    	0.741889
11 	95    	0       	0.972439	0.920042	0.19632  	1       	4       	3.77    	0.614085
12 	95    	0       	0.972439	0.904064	0.233186 	1       	5       	3.67    	0.813081
13 	94    	0       	0.972439	0.953271	0.106778 	1       	4       	3.61    	0.81111 
14 	90    	0       	0.972439	0.918913	0.211108 	1       	5       	3.8     	0.707107
15 	95    	0       	0.974078	0.920459	0.211218 	1       	5       	3.72    	0.7494  
16 	94    	0       	0.974078	0.914868	0.213    	1       	5       	3.63    	0.795676
17 	97    	0       	0.974078	0.917644	0.199162 	1       	4       	3.58    	0.826801
18 	91    	0.5     	0.974078	0.958191	0.0671095	1       	4       	3.67    	0.707884
19 	95    	0       	0.974078	0.919207	0.211325 	1       	5       	3.67    	0.693614
20 	96    	0       	0.974078	0.912251	0.202272 	1       	5       	3.71    	0.697065
21 	96    	0       	0.974078	0.92607 	0.190533 	1       	5       	3.66    	0.681469
22 	98    	0       	0.974078	0.908246	0.229894 	1       	4       	3.67    	0.762299
23 	93    	0       	0.974078	0.908804	0.23006  	2       	5       	3.83    	0.491019
24 	95    	0       	0.974078	0.938596	0.165334 	2       	5       	3.89    	0.397366
25 	94    	0       	0.974078	0.938051	0.165354 	1       	4       	3.82    	0.517301
26 	92    	0       	0.974078	0.93805 	0.165543 	1       	5       	3.76    	0.665132
27 	95    	0       	0.974078	0.931058	0.173239 	2       	5       	3.8     	0.565685
28 	94    	0       	0.974078	0.895307	0.250177 	2       	5       	3.78    	0.62578 
29 	96    	0       	0.975564	0.936917	0.149798 	1       	4       	3.73    	0.690724
30 	91    	0       	0.975564	0.952563	0.0999867	1       	5       	3.69    	0.673721
31 	91    	0       	0.975564	0.926845	0.190555 	1       	5       	3.62    	0.745386
32 	96    	0.873542	0.975564	0.966785	0.0121754	1       	5       	3.62    	0.689638
33 	94    	0       	0.975564	0.904452	0.233409 	1       	5       	3.69    	0.688404
34 	95    	0       	0.975564	0.934638	0.1663   	1       	5       	3.79    	0.553082
35 	98    	0       	0.975564	0.939562	0.165387 	2       	5       	3.83    	0.448442
36 	94    	0       	0.975564	0.917145	0.21108  	1       	4       	3.65    	0.726292
37 	87    	0       	0.975564	0.916098	0.212074 	1       	5       	3.78    	0.641561
38 	94    	0       	0.975564	0.907991	0.230068 	1       	5       	3.74    	0.626418
39 	88    	0       	0.975564	0.914717	0.203282 	1       	5       	3.7     	0.655744
40 	95    	0       	0.975564	0.913302	0.215067 	1       	4       	3.72    	0.584466
41 	92    	0       	0.975564	0.919416	0.211492 	1       	4       	3.73    	0.563116
42 	92    	0       	0.975564	0.387465	0.474569 	1       	4       	3.77    	0.50705 
--- 3600.5150837898254 sec ---
