   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.934412	0.392005	0.323486	1       	5       	2.78    	1.07313 
1  	89    	0       	0.934412	0.461946	0.330079	1       	5       	2.78    	1.11875 
2  	86    	0       	0.937283	0.533622	0.324614	1       	5       	2.65    	1.19478 
3  	90    	0       	0.967588	0.583075	0.324214	1       	4       	2.76    	1.12357 
4  	94    	0       	0.983465	0.667328	0.286319	1       	5       	2.85    	1.17792 
5  	97    	0       	0.983743	0.733639	0.266718	1       	5       	2.73    	1.19879 
6  	95    	0       	0.983743	0.683703	0.32031 	1       	5       	2.77    	1.2398  
7  	93    	0       	0.983743	0.738277	0.286863	1       	5       	2.47    	1.15287 
8  	91    	0       	0.983743	0.807861	0.236372	1       	5       	2.38    	1.12942 
9  	91    	0       	0.983743	0.83875 	0.196449	1       	5       	2.22    	1.14525 
10 	94    	0       	0.983743	0.789336	0.25473 	1       	4       	2.29    	1.05162 
11 	90    	0       	0.983743	0.836115	0.213815	1       	4       	2.06    	1.02781 
12 	90    	0       	0.983743	0.807536	0.255479	1       	4       	2.26    	1.04518 
13 	91    	0       	0.984057	0.815073	0.247662	1       	4       	2.24    	1.15862 
14 	90    	0       	0.984057	0.812833	0.276374	1       	4       	2.07    	1.11584 
15 	93    	0       	0.984359	0.785808	0.286977	1       	4       	2.19    	1.17213 
16 	92    	0       	0.984359	0.695053	0.379804	1       	4       	2.06    	1.04709 
--- 3600.103810787201 sec ---
