   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.726653	0.390976	0.282   	1       	4       	2.69    	1.11081 
1  	98    	0       	0.731154	0.49138 	0.234264	1       	4       	2.58    	1.06939 
2  	97    	0       	0.743164	0.575108	0.166602	1       	4       	2.46    	1.10833 
3  	92    	0       	0.743164	0.577302	0.197384	1       	5       	2.46    	1.21178 
4  	99    	0       	0.743164	0.59602 	0.158708	1       	4       	2.54    	1.12623 
5  	95    	0       	0.743164	0.561593	0.237832	1       	5       	2.82    	1.25204 
6  	96    	0       	0.743164	0.517947	0.269689	1       	5       	2.64    	1.2126  
7  	94    	0       	0.743164	0.569645	0.241326	1       	5       	2.64    	1.16207 
8  	94    	0       	0.743164	0.606598	0.214421	1       	5       	2.53    	1.19545 
9  	93    	0       	0.743164	0.59232 	0.238259	1       	5       	2.58    	1.29754 
10 	92    	0       	0.743164	0.626937	0.186406	1       	5       	2.57    	1.32102 
11 	94    	0       	0.743164	0.619565	0.176732	1       	5       	2.55    	1.27574 
12 	93    	0       	0.743164	0.648005	0.124019	1       	5       	2.54    	1.32981 
13 	97    	0       	0.743164	0.620592	0.198096	1       	5       	2.6     	1.29615 
14 	91    	0       	0.743164	0.65731 	0.151842	1       	4       	2.65    	1.29904 
15 	99    	0       	0.743164	0.66338 	0.132782	1       	5       	2.64    	1.30015 
16 	94    	0       	0.743164	0.624209	0.206451	1       	5       	2.85    	1.19478 
17 	95    	0       	0.743164	0.636544	0.187086	1       	5       	3       	1.13137 
18 	92    	0       	0.743603	0.569075	0.274085	1       	4       	3.17    	1.01049 
19 	93    	0       	0.743164	0.573921	0.252564	1       	4       	3.14    	1.09563 
20 	95    	0       	0.743174	0.601737	0.224513	1       	4       	3.29    	1.02269 
21 	95    	0       	0.743164	0.627954	0.208038	1       	4       	3.39    	0.936963
22 	98    	0       	0.743603	0.566545	0.25738 	1       	4       	3.47    	0.963898
23 	91    	0       	0.743603	0.604177	0.239582	1       	5       	3.54    	0.865101
24 	97    	0       	0.743603	0.644975	0.187106	1       	4       	3.36    	1.0346  
25 	91    	0       	0.743603	0.602263	0.241813	1       	5       	3.34    	1.11553 
26 	94    	0       	0.743603	0.627624	0.198891	1       	4       	3.35    	1.00374 
27 	94    	0       	0.743603	0.637575	0.188425	1       	4       	3.34    	1.04135 
28 	93    	0       	0.743603	0.633486	0.198848	1       	4       	3.3     	1.0247  
29 	95    	0       	0.743603	0.648773	0.175928	1       	5       	3.3     	1.0247  
30 	94    	0       	0.743603	0.627183	0.21764 	1       	4       	3.3     	0.943398
31 	92    	0       	0.74392 	0.60953 	0.225304	1       	5       	3.15    	1.06184 
32 	95    	0       	0.74392 	0.644916	0.189314	1       	4       	3.22    	0.922822
33 	93    	0       	0.748836	0.624465	0.217649	1       	4       	3.29    	0.930537
34 	94    	0       	0.748836	0.615088	0.225236	1       	5       	3.38    	0.869253
35 	97    	0       	0.748836	0.603639	0.241411	1       	5       	3.54    	0.876584
36 	89    	0       	0.749379	0.614984	0.216279	1       	5       	3.58    	0.763937
37 	93    	0       	0.75096 	0.630507	0.208653	2       	5       	3.7     	0.538516
38 	95    	0       	0.75096 	0.678096	0.115863	1       	4       	3.64    	0.671118
39 	93    	0       	0.75096 	0.669014	0.135591	1       	4       	3.8     	0.469042
40 	94    	0       	0.75096 	0.681322	0.0981572	1       	5       	3.82    	0.497594
41 	96    	0       	0.75096 	0.649271	0.176999 	1       	5       	3.65    	0.68374 
42 	91    	0       	0.75096 	0.657431	0.163109 	1       	5       	3.77    	0.50705 
43 	95    	0.5     	0.75096 	0.693766	0.0611579	3       	4       	3.76    	0.427083
44 	96    	0       	0.75096 	0.658143	0.166641 	1       	5       	3.68    	0.661513
45 	95    	0       	0.75096 	0.635865	0.201673 	1       	5       	3.7     	0.608276
46 	94    	0       	0.75096 	0.649219	0.175657 	2       	5       	3.65    	0.638357
47 	97    	0       	0.75096 	0.665542	0.135856 	2       	5       	3.64    	0.608605
48 	91    	0       	0.75096 	0.626659	0.165955 	1       	5       	3.56    	0.778717
49 	95    	0       	0.75096 	0.644557	0.177234 	1       	5       	3.6     	0.761577
50 	96    	0       	0.75096 	0.660295	0.13898  	1       	5       	3.57    	0.724638
51 	99    	0       	0.75096 	0.644961	0.162859 	1       	5       	3.7     	0.67082 
52 	90    	0       	0.75096 	0.639519	0.188481 	1       	5       	3.75    	0.71239 
53 	91    	0       	0.75096 	0.665254	0.124127 	1       	5       	3.65    	0.753326
54 	97    	0       	0.75096 	0.644305	0.179494 	2       	5       	3.64    	0.656049
55 	94    	0       	0.75096 	0.685425	0.11462  	2       	5       	3.77    	0.563116
56 	96    	0       	0.75096 	0.676018	0.148985 	2       	5       	3.72    	0.617738
57 	95    	0       	0.75096 	0.642114	0.191737 	2       	5       	3.71    	0.682569
58 	97    	0       	0.75096 	0.666623	0.138609 	1       	5       	3.5     	0.806226
59 	91    	0       	0.75096 	0.679646	0.118174 	1       	5       	3.41    	0.884251
60 	93    	0       	0.75096 	0.661535	0.167498 	2       	4       	3.58    	0.695414
61 	93    	0       	0.75096 	0.628537	0.212088 	2       	4       	3.61    	0.646452
62 	97    	0       	0.75096 	0.637378	0.194118 	1       	4       	3.61    	0.676683
