   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.991041	0.580258	0.39665 	1       	4       	2.69    	1.11081 
1  	93    	0       	0.991041	0.69251 	0.351153	1       	4       	2.46    	1.1783  
2  	94    	0       	0.993256	0.821371	0.263649	1       	5       	2.44    	1.17745 
3  	95    	0       	0.99378 	0.861457	0.248958	1       	5       	2.32    	1.1822  
4  	92    	0       	0.99378 	0.890657	0.202449	1       	5       	2.34    	1.17661 
5  	95    	0       	0.99378 	0.904459	0.215499	1       	5       	2.2     	1.16619 
6  	95    	0       	0.99378 	0.886826	0.242786	1       	4       	2.22    	1.06377 
7  	92    	0       	0.99378 	0.944171	0.145797	1       	4       	2.15    	1.0332  
8  	91    	0       	0.99378 	0.26077 	0.429198	1       	4       	2.34    	1.12446 
--- 3600.624655008316 sec ---
