   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std     	min     	max     	avg     	std     
0  	100   	0       	0.514216	0.0501311	0.150402	1       	5       	2.93    	1.05124 
1  	96    	0       	0.618207	0.047183 	0.150412	1       	5       	3.1     	0.984886
2  	95    	0       	0.629884	0.109975 	0.213894	1       	5       	3.21    	1.07047 
3  	94    	0       	0.630369	0.126118 	0.225167	1       	5       	3.41    	0.980765
4  	92    	0       	0.630369	0.167864 	0.245473	1       	5       	3.36    	1.01509 
5  	98    	0       	0.630369	0.2114   	0.259881	1       	5       	3.42    	1.08793 
6  	97    	0       	0.630369	0.26132  	0.262345	1       	5       	3.51    	0.974628
7  	93    	0       	0.630369	0.335611 	0.258836	1       	5       	3.51    	1.00494 
8  	94    	0       	0.630369	0.362999 	0.251117	1       	5       	3.45    	0.920598
9  	98    	0       	0.653675	0.394771 	0.24239 	1       	5       	3.41    	0.928386
10 	97    	0       	0.658455	0.395051 	0.242843	2       	5       	3.42    	0.826801
11 	95    	0       	0.658455	0.434097 	0.233492	1       	5       	3.43    	0.897274
12 	96    	0       	0.658455	0.422457 	0.240467	2       	5       	3.59    	0.825772
13 	95    	0       	0.658455	0.255976 	0.278923	2       	5       	3.5     	0.877496
--- 3602.842362642288 sec ---
