   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std      	min     	max     	avg     	std     
0  	100   	0       	0.515518	0.0201261	0.0986078	1       	5       	2.74    	1.03557 
1  	93    	0       	0.530615	0.0255985	0.111617 	1       	5       	2.78    	1.03518 
2  	92    	0       	0.559741	0.0458934	0.146053 	1       	5       	2.76    	1.01114 
3  	94    	0       	0.559741	0.0605926	0.164185 	1       	5       	2.98    	0.96933 
4  	96    	0       	0.559741	0.0755537	0.179948 	1       	5       	2.94    	1.04709 
5  	92    	0       	0.630236	0.153802 	0.23544  	1       	5       	2.91    	0.949684
6  	89    	0       	0.673504	0.204278 	0.256816 	1       	5       	3.03    	0.805667
7  	97    	0       	0.673504	0.233525 	0.265451 	1       	4       	3.27    	0.772722
8  	97    	0       	0.677067	0.244588 	0.267212 	1       	5       	3.42    	0.826801
9  	96    	0       	0.677067	0.28408  	0.264297 	1       	5       	3.49    	0.830602
10 	97    	0       	0.677067	0.339715 	0.257092 	2       	5       	3.63    	0.702211
11 	94    	0       	0.677067	0.119909 	0.227232 	1       	5       	3.59    	0.722426
--- 3623.315236568451 sec ---
