   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.919092	0.515348	0.37266 	1       	5       	2.76    	1.24193 
1  	94    	0       	0.921191	0.688755	0.300438	1       	5       	2.29    	1.23527 
2  	93    	0       	0.927458	0.763868	0.250868	1       	5       	2.5     	1.26886 
3  	96    	0       	0.927458	0.765538	0.269878	1       	5       	2.71    	1.27511 
4  	95    	0       	0.93653 	0.729578	0.316036	1       	5       	2.71    	1.20246 
5  	94    	0       	0.93653 	0.781192	0.288173	1       	4       	2.46    	1.24435 
6  	91    	0       	0.93653 	0.817674	0.236902	1       	4       	2.5     	1.20416 
7  	97    	0       	0.936842	0.832633	0.208402	1       	4       	2.48    	1.21227 
8  	99    	0       	0.936842	0.827714	0.223729	1       	5       	2.53    	1.22029 
9  	94    	0       	0.938135	0.839307	0.229716	1       	4       	2.38    	1.18136 
10 	95    	0       	0.938135	0.828415	0.242381	1       	5       	2.58    	1.25044 
11 	93    	0       	0.938555	0.857254	0.189615	1       	5       	2.58    	1.17627 
12 	95    	0       	0.938555	0.814481	0.263128	1       	5       	2.62    	1.12942 
13 	93    	0       	0.938638	0.403243	0.449124	1       	5       	2.72    	1.10526 
--- 3604.765030145645 sec ---
