   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.945571	0.523994	0.397596	1       	5       	2.78    	1.07313 
1  	94    	0       	0.945571	0.673146	0.318599	1       	5       	2.74    	1.06414 
2  	93    	0       	0.945571	0.7288  	0.301395	1       	5       	2.69    	1.08347 
3  	91    	0       	0.945571	0.795344	0.260995	1       	5       	2.65    	1.14346 
4  	89    	0       	0.945571	0.757621	0.30946 	1       	5       	2.77    	1.2398  
5  	91    	0       	0.945799	0.799855	0.288523	1       	5       	2.69    	1.16357 
6  	96    	0       	0.94737 	0.7839  	0.310623	1       	5       	2.48    	1.2687  
7  	93    	0       	0.948946	0.88821 	0.145079	1       	5       	2.37    	1.32405 
8  	94    	0       	0.952336	0.847936	0.243324	1       	5       	2.31    	1.31678 
9  	92    	0       	0.952336	0.88894 	0.166896	1       	5       	2.59    	1.43593 
10 	90    	0       	0.952336	0.815439	0.294695	1       	5       	2.85    	1.43091 
11 	94    	0       	0.952336	0.865862	0.215932	1       	5       	2.86    	1.46983 
12 	93    	0       	0.952336	0.841096	0.269139	1       	5       	3.07    	1.44399 
13 	92    	0       	0.952336	0.907442	0.1631  	1       	5       	3.15    	1.4586  
14 	96    	0       	0.952336	0.580898	0.447953	1       	5       	3       	1.3784  
--- 3601.598821401596 sec ---
