   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.493348	0.159444	0.14579 	1       	5       	2.98    	1.21639 
1  	91    	0       	0.493348	0.208371	0.151497	1       	5       	2.97    	1.05314 
2  	96    	0       	0.493348	0.247262	0.146574	1       	5       	2.99    	1.05352 
3  	97    	0       	0.493348	0.277666	0.127919	1       	5       	3.11    	1.04781 
4  	95    	0       	0.493348	0.259239	0.140374	1       	5       	3.08    	0.996795
5  	97    	0       	0.501809	0.293568	0.130923	1       	5       	3.02    	1.04862 
6  	96    	0       	0.501809	0.325417	0.116906	1       	5       	3.05    	0.90967 
7  	99    	0       	0.501809	0.329132	0.135397	1       	5       	3.11    	0.893252
8  	86    	0       	0.501809	0.351214	0.128191	1       	5       	3.06    	0.914549
9  	87    	0       	0.520484	0.344633	0.144668	1       	5       	3.05    	0.99373 
10 	94    	0       	0.52234 	0.343775	0.150988	1       	5       	3.31    	0.934826
11 	95    	0       	0.536732	0.348612	0.157257	1       	5       	3.11    	0.893252
12 	96    	0       	0.536732	0.388656	0.130149	1       	5       	3.18    	0.983667
13 	91    	0       	0.543794	0.373576	0.15931 	1       	5       	3.01    	0.943345
14 	92    	0       	0.553057	0.388152	0.128146	1       	4       	2.85    	0.931397
15 	90    	0       	0.553057	0.410041	0.12869 	1       	5       	2.9     	0.932738
16 	92    	0       	0.553057	0.417851	0.120269	1       	4       	2.83    	0.980357
17 	94    	0       	0.560555	0.428827	0.113418	1       	4       	2.92    	0.955824
18 	90    	0       	0.560555	0.423848	0.118475	1       	4       	2.9     	0.994987
19 	92    	0       	0.560555	0.420566	0.122652	1       	5       	3.12    	1.01272 
20 	90    	0       	0.560555	0.435172	0.10865 	1       	4       	3.18    	1.00379 
21 	87    	0       	0.560555	0.435453	0.112671	1       	4       	3.23    	0.947154
22 	93    	0       	0.560555	0.394989	0.150558	1       	5       	3.43    	0.90835 
23 	92    	0       	0.560555	0.415482	0.138222	1       	5       	3.38    	0.967264
24 	91    	0       	0.560555	0.431256	0.129184	1       	5       	3.58    	0.723602
25 	97    	0       	0.560555	0.417244	0.152555	1       	5       	3.64    	0.741889
26 	89    	0       	0.560555	0.41843 	0.147394	1       	5       	3.55    	0.779423
27 	95    	0       	0.560555	0.424138	0.12786 	1       	4       	3.45    	0.804674
28 	97    	0       	0.560926	0.430199	0.123744	1       	4       	3.37    	0.867813
29 	93    	0       	0.560926	0.423434	0.160779	1       	4       	3.5     	0.842615
30 	96    	0       	0.560926	0.423021	0.136255	1       	5       	3.46    	0.853464
31 	92    	0       	0.560926	0.436487	0.117739	1       	4       	3.53    	0.817985
32 	94    	0       	0.562731	0.413611	0.1642  	1       	4       	3.57    	0.681982
33 	96    	0       	0.561407	0.441431	0.10678 	1       	5       	3.59    	0.762824
34 	96    	0       	0.561407	0.431893	0.12416 	1       	5       	3.67    	0.735595
35 	93    	0.197225	0.561407	0.443799	0.0908761	1       	4       	3.6     	0.69282 
36 	91    	0       	0.561407	0.441947	0.100448 	1       	4       	3.61    	0.691303
37 	98    	0       	0.563621	0.442577	0.130168 	2       	4       	3.71    	0.65261 
38 	93    	0       	0.563621	0.425773	0.127776 	2       	5       	3.66    	0.65146 
39 	96    	0       	0.563621	0.431453	0.115683 	2       	4       	3.54    	0.669627
40 	97    	0       	0.563621	0.420464	0.135547 	1       	4       	3.48    	0.780769
41 	98    	0       	0.563621	0.107547	0.200477 	1       	4       	3.55    	0.668954
--- 3600.9625346660614 sec ---
