   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.602043	0.197295	0.193822	1       	5       	2.76    	1.24193 
1  	99    	0       	0.607105	0.271997	0.191751	1       	4       	2.34    	1.25873 
2  	97    	0       	0.610285	0.325536	0.176973	1       	5       	2.31    	1.33188 
3  	97    	0       	0.610285	0.379957	0.175049	1       	4       	2.18    	1.21145 
4  	95    	0       	0.610285	0.389831	0.198338	1       	5       	2.37    	1.27793 
5  	97    	0       	0.610285	0.42404 	0.181679	1       	5       	2.14    	1.18338 
6  	96    	0       	0.610285	0.483597	0.151639	1       	5       	2.03    	1.16151 
7  	89    	0       	0.610285	0.482375	0.155653	1       	5       	2.1     	1.253   
8  	94    	0       	0.613419	0.465736	0.194726	1       	5       	2.1     	1.27671 
9  	83    	0       	0.613419	0.512131	0.155008	1       	4       	2.04    	1.19097 
10 	91    	0       	0.613419	0.487029	0.196333	1       	5       	2.12    	1.29058 
11 	94    	0       	0.615703	0.501738	0.1835  	1       	5       	2.18    	1.28359 
12 	93    	0       	0.613419	0.476778	0.19593 	1       	5       	2.28    	1.24161 
13 	91    	0       	0.613419	0.50408 	0.166511	1       	4       	2.19    	1.16357 
14 	87    	0       	0.62005 	0.492527	0.192612	1       	4       	2.02    	1.07685 
15 	93    	0       	0.62005 	0.49254 	0.187522	1       	5       	2.07    	1.0794  
16 	94    	0       	0.62005 	0.505071	0.173103	1       	5       	2.13    	1.11942 
17 	91    	0       	0.62005 	0.493212	0.189106	1       	5       	2.11    	1.10359 
18 	89    	0       	0.62005 	0.501025	0.177286	1       	5       	2.19    	1.09266 
19 	93    	0       	0.62005 	0.520959	0.140314	1       	5       	2.2     	1.06771 
20 	85    	0       	0.62005 	0.50246 	0.172589	1       	4       	2.16    	1.03653 
21 	89    	0       	0.62069 	0.498271	0.180573	1       	5       	2.15    	1.13468 
22 	89    	0       	0.62069 	0.502504	0.186668	1       	5       	2.13    	1.07382 
23 	88    	0       	0.623128	0.5001  	0.185899	1       	5       	2.13    	1.0831  
24 	96    	0       	0.623128	0.496254	0.187922	1       	5       	2.27    	1.2071  
25 	92    	0       	0.623128	0.560954	0.0939517	1       	4       	2.1     	1.06301 
26 	90    	0       	0.623128	0.521624	0.163499 	1       	5       	2       	1.14891 
27 	91    	0       	0.623128	0.521807	0.161299 	1       	5       	2       	1.19164 
28 	93    	0       	0.624741	0.548562	0.129145 	1       	4       	2.15    	1.2278  
29 	93    	0       	0.624741	0.528432	0.144135 	1       	4       	2.03    	1.18706 
30 	85    	0       	0.624741	0.525581	0.151182 	1       	5       	2.27    	1.25583 
31 	93    	0       	0.624741	0.50069 	0.190828 	1       	5       	2.34    	1.24274 
32 	90    	0       	0.624741	0.530032	0.133355 	1       	5       	2.34    	1.26665 
33 	96    	0       	0.624741	0.499892	0.175509 	1       	5       	2.63    	1.36861 
34 	88    	0       	0.624741	0.498753	0.180941 	1       	5       	2.61    	1.39925 
35 	93    	0       	0.624741	0.461519	0.209117 	1       	5       	2.73    	1.40609 
--- 3601.1040897369385 sec ---
