   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.197488	0.053873	0.059935	1       	5       	2.91    	1.12334 
1  	95    	0       	0.197488	0.0839796	0.0584386	1       	5       	2.67    	1.1921  
2  	92    	0       	0.20016 	0.103202 	0.0543893	1       	5       	2.37    	1.11045 
3  	97    	0       	0.20016 	0.116398 	0.0498349	1       	5       	2.35    	1.12583 
4  	93    	0       	0.19983 	0.122131 	0.0590085	1       	5       	2.57    	1.27479 
5  	95    	0       	0.206585	0.135229 	0.0556404	1       	5       	2.73    	1.29503 
6  	96    	0       	0.206585	0.149388 	0.0527255	1       	5       	2.66    	1.31316 
7  	89    	0       	0.206585	0.154163 	0.0518222	1       	5       	2.72    	1.37899 
8  	93    	0       	0.206585	0.151691 	0.0585199	1       	5       	2.71    	1.29842 
9  	95    	0       	0.206585	0.162742 	0.0518481	1       	5       	2.84    	1.347   
10 	88    	0       	0.206585	0.164233 	0.0462895	1       	5       	3.13    	1.3759  
11 	91    	0       	0.206585	0.168604 	0.0388787	1       	5       	3.52    	1.30752 
12 	85    	0       	0.206585	0.171582 	0.0384086	1       	5       	3.52    	1.31514 
13 	92    	0       	0.206585	0.165588 	0.0522687	1       	5       	3.32    	1.31057 
14 	88    	0       	0.206585	0.16825  	0.0418268	1       	5       	3.34    	1.22654 
15 	87    	0       	0.206585	0.16129  	0.0534392	1       	5       	3.53    	1.29965 
16 	87    	0       	0.206585	0.157778 	0.0617557	1       	5       	3.49    	1.21239 
17 	92    	0       	0.212603	0.168244 	0.044808 	1       	5       	3.42    	1.17627 
18 	92    	0       	0.212603	0.163406 	0.05549  	1       	5       	3.65    	1.08051 
19 	88    	0       	0.212603	0.169544 	0.0475973	1       	5       	3.41    	1.25774 
20 	87    	0       	0.212603	0.158023 	0.0568277	1       	5       	3.35    	1.37386 
21 	92    	0       	0.212603	0.165689 	0.0543346	1       	5       	3.5     	1.23693 
22 	94    	0       	0.213156	0.160626 	0.0629749	1       	5       	3.62    	1.08425 
23 	88    	0       	0.213156	0.164593 	0.0592925	1       	5       	3.5     	1.18743 
24 	90    	0       	0.212603	0.170638 	0.0451009	1       	5       	3.38    	1.13824 
25 	86    	0       	0.212603	0.15651  	0.0659507	1       	5       	3.72    	1.01074 
26 	88    	0       	0.212603	0.164386 	0.056873 	1       	5       	3.72    	1.08701 
27 	93    	0       	0.212603	0.155188 	0.0601944	1       	5       	3.79    	1.15148 
28 	95    	0       	0.212603	0.166059 	0.0497   	1       	5       	4.05    	1.10793 
29 	86    	0       	0.212603	0.165496 	0.0553357	1       	5       	4       	1.09545 
30 	93    	0       	0.212603	0.163233 	0.0595394	1       	5       	3.93    	1.0794  
31 	89    	0       	0.212603	0.166875 	0.0570938	2       	5       	3.94    	1.15603 
32 	92    	0       	0.212603	0.16613  	0.0543266	2       	5       	3.97    	1.11763 
33 	86    	0       	0.212603	0.165458 	0.0535763	2       	5       	4.02    	1.09526 
34 	95    	0       	0.212603	0.157835 	0.0583945	1       	5       	4.06    	1.14734 
35 	93    	0       	0.212267	0.169785 	0.0453592	1       	5       	4.05    	1.16082 
36 	95    	0       	0.212267	0.166561 	0.0539756	1       	5       	4.15    	1.08051 
37 	94    	0       	0.212945	0.163956 	0.0559271	1       	5       	4.04    	1.26428 
38 	92    	0       	0.212267	0.168    	0.0534091	1       	5       	4.19    	1.08347 
39 	92    	0       	0.212267	0.155673 	0.0690929	1       	5       	4.22    	1.0448  
40 	91    	0       	0.212267	0.163816 	0.0567007	1       	5       	3.97    	1.11763 
41 	86    	0       	0.212267	0.164456 	0.0529288	1       	5       	3.86    	1.08646 
42 	93    	0       	0.212267	0.167395 	0.0510584	2       	5       	3.86    	1.03942 
43 	95    	0       	0.212347	0.168698 	0.0442767	1       	5       	3.71    	1.06108 
44 	90    	0       	0.212173	0.161763 	0.0555172	1       	5       	3.68    	1.0284  
45 	87    	0       	0.212173	0.165702 	0.0516931	1       	5       	3.58    	1.15048 
46 	86    	0       	0.212173	0.169795 	0.0425218	1       	5       	3.8     	1.23288 
47 	93    	0       	0.212173	0.170248 	0.0440544	1       	5       	3.87    	1.09229 
48 	94    	0       	0.212173	0.0850037	0.0923095	1       	5       	3.68    	0.988737
--- 21604.936949253082 sec ---
