   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg      	std     	min     	max     	avg     	std     
0  	100   	0       	0.193206	0.0624619	0.05682 	1       	5       	2.53    	1.18706 
1  	97    	0       	0.19614 	0.0866231	0.0600648	1       	4       	2.37    	1.07382 
2  	95    	0       	0.209831	0.106431 	0.059179 	1       	5       	2.3     	1.18743 
3  	93    	0       	0.210765	0.118564 	0.0590733	1       	4       	2.45    	1.17792 
4  	94    	0       	0.220311	0.126498 	0.0576147	1       	5       	2.52    	1.2687  
5  	95    	0       	0.220311	0.135355 	0.0581472	1       	5       	2.67    	1.31951 
6  	95    	0       	0.220311	0.148064 	0.0539146	1       	5       	2.78    	1.25363 
7  	96    	0       	0.223081	0.155992 	0.0535434	1       	5       	2.83    	1.217   
8  	90    	0       	0.223081	0.166577 	0.0499066	1       	5       	2.7     	1.13578 
9  	93    	0       	0.223081	0.160639 	0.0552461	1       	5       	2.9     	1.18743 
10 	93    	0       	0.223081	0.159755 	0.0606715	1       	5       	2.79    	1.13398 
11 	86    	0       	0.223081	0.158515 	0.061625 	1       	5       	2.75    	1.13468 
12 	88    	0       	0.223081	0.164326 	0.0549692	1       	5       	2.75    	1.12583 
13 	89    	0       	0.223081	0.167622 	0.0543079	1       	5       	2.54    	0.963535
14 	90    	0       	0.223081	0.168836 	0.0560053	1       	5       	2.65    	1.01366 
15 	92    	0       	0.223081	0.170591 	0.0536494	1       	5       	2.74    	0.97591 
16 	87    	0       	0.223081	0.177838 	0.0446702	1       	4       	2.59    	0.861336
17 	85    	0       	0.223081	0.178085 	0.0453187	1       	4       	2.59    	0.917551
18 	91    	0       	0.223081	0.167124 	0.0560811	1       	5       	2.6     	0.916515
19 	88    	0       	0.223081	0.167058 	0.0524671	1       	4       	2.38    	0.797245
20 	81    	0       	0.223081	0.173642 	0.0504019	1       	4       	2.47    	0.754387
21 	86    	0       	0.223081	0.1728   	0.0539236	1       	4       	2.37    	0.658103
22 	86    	0       	0.223081	0.161858 	0.0645167	1       	5       	2.36    	0.768375
23 	84    	0       	0.223081	0.156837 	0.0670486	1       	5       	2.42    	0.862322
24 	89    	0       	0.223081	0.159314 	0.0603218	1       	5       	2.42    	0.838809
25 	88    	0       	0.223081	0.167088 	0.0547283	1       	5       	2.39    	0.823347
26 	85    	0       	0.223081	0.176015 	0.0507449	1       	5       	2.54    	0.767072
27 	88    	0       	0.223081	0.16814  	0.0574687	1       	4       	2.56    	0.791454
28 	85    	0       	0.223081	0.173732 	0.0466782	1       	4       	2.47    	0.767529
29 	87    	0       	0.223081	0.174806 	0.0583356	1       	5       	2.49    	0.888763
30 	89    	0       	0.223081	0.16945  	0.0581853	1       	4       	2.46    	0.865101
31 	80    	0       	0.223081	0.17485  	0.0513187	1       	5       	2.48    	0.865794
32 	84    	0       	0.223081	0.174174 	0.0494765	1       	5       	2.48    	0.943186
33 	91    	0       	0.223081	0.169429 	0.0525743	1       	4       	2.43    	0.897274
34 	90    	0       	0.223081	0.159841 	0.063499 	1       	5       	2.61    	1.00891 
35 	89    	0       	0.223081	0.155179 	0.065441 	1       	5       	2.52    	1.07219 
36 	86    	0       	0.223081	0.162083 	0.0561357	1       	4       	2.56    	1.05186 
37 	89    	0       	0.223081	0.158617 	0.0570209	1       	4       	2.41    	0.960156
38 	91    	0       	0.223081	0.157222 	0.0620984	1       	5       	2.62    	1.09343 
39 	83    	0       	0.223081	0.167017 	0.0493986	1       	5       	2.65    	0.99373 
40 	88    	0       	0.223081	0.16287  	0.0595116	1       	4       	2.66    	0.950999
41 	88    	0       	0.223081	0.161273 	0.0617915	1       	4       	2.66    	0.907965
42 	90    	0       	0.223081	0.168494 	0.0524057	1       	5       	2.76    	0.884534
43 	94    	0       	0.223081	0.164056 	0.0584418	1       	5       	2.77    	0.881533
44 	91    	0       	0.223081	0.157636 	0.0657838	1       	5       	3.02    	0.87155 
45 	93    	0       	0.223081	0.171126 	0.0542334	1       	4       	2.95    	0.84113 
46 	87    	0       	0.223081	0.1799   	0.0322389	1       	4       	3.11    	0.746927
47 	91    	0       	0.223208	0.175514 	0.0483841	1       	5       	3.06    	0.822435
48 	92    	0       	0.223081	0.161526 	0.0693767	2       	5       	3.14    	0.748599
49 	91    	0       	0.223208	0.175385 	0.0536279	1       	4       	2.96    	0.760526
50 	88    	0       	0.223081	0.182346 	0.0417833	1       	5       	2.96    	0.705975
51 	91    	0       	0.223081	0.165659 	0.0589905	1       	4       	3.04    	0.72    
52 	89    	0       	0.223081	0.17276  	0.0583454	1       	5       	3.01    	0.932684
53 	90    	0       	0.223081	0.173512 	0.0543026	1       	5       	2.92    	0.913017
54 	89    	0       	0.223081	0.170357 	0.0519107	1       	5       	3.1     	0.818535
55 	93    	0       	0.223081	0.160655 	0.0624876	1       	5       	3.08    	0.770454
56 	91    	0       	0.223081	0.162009 	0.0632596	1       	5       	3.15    	0.829156
57 	89    	0       	0.223081	0.0878686	0.0959574	2       	5       	3.06    	0.785111
--- 21603.49465751648 sec ---
