pipeline	fitness	fit_time
varianceThreshold();maxAbsScaler();randomOverSampler('not minority');qda(0.06712212642754967)	0.9404837307501241	0.2639338970184326
minMaxScaler();bernoulliNB(0.9415905108510488,False)	0.955891393442623	0.19676756858825684
standardScaler(False,False);mlpClassifier(0.008355161552546286,0.0064562820344032604,'lbfgs','tanh')	0.942922565822156	2.3665249347686768
minMaxScaler();featureAgglomeration(12,'manhattan','average');maxAbsScaler();decisionTree('gini',0.8047851494859588,7,0.7373579640223058,14,'None')	invalid_ind	invalid_ind
varianceThreshold();linearSvc('l1','hinge',False,0.001521782333014085,16.080321086038772,'None')	invalid_ind	invalid_ind
maxAbsScaler();randomOverSampler('minority');maxAbsScaler();bernoulliNB(0.027339396753842712,False)	invalid_ind	invalid_ind
maxAbsScaler();robustScaler(True,False);fastICA(90,'deflation',True,'logcosh');gaussianNB(1.3152518671891693e-05)	0.9417877545951316	2.9771785736083984
bernoulliNB(4.405222909379373,True)	0.5	0.18856334686279297
logisticRegression('l1',False,0.75090639292528,'balanced')	invalid_ind	invalid_ind
varianceThreshold();extraTreesClassifier(54,'gini','sqrt',18,6,False,'balanced')	0.9661295330352708	0.751309871673584
rbfSampler(0.13625538594316222,88);smote('not majority',5);selectFwe(0.046114196121644455);qda(0.22809885175399558)	0.8778378042722306	0.3313584327697754
smoteTomek('not minority');varianceThreshold();adaBoost(61,0.0328693530281865,'SAMME.R',9)	0.9380402384500746	1.1173439025878906
maxAbsScaler();maxAbsScaler();mlpClassifier(0.09205948960184217,0.20523206949525172,'lbfgs','logistic')	invalid_ind	invalid_ind
randomForest(85,'entropy','sqrt',8,3,True,'balanced')	0.9555529682066568	1.3033397197723389
maxAbsScaler();kNN(1,'uniform',2)	0.9386906979632389	0.2336890697479248
multinomialNB(17.777963912623232,False)	0.8407600596125187	0.18564486503601074
varianceThreshold();simpleImputer('most_frequent');rbfSampler(0.18995282464797367,33);qda(0.7098465320424235)	0.5	0.2621924877166748
kNN(1,'distance',2)	0.9386906979632389	0.19916653633117676
varianceThreshold();multinomialNB(14.954529166806315,False)	0.8407600596125187	0.19405651092529297
maxAbsScaler();smoteTomek('not minority');decisionTree('entropy',0.951366087804344,5,0.9360344605772778,18,'None')	0.5	0.2366352081298828
minMaxScaler();minMaxScaler();adaBoost(63,0.12706229075589756,'SAMME',5)	invalid_ind	invalid_ind
minMaxScaler();sgdClassifier('hinge',0.0015528560017890516,9.076259050033712e-06,0.00842101527992593,0.08450247832688729,2.0239937117279206e-05,0.7241952293336381,False,'balanced')	0.9615188772975658	0.19770145416259766
varianceThreshold();decisionTree('gini',1.4457616619186007,4,0.46949885565576,2,'None')	0.8867284525583706	0.19006586074829102
minMaxScaler();maxAbsScaler();selectPercentile(30.63124781800242);adaBoost(80,0.03106383429007153,'SAMME',9)	0.9442902384500746	1.1783368587493896
maxAbsScaler();maxAbsScaler();gaussianNB(0.002565325755988635)	invalid_ind	invalid_ind
extraTreesClassifier(48,'gini','sqrt',19,13,False,'None')	0.957002918529558	0.6427245140075684
knnImputer('most_frequent','distance',7);minMaxScaler();varianceThreshold();varianceThreshold();decisionTree('gini',1.0499742748780247,9,0.1257270990492847,18,'None')	invalid_ind	invalid_ind
kNN(40,'distance',1)	0.934080042225534	0.2092878818511963
maxAbsScaler();varianceThreshold();varianceThreshold();maxAbsScaler();extraTreesClassifier(59,'gini','log2',5,11,False,'balanced_subsample')	invalid_ind	invalid_ind
maxAbsScaler();logisticRegression('l2',True,6.849091476102407,'None')	invalid_ind	invalid_ind
varianceThreshold();fastICA(80,'parallel',False,'exp');mlpClassifier(0.04597603674731886,0.0015325245866552987,'adam','identity')	0.9478763040238449	3.313474655151367
lda(0.660909027302905,124,1.3595885158970324e-05)	invalid_ind	invalid_ind
standardScaler(True,False);qda(0.05205925476304707)	0.951375434674615	0.18591809272766113
standardScaler(True,False);decisionTree('entropy',1.2896705977904097,4,0.8683228924305586,17,'balanced')	0.9310217958271236	0.18831229209899902
smote('not minority',5);smoteTomek('minority');nystroem('cosine',0.0001458620489364656,94,5,0.6529206656198894);qda(0.6018886793750868)	0.8496382886239445	0.5715696811676025
nystroem('poly',0.0006666392155985076,10,4,0.42129483748830965);truncatedSVD(24,'arpack');maxAbsScaler();linearSvc('l1','hinge',True,0.0010311633889414748,5.846289931841462,'balanced')	invalid_ind	invalid_ind
normalizer('max');maxAbsScaler();linearSvc('l2','hinge',True,0.0019460026116616006,0.0008510040266575999,'balanced')	0.5	0.20093679428100586
varianceThreshold();passiveAggressiveClassifier(True,'squared_hinge',0.0001787762016808281)	0.946142262791853	0.2070319652557373
selectFwe(0.018432112275702867);varianceThreshold();selectPercentile(68.94507999074575);gaussianNB(1.6253130281391222e-08)	0.9644901887729755	0.21921396255493164
maxAbsScaler();minMaxScaler();passiveAggressiveClassifier(True,'squared_hinge',0.0001494823857929238)	0.9510960009935421	0.22620368003845215
robustScaler(False,True);randomUnderSampler('not majority',False);nystroem('sigmoid',1.159485985214422,41,4,-0.8143485026513397);randomForest(100,'entropy','log2',14,18,True,'balanced_subsample')	0.945563214108296	2.20696759223938
maxAbsScaler();minMaxScaler();varianceThreshold();minMaxScaler();passiveAggressiveClassifier(False,'hinge',0.08761307198113735)	invalid_ind	invalid_ind
varianceThreshold();standardScaler(True,False);logisticRegression('l1',True,0.0009822697516131036,'None')	invalid_ind	invalid_ind
sgdClassifier('log',0.000544372302781207,2.176156231694957e-05,3.610025667419127e-05,0.009496781729239255,0.0020009612774752445,0.18539564388021795,False,'None')	0.9420640834575261	0.1918647289276123
robustScaler(True,False);selectPercentile(12.786247864706752);bernoulliNB(10.351014875540603,False)	0.9305840163934427	0.22016310691833496
standardScaler(False,True);qda(0.6168617659089066)	0.955955042225534	0.19579648971557617
fastICA(39,'deflation',False,'exp');fastICA(54,'parallel',True,'logcosh');adaBoost(34,0.7971357325643941,'SAMME.R',4)	invalid_ind	invalid_ind
varianceThreshold();varianceThreshold();lda(0.21378392278828362,185,0.00035207382956239263)	invalid_ind	invalid_ind
selectPercentile(71.351572341346);selectPercentile(24.39104742352783);fastICA(97,'parallel',False,'cube');decisionTree('gini',1.6381239119372035,14,0.17459896176928535,7,'balanced')	invalid_ind	invalid_ind
maxAbsScaler();simpleImputer('most_frequent');kNN(1,'distance',1)	0.9324406979632389	0.22873520851135254
extraTreesClassifier(18,'entropy','log2',18,17,False,'balanced_subsample')	0.9582401887729757	0.38828134536743164
minMaxScaler();qda(0.495970435596228)	0.9127965101838053	0.1919562816619873
maxAbsScaler();minMaxScaler();knnImputer('median','uniform',2);sgdClassifier('log',1.0443529725528382e-05,0.0023259850043537435,0.000255838248631989,0.0003637752462019802,1.2012746567283423e-06,0.5697102882243463,False,'balanced')	0.967674180327869	0.21823573112487793
multinomialNB(41.12134089451034,True)	0.871285084451068	0.18811392784118652
minMaxScaler();linearSvc('l1','squared_hinge',False,1.780368560386763e-05,0.001599102935725577,'None')	0.5	0.19596099853515625
sgdClassifier('log',0.0011820343556867153,0.03496342250066646,0.002329527290122639,8.479965508895698e-05,0.007858910147078062,0.14126103989608238,True,'balanced')	0.9691598360655738	0.19788742065429688
pca(0.6454886428776762,False);smoteTomek('minority');nystroem('rbf',0.0008738376583717172,45,3,0.18414377399098503);extraTreesClassifier(24,'gini','log2',16,1,True,'balanced_subsample')	0.9630992300049679	1.0900402069091797
maxAbsScaler();lda(0.8377580451354767,138,9.802474208291039e-05)	invalid_ind	invalid_ind
randomForest(98,'entropy','log2',20,7,False,'balanced')	0.9614598857426728	1.271899700164795
simpleImputer('median');minMaxScaler();fastICA(16,'deflation',False,'exp');adaBoost(66,0.4435696394260786,'SAMME.R',7)	0.9442545330352706	1.3997600078582764
minMaxScaler();varianceThreshold();randomOverSampler('minority');mlpClassifier(0.0002508470563634724,0.006327646361805942,'adam','tanh')	0.9553635742672627	4.134024620056152
varianceThreshold();normalizer('max');robustScaler(True,False);sgdClassifier('modified_huber',0.0005261862079082271,0.00013372674472094472,0.007869649149764218,0.0050975941222301015,1.516103097803824e-06,0.8652641323525037,False,'balanced')	0.8864133134624937	0.225860595703125
maxAbsScaler();minMaxScaler();varianceThreshold();bernoulliNB(0.569867922843641,True)	0.9576844262295083	0.19689297676086426
maxAbsScaler();varianceThreshold();gaussianNB(4.0905263406761536e-07)	0.9535115499254843	0.19835948944091797
maxAbsScaler();maxAbsScaler();featureAgglomeration(3,'manhattan','average');kNN(42,'distance',1)	invalid_ind	invalid_ind
randomOverSampler('not minority');logisticRegression('l2',True,0.0022838408660357475,'balanced')	invalid_ind	invalid_ind
varianceThreshold();robustScaler(True,False);multinomialNB(8.661961937456738,True)	invalid_ind	invalid_ind
minMaxScaler();multinomialNB(0.7371908916359777,False)	0.8901328862394436	0.1929795742034912
maxAbsScaler();maxAbsScaler();maxAbsScaler();gaussianNB(6.552883074767089e-09)	invalid_ind	invalid_ind
simpleImputer('most_frequent');passiveAggressiveClassifier(True,'squared_hinge',0.0002810633234043225)	0.9414726154992549	0.23183345794677734
varianceThreshold();knnImputer('most_frequent','distance',7);maxAbsScaler();bernoulliNB(0.7069900978630724,True)	0.5	0.21187376976013184
standardScaler(False,False);qda(0.7372726513205751)	0.9614598857426728	0.1875135898590088
fastICA(49,'parallel',False,'exp');knnImputer('mean','distance',4);simpleImputer('median');bernoulliNB(7.480180214697708,False)	0.5620373820168902	0.732079267501831
mlpClassifier(0.00020564965671334383,0.009157418404407416,'adam','relu')	0.9462959513164432	2.390845775604248
logisticRegression('l1',True,0.35060234415485675,'None')	invalid_ind	invalid_ind
minMaxScaler();minMaxScaler();sgdClassifier('hinge',0.07744138853577208,3.320203815465673e-08,0.03887372288195245,0.0006693900183270049,2.4079590308690788e-05,0.38907590662535724,False,'None')	invalid_ind	invalid_ind
minMaxScaler();rbfSampler(0.0010104958410771417,94);linearSvc('l1','squared_hinge',True,0.040987856131481204,0.0001287658511706669,'None')	invalid_ind	invalid_ind
knnImputer('most_frequent','distance',7);varianceThreshold();adaBoost(37,0.024805415520345684,'SAMME.R',8)	0.9333705911574764	0.6214373111724854
varianceThreshold();adaBoost(94,0.9603300232664319,'SAMME.R',3)	0.9337369597615499	1.2796871662139893
featureAgglomeration(19,'manhattan','complete');knnImputer('median','uniform',4);mlpClassifier(0.0039038522192699804,0.08379123085126387,'lbfgs','tanh')	invalid_ind	invalid_ind
robustScaler(False,False);minMaxScaler();mlpClassifier(0.0003186461777625522,0.3608208449192159,'sgd','logistic')	0.9510960009935421	1.9090385437011719
varianceThreshold();randomForest(78,'entropy','log2',4,1,True,'None')	0.9510960009935421	1.0121526718139648
