   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.941804	0.559257	0.352308	1       	5       	2.66    	1.19348 
1  	93    	0       	0.941804	0.650858	0.308167	1       	5       	2.51    	1.15321 
2  	94    	0       	0.942938	0.709468	0.299634	1       	5       	2.34    	1.18507 
3  	98    	0       	0.95156 	0.794263	0.244877	1       	4       	2.05    	1.05238 
4  	96    	0       	0.95156 	0.763539	0.274037	1       	5       	2.16    	1.18085 
5  	94    	0       	0.956551	0.849161	0.181421	1       	5       	2.11    	1.08531 
6  	97    	0       	0.956551	0.842428	0.205712	1       	4       	2       	0.979796
7  	92    	0       	0.956551	0.814729	0.246794	1       	5       	2.2     	1.06771 
8  	93    	0       	0.956551	0.851087	0.216092	1       	4       	2.15    	1.02347 
9  	97    	0       	0.956551	0.813782	0.265473	1       	5       	2.39    	1.148   
10 	90    	0       	0.956551	0.81179 	0.275296	1       	4       	2.45    	0.983616
11 	96    	0       	0.956551	0.835243	0.239725	1       	5       	2.64    	0.985089
12 	97    	0       	0.956551	0.845017	0.224295	1       	5       	2.79    	0.941223
13 	93    	0       	0.956551	0.877319	0.179482	1       	5       	2.87    	0.808146
14 	97    	0.5     	0.956551	0.9238  	0.0596283	1       	4       	2.71    	0.816027
15 	92    	0       	0.956551	0.864189	0.211331 	1       	5       	2.72    	0.788416
16 	94    	0       	0.956551	0.874725	0.214763 	1       	5       	2.8     	0.761577
17 	98    	0       	0.956551	0.86211 	0.233554 	1       	5       	2.91    	0.69419 
18 	98    	0       	0.956551	0.878247	0.210456 	1       	4       	2.68    	0.614492
19 	97    	0       	0.956551	0.0475303	0.207182 	1       	4       	2.78    	0.686731
--- 21632.641096115112 sec ---
