   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.725   	0.3418  	0.22271 	1       	5       	2.92    	1.03615 
1  	95    	0       	0.725   	0.421322	0.19013 	1       	5       	2.8     	1.07703 
2  	95    	0       	0.742037	0.452693	0.213399	1       	5       	2.77    	0.998549
3  	89    	0       	0.742037	0.462193	0.231569	1       	5       	3.05    	1.01366 
4  	99    	0       	0.74537 	0.486822	0.234931	1       	5       	3.06    	1.06602 
5  	88    	0       	0.742407	0.52352 	0.224557	1       	5       	2.96    	0.978979
6  	95    	0       	0.742407	0.573809	0.188468	1       	5       	2.72    	0.884081
7  	91    	0       	0.747037	0.581111	0.187047	1       	5       	2.62    	0.880682
8  	93    	0       	0.747778	0.611911	0.170249	1       	5       	2.69    	0.924067
9  	93    	0       	0.747778	0.614685	0.177959	1       	5       	2.78    	0.878408
10 	93    	0       	0.747778	0.564063	0.222868	1       	5       	2.72    	0.949526
11 	92    	0       	0.750556	0.580526	0.211929	1       	5       	2.64    	0.922171
12 	90    	0       	0.758333	0.629206	0.144289	1       	5       	2.67    	0.906146
13 	95    	0       	0.758333	0.603685	0.197193	1       	4       	2.78    	0.954777
14 	92    	0       	0.758333	0.601106	0.193614	1       	5       	2.86    	0.959375
15 	92    	0       	0.760185	0.60343 	0.194929	1       	5       	2.92    	0.945304
16 	89    	0       	0.760185	0.604104	0.191731	1       	5       	2.98    	0.958958
17 	94    	0       	0.760185	0.623459	0.169929	1       	4       	2.91    	0.949684
18 	88    	0       	0.760185	0.62518 	0.178191	1       	4       	2.89    	0.915369
19 	89    	0       	0.760185	0.628569	0.178614	1       	5       	3.07    	0.919293
20 	90    	0       	0.762222	0.623391	0.18863 	1       	5       	3.1     	0.781025
21 	95    	0       	0.762222	0.628831	0.185903	2       	5       	3.07    	0.777882
22 	95    	0       	0.765556	0.597559	0.214663	1       	5       	3.1     	0.818535
23 	96    	0       	0.765556	0.61545 	0.186819	1       	4       	3.05    	0.779423
24 	96    	0       	0.765556	0.615961	0.191761	2       	4       	3.22    	0.686731
25 	95    	0       	0.765556	0.628698	0.182553	2       	5       	3.24    	0.68    
26 	90    	0       	0.763148	0.637957	0.157779	2       	4       	3.09    	0.69419 
27 	92    	0       	0.763148	0.633485	0.173644	2       	4       	3.09    	0.708449
28 	93    	0       	0.770185	0.644143	0.17396 	1       	4       	3.01    	0.699929
29 	92    	0       	0.770185	0.657028	0.131804	1       	4       	3.06    	0.675574
30 	90    	0       	0.770185	0.646615	0.168918	2       	5       	3.19    	0.716868
31 	94    	0       	0.793148	0.602196	0.219718	1       	4       	3.1     	0.67082 
32 	98    	0       	0.793148	0.6281  	0.181321	1       	5       	3.18    	0.74    
33 	95    	0       	0.793148	0.626963	0.170146	1       	5       	3.11    	0.746927
34 	92    	0       	0.793148	0.6259  	0.194402	2       	5       	3.22    	0.756042
35 	90    	0       	0.793148	0.614176	0.208144	2       	5       	3.31    	0.716868
36 	90    	0       	0.793148	0.637352	0.190571	1       	5       	3.44    	0.897998
37 	93    	0       	0.793148	0.578767	0.255432	1       	5       	3.49    	0.953887
38 	91    	0       	0.793148	0.61442 	0.205317	1       	5       	3.49    	0.877439
39 	91    	0       	0.793148	0.584326	0.237397	1       	5       	3.29    	0.90879 
40 	90    	0       	0.793148	0.6151  	0.196506	1       	5       	3.44    	0.828493
41 	95    	0       	0.793148	0.628944	0.176922	1       	5       	3.27    	0.936536
42 	92    	0       	0.793148	0.634748	0.157984	1       	5       	3.25    	0.887412
43 	93    	0       	0.793148	0.640235	0.175742	1       	5       	3.35    	0.864581
44 	92    	0       	0.793148	0.621741	0.190568	1       	5       	3.24    	0.98102 
45 	85    	0       	0.793148	0.643326	0.161866	1       	5       	3.22    	0.922822
46 	92    	0       	0.793148	0.607487	0.212311	1       	5       	3.16    	0.924338
47 	92    	0       	0.793148	0.568294	0.251412	1       	5       	3.19    	0.966385
48 	88    	0       	0.793148	0.570919	0.24536 	1       	5       	3.22    	0.985698
49 	79    	0       	0.793148	0.63037 	0.188933	1       	5       	3.02    	1.03904 
50 	96    	0       	0.793148	0.60192 	0.205474	1       	5       	3.14    	0.938296
51 	89    	0       	0.793148	0.614837	0.208248	1       	5       	3.09    	0.939095
52 	89    	0       	0.793148	0.624646	0.194025	1       	5       	2.7     	1.0247  
53 	78    	0       	0.793148	0.615744	0.190156	1       	5       	2.69    	1.00693 
54 	95    	0       	0.793148	0.578481	0.237694	1       	5       	2.94    	0.98813 
55 	88    	0       	0.793148	0.63643 	0.167618	1       	5       	2.83    	1.09595 
56 	87    	0       	0.793148	0.604143	0.217486	1       	5       	2.98    	1.23272 
57 	94    	0       	0.793148	0.583783	0.23104 	1       	5       	3.05    	1.18638 
58 	88    	0       	0.793148	0.630126	0.186276	1       	5       	2.92    	1.02645 
59 	89    	0       	0.793148	0.641007	0.173657	1       	5       	2.87    	1.00653 
60 	90    	0       	0.793148	0.606022	0.225201	1       	5       	2.9     	0.921954
61 	82    	0       	0.797593	0.571478	0.254612	1       	5       	2.94    	1.0375  
62 	84    	0       	0.797593	0.610935	0.209647	1       	5       	3.01    	0.910988
63 	84    	0       	0.797593	0.626315	0.196748	1       	5       	2.85    	0.876071
64 	85    	0       	0.797593	0.623083	0.185936	1       	5       	2.76    	0.949947
65 	85    	0       	0.797593	0.608035	0.219137	1       	4       	2.61    	0.958071
