   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.969059	0.387788	0.280628	1       	5       	2.65    	1.17792 
1  	93    	0       	0.969059	0.508772	0.23777 	1       	5       	2.43    	1.08862 
2  	95    	0       	0.969059	0.567973	0.210147	1       	5       	2.49    	1.13574 
3  	97    	0       	0.972809	0.594488	0.213307	1       	5       	2.51    	1.03436 
4  	93    	0       	0.991296	0.604345	0.278213	1       	5       	2.53    	1.16151 
5  	90    	0       	0.991296	0.638686	0.257937	1       	4       	2.35    	1.08051 
6  	95    	0       	1       	0.661623	0.253321	1       	5       	2.44    	1.17745 
7  	97    	0       	1       	0.685284	0.282096	1       	5       	2.76    	1.2093  
8  	98    	0       	1       	0.70403 	0.262367	1       	5       	3.09    	1.09631 
9  	91    	0       	1       	0.705843	0.273148	1       	4       	2.91    	1.12334 
10 	92    	0       	1       	0.69733 	0.296645	1       	5       	2.97    	1.09046 
11 	94    	0       	1       	0.715573	0.271496	1       	5       	3.15    	1.01366 
12 	93    	0       	1       	0.658281	0.311499	1       	5       	3.24    	0.928655
13 	95    	0       	1       	0.755705	0.271182	1       	4       	3.2     	0.916515
14 	94    	0       	1       	0.760092	0.28449 	1       	5       	3.3     	0.830662
15 	93    	0       	1       	0.778102	0.290473	2       	5       	3.56    	0.652993
16 	90    	0       	1       	0.819013	0.272131	2       	5       	3.69    	0.611474
17 	98    	0       	1       	0.868086	0.235468	1       	4       	3.67    	0.566657
18 	96    	0       	1       	0.839559	0.29748 	1       	4       	3.68    	0.614492
19 	90    	0       	1       	0.857785	0.273322	1       	5       	3.75    	0.622495
20 	95    	0       	1       	0.849623	0.30936 	1       	5       	3.81    	0.577841
21 	93    	0       	1       	0.876612	0.247595	1       	5       	3.75    	0.71239 
22 	94    	0       	1       	0.858121	0.283005	1       	5       	3.88    	0.49558 
23 	97    	0       	1       	0.873168	0.245086	1       	5       	3.75    	0.653835
24 	97    	0       	1       	0.83013 	0.307533	1       	5       	3.88    	0.570614
25 	95    	0       	1       	0.872268	0.259599	1       	4       	3.89    	0.421782
26 	98    	0       	1       	0.872687	0.25752 	1       	5       	3.9     	0.412311
27 	91    	0       	1       	0.858346	0.285676	1       	4       	3.85    	0.572276
28 	94    	0       	1       	0.800045	0.321596	1       	5       	3.81    	0.577841
29 	98    	0       	1       	0.847092	0.258068	1       	5       	3.81    	0.658711
30 	95    	0       	1       	0.854229	0.282633	2       	5       	3.92    	0.391918
31 	97    	0       	1       	0.856442	0.284693	2       	5       	3.86    	0.510294
32 	95    	0       	1       	0.901547	0.214427	2       	5       	3.84    	0.484149
33 	93    	0       	1       	0.856742	0.292773	2       	5       	3.84    	0.484149
34 	98    	0       	1       	0.807062	0.331059	1       	5       	3.81    	0.594895
35 	98    	0       	1       	0.865467	0.270377	1       	5       	3.81    	0.523355
36 	94    	0       	1       	0.817474	0.302571	1       	5       	3.81    	0.594895
37 	94    	0       	1       	0.833443	0.292093	1       	5       	3.82    	0.572364
38 	92    	0       	1       	0.851783	0.304282	1       	5       	3.94    	0.395474
39 	90    	0       	1       	0.838469	0.297966	1       	5       	3.87    	0.541387
40 	93    	0       	1       	0.854504	0.283233	1       	5       	3.86    	0.510294
41 	95    	0       	1       	0.843968	0.314344	3       	5       	3.98    	0.315595
42 	95    	0       	1       	0.899305	0.233803	2       	4       	3.91    	0.319218
43 	94    	0       	1       	0.885303	0.244223	1       	5       	3.86    	0.548088
44 	95    	0       	1       	0.905271	0.206701	2       	5       	3.89    	0.397366
45 	96    	0       	1       	0.887106	0.256327	1       	5       	3.82    	0.589576
46 	98    	0       	1       	0.831238	0.311007	1       	4       	3.8     	0.6     
47 	91    	0       	1       	0.884143	0.245371	1       	4       	3.86    	0.490306
48 	92    	0       	1       	0.858034	0.256588	1       	5       	3.85    	0.554527
49 	93    	0       	1       	0.807963	0.324337	1       	5       	3.76    	0.618385
50 	98    	0       	1       	0.831595	0.299608	1       	5       	3.8     	0.6     
51 	95    	0       	1       	0.830287	0.301254	1       	4       	3.73    	0.705053
52 	89    	0       	1       	0.906743	0.201776	1       	5       	3.78    	0.62578 
53 	95    	0       	1       	0.846027	0.286626	1       	4       	3.77    	0.597578
54 	98    	0       	1       	0.849823	0.277054	1       	5       	3.76    	0.618385
55 	98    	0       	1       	0.833   	0.293479	1       	4       	3.75    	0.572276
56 	95    	0       	1       	0.833878	0.291866	2       	4       	3.78    	0.481248
57 	97    	0       	1       	0.839621	0.2893  	2       	5       	3.79    	0.553082
58 	95    	0       	1       	0.843285	0.298522	1       	5       	3.82    	0.554617
59 	94    	0       	1       	0.87931 	0.266562	2       	4       	3.87    	0.39128 
60 	97    	0       	1       	0.832323	0.297594	1       	5       	3.76    	0.708802
61 	96    	0       	1       	0.823077	0.299147	1       	5       	3.75    	0.668954
62 	99    	0       	1       	0.8701  	0.256635	1       	5       	3.79    	0.570877
63 	88    	0       	1       	0.836248	0.298877	2       	4       	3.82    	0.477074
64 	93    	0       	1       	0.853588	0.278307	1       	5       	3.79    	0.604897
65 	93    	0       	1       	0.887592	0.24196 	2       	4       	3.82    	0.477074
66 	95    	0       	1       	0.858322	0.283467	1       	5       	3.89    	0.466798
67 	99    	0       	1       	0.85818 	0.292444	1       	4       	3.89    	0.507839
68 	95    	0       	1       	0.878232	0.259464	1       	4       	3.81    	0.627615
69 	94    	0       	1       	0.913331	0.205875	1       	4       	3.83    	0.566657
70 	94    	0       	1       	0.940899	0.165437	3       	4       	3.96    	0.195959
71 	97    	0       	1       	0.885648	0.262658	2       	5       	3.95    	0.327872
72 	97    	0       	1       	0.933363	0.187326	1       	4       	3.88    	0.430813
73 	95    	0       	1       	0.860237	0.311874	2       	5       	3.91    	0.376696
74 	98    	0       	1       	0.895191	0.235765	2       	5       	3.85    	0.47697 
75 	96    	0       	1       	0.89727 	0.235241	2       	4       	3.79    	0.475289
76 	98    	0       	1       	0.860177	0.295009	1       	4       	3.77    	0.597578
77 	98    	0       	1       	0.851342	0.305007	1       	5       	3.86    	0.510294
78 	99    	0       	1       	0.845189	0.279507	1       	5       	3.78    	0.656963
79 	93    	0       	1       	0.899426	0.227026	1       	5       	3.79    	0.637103
80 	96    	0       	1       	0.812815	0.34568 	1       	4       	3.72    	0.649307
81 	95    	0       	1       	0.849104	0.276311	1       	5       	3.71    	0.711266
82 	99    	0       	1       	0.833987	0.289443	1       	5       	3.73    	0.614085
83 	96    	0       	1       	0.834684	0.307282	3       	4       	3.85    	0.357071
84 	97    	0       	1       	0.829978	0.293387	1       	4       	3.75    	0.572276
85 	95    	0       	1       	0.82313 	0.32812 	1       	5       	3.74    	0.642184
86 	95    	0       	1       	0.809289	0.337648	1       	4       	3.74    	0.576541
87 	97    	0       	1       	0.854255	0.298549	1       	5       	3.85    	0.497494
88 	96    	0       	1       	0.896939	0.248536	2       	4       	3.86    	0.424735
89 	95    	0       	1       	0.888579	0.264498	1       	5       	3.84    	0.542586
90 	95    	0       	1       	0.928613	0.206874	1       	4       	3.8     	0.547723
91 	95    	0       	1       	0.87971 	0.285051	1       	5       	3.85    	0.497494
92 	96    	0       	1       	0.890396	0.262379	2       	4       	3.88    	0.40694 
93 	99    	0       	1       	0.900829	0.265905	1       	5       	3.93    	0.38092 
94 	98    	0       	1       	0.879629	0.265451	1       	5       	3.89    	0.507839
95 	96    	0       	1       	0.886752	0.252637	2       	4       	3.88    	0.354401
96 	98    	0       	1       	0.828173	0.311017	1       	4       	3.81    	0.523355
97 	90    	0       	1       	0.832653	0.321148	1       	5       	3.85    	0.497494
98 	93    	0       	1       	0.871525	0.282312	2       	4       	3.89    	0.343366
99 	92    	0       	1       	0.879386	0.279157	1       	5       	3.94    	0.395474
100	94    	0       	1       	0.875452	0.25616 	1       	5       	3.87    	0.559553
--- 10104.74555182457 sec ---
