   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.900613	0.544229	0.375814	1       	5       	2.65    	1.17792 
1  	95    	0       	0.91826 	0.713892	0.287668	1       	5       	2.53    	1.05314 
2  	96    	0       	0.91826 	0.789317	0.211474	1       	5       	2.64    	1.07257 
3  	95    	0       	0.920809	0.815715	0.165709	1       	4       	2.57    	0.951367
4  	94    	0       	0.924926	0.843239	0.139164	1       	5       	2.52    	0.994786
5  	95    	0       	0.924926	0.825113	0.214991	1       	5       	2.63    	0.996544
6  	92    	0       	0.927672	0.816263	0.233362	1       	5       	2.68    	0.957914
7  	94    	0       	0.927672	0.851212	0.180432	1       	5       	2.65    	0.876071
8  	89    	0       	0.92826 	0.846587	0.199241	1       	5       	2.74    	0.955196
9  	91    	0       	0.930392	0.862159	0.160101	1       	4       	2.63    	0.934398
10 	87    	0       	0.935686	0.845433	0.199231	1       	4       	2.6     	0.938083
11 	90    	0       	0.935686	0.850746	0.184476	1       	4       	2.88    	0.919565
12 	91    	0       	0.944706	0.831362	0.216925	1       	5       	2.99    	0.888763
13 	93    	0       	0.944706	0.844694	0.199143	1       	5       	3.12    	0.886341
14 	92    	0       	0.944706	0.844189	0.200903	2       	5       	3.11    	0.823347
15 	96    	0       	0.944706	0.847223	0.18454 	1       	4       	3.1     	0.830662
16 	94    	0       	0.945686	0.835081	0.216346	1       	4       	3.19    	0.796178
17 	93    	0       	0.945686	0.865282	0.159089	1       	4       	3.08    	0.820731
18 	94    	0       	0.945686	0.868204	0.142995	1       	4       	3.08    	0.844748
19 	88    	0       	0.945686	0.854088	0.198828	1       	5       	3.23    	0.822861
20 	94    	0       	0.953137	0.871151	0.15771 	2       	5       	3.27    	0.785557
21 	98    	0       	0.953137	0.853914	0.179987	1       	5       	3.11    	0.81111 
22 	93    	0       	0.953137	0.868708	0.162704	1       	5       	3.35    	0.829156
23 	88    	0       	0.953137	0.863645	0.179487	1       	5       	3.52    	0.754718
24 	91    	0       	0.953137	0.89146 	0.102669	2       	5       	3.6     	0.616441
25 	89    	0       	0.953922	0.853373	0.187028	1       	4       	3.55    	0.71239 
26 	93    	0       	0.953922	0.862247	0.183694	1       	5       	3.59    	0.762824
27 	94    	0       	0.953922	0.831126	0.239382	1       	5       	3.57    	0.803181
28 	92    	0       	0.953922	0.853123	0.203052	1       	5       	3.52    	0.793473
29 	94    	0.786324	0.953922	0.907563	0.0289065	1       	5       	3.54    	0.713022
30 	95    	0       	0.953922	0.897083	0.102087 	1       	4       	3.51    	0.727942
31 	91    	0       	0.953922	0.867834	0.180997 	2       	4       	3.5     	0.714143
32 	88    	0       	0.953922	0.870488	0.16871  	1       	4       	3.57    	0.764918
33 	92    	0       	0.953922	0.841447	0.232749 	1       	4       	3.44    	0.886792
34 	89    	0       	0.953922	0.836635	0.248501 	1       	5       	3.41    	0.917551
35 	90    	0.5     	0.953922	0.888389	0.0728103	1       	5       	3.4     	0.969536
36 	95    	0       	0.953922	0.895002	0.103887 	1       	5       	3.55    	0.876071
37 	94    	0       	0.953922	0.864859	0.181647 	1       	5       	3.49    	0.899944
38 	98    	0       	0.953922	0.847511	0.209514 	1       	5       	3.52    	0.805978
39 	94    	0       	0.953922	0.817956	0.262263 	1       	5       	3.5     	0.781025
40 	97    	0       	0.953922	0.858463	0.183903 	1       	5       	3.4     	0.87178 
41 	93    	0       	0.953922	0.871242	0.136559 	1       	5       	3.54    	0.78    
42 	94    	0       	0.953922	0.852787	0.202797 	1       	5       	3.51    	0.865968
43 	86    	0       	0.953922	0.854685	0.202001 	1       	5       	3.46    	0.865101
44 	94    	0       	0.953922	0.851816	0.204115 	1       	5       	3.57    	0.851528
45 	95    	0       	0.953922	0.828684	0.249011 	1       	5       	3.56    	0.92    
46 	90    	0       	0.953922	0.85017 	0.217809 	1       	5       	3.72    	0.7494  
47 	95    	0       	0.953922	0.857647	0.172581 	1       	5       	3.67    	0.749066
48 	95    	0       	0.953922	0.846619	0.202377 	1       	5       	3.66    	0.695989
49 	91    	0       	0.953922	0.876479	0.116132 	2       	5       	3.62    	0.703989
50 	88    	0       	0.953922	0.835246	0.237138 	1       	5       	3.57    	0.827708
51 	97    	0       	0.953922	0.828681	0.225135 	1       	5       	3.52    	0.888594
52 	94    	0       	0.953922	0.783717	0.295442 	1       	5       	3.71    	0.778396
53 	94    	0       	0.953922	0.835744	0.233844 	1       	4       	3.71    	0.697065
54 	94    	0       	0.953922	0.819361	0.238096 	1       	4       	3.66    	0.710211
55 	94    	0       	0.953922	0.880671	0.137471 	1       	4       	3.74    	0.672607
56 	96    	0       	0.953922	0.870356	0.160032 	1       	4       	3.73    	0.676092
57 	98    	0       	0.953922	0.867128	0.162157 	1       	5       	3.65    	0.84113 
58 	96    	0       	0.953922	0.863842	0.167993 	2       	5       	3.61    	0.719653
59 	89    	0       	0.953922	0.867171	0.184512 	1       	5       	3.55    	0.852936
60 	97    	0       	0.953922	0.861995	0.186757 	2       	5       	3.7     	0.685565
61 	90    	0       	0.953922	0.848778	0.221022 	2       	5       	3.72    	0.633719
62 	93    	0       	0.953922	0.852821	0.205078 	2       	4       	3.7     	0.6245  
63 	95    	0       	0.953922	0.880708	0.117546 	1       	4       	3.74    	0.626418
64 	93    	0       	0.953922	0.873665	0.159422 	1       	4       	3.56    	0.752596
65 	94    	0       	0.953922	0.860833	0.186064 	1       	4       	3.55    	0.753326
66 	92    	0       	0.953922	0.871281	0.16336  	1       	4       	3.51    	0.768049
67 	96    	0       	0.953922	0.871654	0.165607 	1       	5       	3.64    	0.714423
68 	94    	0       	0.953922	0.877514	0.139743 	1       	4       	3.61    	0.70562 
69 	91    	0.675711	0.953922	0.895588	0.0461375	1       	4       	3.53    	0.853874
70 	94    	0       	0.953922	0.862814	0.171521 	1       	4       	3.6     	0.734847
71 	94    	0       	0.956471	0.863957	0.185379 	1       	5       	3.64    	0.755248
72 	96    	0       	0.956471	0.857952	0.18686  	1       	5       	3.65    	0.753326
73 	91    	0       	0.956471	0.861821	0.186752 	1       	5       	3.62    	0.784602
74 	92    	0       	0.956471	0.869612	0.182639 	1       	5       	3.68    	0.661513
75 	95    	0       	0.959804	0.878295	0.182381 	1       	4       	3.67    	0.633325
76 	93    	0       	0.959804	0.873785	0.168785 	1       	4       	3.72    	0.584466
77 	98    	0       	0.959804	0.8834  	0.138494 	1       	4       	3.65    	0.71239 
78 	92    	0       	0.959804	0.851081	0.218358 	1       	5       	3.73    	0.614085
79 	96    	0.723456	0.959804	0.91381 	0.0332268	2       	4       	3.8     	0.469042
80 	95    	0       	0.959804	0.87703 	0.162471 	1       	4       	3.73    	0.630159
81 	99    	0       	0.961569	0.856298	0.203244 	1       	5       	3.76    	0.549909
82 	94    	0       	0.963137	0.868415	0.180339 	1       	5       	3.74    	0.593633
83 	93    	0       	0.963137	0.862144	0.183238 	1       	5       	3.76    	0.531413
84 	91    	0       	0.963137	0.865663	0.185207 	2       	4       	3.68    	0.545527
85 	91    	0       	0.963137	0.860952	0.18613  	1       	5       	3.54    	0.726911
86 	95    	0       	0.963137	0.872533	0.181123 	2       	4       	3.64    	0.608605
87 	93    	0       	0.963137	0.860977	0.200967 	1       	5       	3.67    	0.648922
88 	92    	0       	0.963137	0.859066	0.204883 	2       	5       	3.64    	0.591946
89 	95    	0       	0.963137	0.874671	0.14708  	2       	4       	3.61    	0.614736
90 	95    	0       	0.963137	0.88965 	0.135411 	2       	4       	3.72    	0.567098
91 	95    	0       	0.963137	0.885149	0.143649 	2       	4       	3.8     	0.52915 
92 	98    	0.5     	0.963137	0.899385	0.0708353	1       	4       	3.67    	0.721873
93 	96    	0       	0.963137	0.844267	0.227882 	1       	5       	3.74    	0.626418
94 	94    	0       	0.963137	0.869949	0.186856 	1       	5       	3.78    	0.60959 
95 	94    	0       	0.963137	0.872497	0.171838 	1       	4       	3.82    	0.497594
96 	96    	0       	0.963137	0.881785	0.141495 	1       	4       	3.73    	0.630159
97 	91    	0       	0.963137	0.874499	0.165017 	1       	5       	3.7     	0.754983
98 	98    	0       	0.963137	0.86635 	0.171914 	1       	5       	3.76    	0.69455 
99 	93    	0       	0.963137	0.851698	0.204612 	1       	5       	3.66    	0.777432
100	92    	0       	0.963137	0.86286 	0.188405 	1       	5       	3.7     	0.768115
--- 17701.541010141373 sec ---
