   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.812073	0.405365	0.257953	1       	5       	2.93    	1.05124 
1  	97    	0       	0.812073	0.487643	0.212972	1       	5       	2.81    	1.0742  
2  	94    	0       	0.843371	0.522928	0.200736	1       	5       	2.65    	1.13468 
3  	93    	0       	0.843371	0.554336	0.173486	1       	5       	2.64    	1.08185 
4  	93    	0       	0.843371	0.539828	0.207037	1       	5       	2.59    	1.13221 
5  	98    	0       	0.843371	0.528209	0.210277	1       	5       	2.58    	1.09709 
6  	94    	0       	0.852703	0.559457	0.206649	1       	5       	2.64    	1.17915 
7  	93    	0       	0.863731	0.58454 	0.198034	1       	5       	2.41    	1.09631 
8  	95    	0       	0.863731	0.601611	0.193773	1       	4       	2.39    	1.12156 
9  	91    	0       	0.874718	0.655828	0.144875	1       	5       	2.39    	1.10359 
10 	93    	0       	0.874718	0.682578	0.131529	1       	5       	2.39    	1.13044 
11 	92    	0       	0.876381	0.657619	0.224308	1       	5       	2.56    	1.10743 
12 	94    	0       	0.876381	0.696684	0.17966 	1       	5       	2.53    	0.984429
13 	98    	0       	0.880224	0.67462 	0.212449	1       	5       	2.66    	0.982039
14 	93    	0       	0.880224	0.657283	0.251418	1       	5       	2.91    	0.837795
15 	96    	0       	0.880224	0.679282	0.2162  	1       	5       	2.96    	0.870862
16 	97    	0       	0.880224	0.708636	0.190929	1       	4       	2.9     	0.793725
17 	94    	0       	0.880762	0.710708	0.192724	1       	4       	2.95    	0.817007
18 	97    	0       	0.881329	0.726433	0.221062	1       	4       	3.2     	0.748331
19 	97    	0       	0.881329	0.699048	0.245657	1       	5       	3.35    	0.726292
20 	95    	0       	0.881329	0.726118	0.200268	1       	5       	3.33    	0.707884
21 	94    	0       	0.881329	0.699501	0.257951	1       	5       	3.38    	0.66    
22 	97    	0       	0.887346	0.697893	0.240751	1       	4       	3.3     	0.685565
23 	98    	0       	0.887346	0.734958	0.211126	2       	5       	3.48    	0.556417
24 	94    	0       	0.887346	0.698742	0.255412	1       	4       	3.38    	0.628967
25 	93    	0       	0.887346	0.686099	0.24877 	1       	5       	3.27    	0.661135
26 	95    	0       	0.887346	0.67278 	0.267538	1       	4       	3.21    	0.604897
27 	92    	0       	0.887355	0.634733	0.297008	2       	4       	3.24    	0.549909
28 	96    	0       	0.887355	0.69834 	0.233694	1       	5       	3.27    	0.580603
29 	96    	0       	0.887355	0.668227	0.280296	1       	5       	3.31    	0.673721
30 	89    	0       	0.887886	0.660207	0.312712	2       	5       	3.36    	0.62482 
31 	94    	0       	0.887886	0.657419	0.287439	2       	5       	3.32    	0.581034
32 	95    	0       	0.887886	0.625846	0.311495	1       	5       	3.35    	0.622495
33 	98    	0       	0.887886	0.641854	0.282944	1       	5       	3.44    	0.682935
34 	97    	0       	0.887886	0.700841	0.231019	1       	5       	3.39    	0.798686
35 	91    	0       	0.887886	0.657115	0.26537 	1       	5       	3.19    	0.808641
36 	96    	0       	0.887886	0.700912	0.231697	1       	5       	3.25    	0.739932
37 	95    	0       	0.887886	0.697764	0.236027	1       	4       	3.17    	0.721873
38 	93    	0       	0.887886	0.671347	0.278958	1       	4       	3.23    	0.580603
39 	98    	0       	0.887886	0.706144	0.219696	1       	4       	3.26    	0.626418
40 	96    	0       	0.887886	0.732684	0.184207	1       	5       	3.28    	0.601332
41 	93    	0       	0.887886	0.693151	0.244232	1       	4       	3.25    	0.638357
42 	94    	0       	0.887886	0.683968	0.241644	1       	5       	3.36    	0.700286
43 	96    	0       	0.887886	0.668192	0.258173	1       	5       	3.39    	0.66174 
44 	88    	0       	0.887886	0.717332	0.197271	2       	5       	3.37    	0.642729
45 	93    	0       	0.887886	0.745245	0.15557 	1       	4       	3.4     	0.632456
46 	88    	0       	0.887886	0.700718	0.243309	1       	5       	3.45    	0.653835
47 	94    	0       	0.887886	0.733959	0.195108	1       	5       	3.47    	0.684909
48 	94    	0       	0.887886	0.746068	0.197188	1       	5       	3.46    	0.684398
49 	96    	0       	0.887886	0.720444	0.223109	1       	5       	3.51    	0.655668
50 	91    	0       	0.887886	0.686716	0.250752	1       	5       	3.63    	0.577148
51 	93    	0       	0.887886	0.705869	0.24154 	3       	5       	3.78    	0.437721
52 	92    	0       	0.887886	0.735842	0.206386	1       	5       	3.75    	0.589491
53 	91    	0       	0.887886	0.709104	0.235235	1       	5       	3.7     	0.714143
54 	97    	0       	0.887886	0.691228	0.272323	2       	5       	3.72    	0.601332
55 	92    	0       	0.887886	0.677591	0.279209	1       	5       	3.7     	0.574456
56 	96    	0       	0.887886	0.648407	0.302577	1       	4       	3.65    	0.71239 
57 	95    	0       	0.887886	0.695527	0.24204 	1       	5       	3.59    	0.762824
58 	91    	0       	0.887886	0.708143	0.233506	1       	5       	3.6     	0.678233
59 	91    	0       	0.887886	0.390834	0.397418	1       	5       	3.65    	0.638357
--- 21601.113360881805 sec ---
