   	      	                         fitness                         	                          size                          
   	      	---------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg       	std      	min     	max     	avg     	std     
0  	100   	0       	0.487725	0.00487725	0.0485281	1       	5       	2.57    	1.14241 
1  	96    	0       	0.5     	0.0199854 	0.0979083	1       	5       	2.64    	1.09105 
2  	94    	0       	0.547263	0.015639  	0.0889848	1       	5       	2.7     	1.00499 
3  	99    	0       	0.590745	0.0313813 	0.124458 	1       	5       	2.69    	0.976678
4  	97    	0       	0.605788	0.0633637 	0.17222  	1       	5       	2.88    	1.0028  
5  	91    	0       	0.646991	0.0702307 	0.182618 	1       	5       	2.86    	1.02    
6  	91    	0       	0.646991	0.111568  	0.217447 	1       	5       	2.9     	1.04403 
7  	95    	0       	0.646991	0.135349  	0.229073 	1       	5       	2.87    	1.11045 
8  	93    	0       	0.679969	0.176056  	0.252364 	1       	5       	3.03    	1.09046 
9  	94    	0       	0.679969	0.296478  	0.265176 	1       	5       	2.95    	0.90967 
10 	97    	0       	0.681425	0.344135  	0.262145 	1       	5       	3.11    	0.881986
11 	97    	0       	0.697856	0.384176  	0.25736  	1       	4       	3.07    	0.839702
12 	97    	0       	0.697856	0.37719   	0.251139 	1       	5       	3.14    	0.76184 
13 	92    	0       	0.697856	0.397065  	0.253357 	1       	5       	3.26    	0.769675
14 	89    	0       	0.697856	0.416632  	0.260736 	2       	5       	3.51    	0.670746
15 	96    	0       	0.698826	0.404245  	0.278085 	1       	5       	3.46    	0.753923
16 	91    	0       	0.697856	0.483498  	0.250145 	1       	5       	3.47    	0.713512
17 	98    	0       	0.694319	0.464664  	0.268295 	1       	4       	3.45    	0.638357
18 	97    	0       	0.693833	0.468218  	0.277    	1       	5       	3.46    	0.726911
19 	97    	0       	0.698826	0.470056  	0.279037 	1       	5       	3.45    	0.739932
20 	93    	0       	0.698826	0.472567  	0.267333 	1       	5       	3.41    	0.775822
21 	97    	0       	0.698826	0.463062  	0.275417 	1       	5       	3.35    	0.817007
22 	96    	0       	0.698826	0.46438   	0.255812 	1       	5       	3.44    	0.778717
23 	94    	0       	0.698826	0.511253  	0.233828 	1       	5       	3.59    	0.633956
24 	98    	0       	0.698826	0.504578  	0.238689 	2       	4       	3.66    	0.533292
25 	96    	0       	0.698826	0.45611   	0.271779 	1       	5       	3.67    	0.584038
26 	94    	0       	0.698826	0.492203  	0.248023 	1       	5       	3.66    	0.695989
27 	92    	0       	0.698826	0.495974  	0.262731 	1       	4       	3.57    	0.751731
28 	92    	0       	0.698826	0.459702  	0.292505 	1       	5       	3.52    	0.818291
29 	95    	0       	0.698826	0.49746   	0.278249 	1       	5       	3.56    	0.739189
30 	93    	0       	0.698826	0.488299  	0.274544 	1       	5       	3.61    	0.691303
31 	94    	0       	0.698826	0.44543   	0.292126 	2       	5       	3.72    	0.53066 
32 	96    	0       	0.698826	0.47725   	0.257336 	1       	5       	3.57    	0.667158
33 	99    	0       	0.698826	0.469392  	0.260851 	1       	5       	3.54    	0.684398
34 	98    	0       	0.698826	0.414398  	0.298813 	1       	5       	3.33    	0.775306
35 	96    	0       	0.698826	0.454768  	0.297066 	1       	5       	3.48    	0.74135 
36 	94    	0       	0.698826	0.458186  	0.292507 	1       	5       	3.4     	0.69282 
37 	93    	0       	0.698826	0.503985  	0.26782  	1       	5       	3.39    	0.630793
38 	96    	0       	0.698826	0.52986   	0.24988  	1       	5       	3.38    	0.718053
39 	97    	0       	0.698826	0.500871  	0.268129 	1       	5       	3.41    	0.7496  
40 	94    	0       	0.698826	0.427555  	0.301127 	1       	5       	3.37    	0.795676
41 	98    	0       	0.698826	0.435169  	0.293267 	1       	5       	3.5     	0.714143
--- 21620.993590831757 sec ---
