   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.999429	0.28018 	0.327293	1       	5       	2.91    	1.12334 
1  	98    	0       	0.999429	0.470648	0.344879	1       	5       	2.66    	1.17661 
2  	95    	0       	0.999429	0.600205	0.31239 	1       	5       	2.5     	1.17047 
3  	98    	0       	0.99947 	0.678401	0.298753	1       	5       	2.5     	1.26886 
4  	97    	0       	0.99947 	0.745644	0.292282	1       	5       	2.55    	1.20312 
5  	96    	0       	0.99947 	0.717033	0.330701	1       	5       	2.38    	1.21474 
6  	91    	0       	0.99947 	0.806758	0.263511	1       	5       	2.22    	1.22131 
7  	86    	0       	0.999471	0.834209	0.260582	1       	5       	2.18    	1.20316 
8  	81    	0       	0.999588	0.851105	0.270995	1       	5       	2.04    	1.13947 
9  	93    	0       	0.999588	0.746074	0.377932	1       	5       	2.08    	1.10164 
--- 21652.91700553894 sec ---
