   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.873101	0.547699	0.367212	1       	5       	2.69    	1.28604 
1  	91    	0       	0.873101	0.659616	0.300517	1       	5       	2.38    	1.23919 
2  	95    	0       	0.875718	0.753587	0.230031	1       	5       	2.04    	1.11283 
3  	94    	0       	0.876395	0.735681	0.271106	1       	4       	2.17    	1.10503 
4  	92    	0       	0.876395	0.782939	0.208816	1       	4       	2.49    	1.17043 
5  	95    	0       	0.876395	0.724009	0.288381	1       	5       	2.68    	1.16516 
6  	96    	0       	0.876395	0.808431	0.159438	1       	5       	2.53    	1.20379 
7  	95    	0       	0.876395	0.777077	0.226139	1       	5       	2.65    	1.30671 
8  	92    	0       	0.876395	0.792232	0.209968	1       	5       	2.58    	1.33551 
9  	93    	0       	0.876395	0.782646	0.214187	1       	5       	2.75    	1.34443 
10 	92    	0       	0.876395	0.752807	0.272406	1       	5       	2.69    	1.38344 
11 	95    	0       	0.876395	0.796648	0.220647	1       	5       	2.7     	1.36748 
12 	92    	0       	0.876395	0.768116	0.254433	1       	5       	2.65    	1.33697 
13 	95    	0       	0.876395	0.74149 	0.283737	1       	5       	2.72    	1.30445 
14 	95    	0       	0.876395	0.817025	0.189262	1       	5       	2.69    	1.29379 
15 	96    	0       	0.876395	0.774304	0.25918 	1       	5       	2.77    	1.22356 
16 	93    	0       	0.876395	0.779769	0.252727	1       	5       	2.73    	1.31799 
17 	93    	0       	0.876395	0.746583	0.285688	1       	5       	2.76    	1.21754 
18 	92    	0       	0.876395	0.807068	0.201075	1       	5       	2.62    	1.21474 
19 	94    	0       	0.876395	0.821501	0.176704	1       	5       	2.52    	1.11786 
20 	95    	0       	0.876395	0.814862	0.195039	1       	5       	2.49    	1.07233 
21 	93    	0       	0.876395	0.841151	0.125077	1       	4       	2.61    	0.968452
22 	97    	0       	0.876395	0.809832	0.205729	1       	5       	2.65    	0.99373 
23 	95    	0       	0.876395	0.773314	0.247758	1       	5       	2.71    	1.08899 
24 	95    	0       	0.876395	0.788412	0.235287	1       	5       	2.72    	1.04957 
25 	96    	0       	0.876395	0.79416 	0.211817	1       	5       	2.75    	1.04283 
26 	99    	0       	0.876395	0.81438 	0.183341	1       	5       	2.82    	0.973447
27 	97    	0       	0.876395	0.781586	0.239074	1       	5       	2.82    	1.07126 
28 	94    	0       	0.876395	0.815687	0.191243	1       	5       	2.89    	1.06672 
29 	96    	0       	0.876395	0.764792	0.262722	1       	5       	2.85    	1.05238 
30 	94    	0       	0.876395	0.795303	0.217432	1       	5       	2.72    	0.970361
31 	99    	0       	0.876395	0.819224	0.167596	1       	5       	2.97    	0.953467
32 	93    	0.537215	0.876395	0.855922	0.044759	1       	5       	2.91    	0.980765
33 	93    	0       	0.876395	0.846285	0.103675	1       	5       	2.92    	1.09252 
34 	93    	0       	0.876395	0.789712	0.239337	1       	5       	2.94    	0.977957
35 	98    	0       	0.876395	0.828654	0.154345	1       	5       	3.03    	0.83012 
36 	98    	0       	0.876395	0.808314	0.207722	1       	5       	3.12    	0.803492
37 	93    	0       	0.876395	0.796006	0.222191	1       	5       	3.05    	0.804674
38 	97    	0       	0.876395	0.779377	0.240174	1       	5       	3.07    	0.815537
39 	99    	0       	0.876395	0.772027	0.255639	1       	5       	3.04    	0.798999
40 	93    	0       	0.876395	0.790813	0.21909 	1       	5       	3.07    	0.886059
41 	96    	0       	0.876395	0.820886	0.171303	1       	5       	2.97    	0.8995  
42 	95    	0       	0.876395	0.817159	0.174257	1       	5       	3.13    	0.879261
43 	95    	0       	0.876395	0.810354	0.195594	1       	5       	2.89    	0.988888
44 	98    	0       	0.876395	0.752953	0.269237	1       	5       	3.14    	1.02    
45 	94    	0       	0.876395	0.787793	0.218657	1       	5       	2.99    	0.974628
46 	96    	0       	0.876395	0.7901  	0.234841	1       	5       	2.92    	1.01666 
47 	93    	0       	0.876395	0.808684	0.207478	1       	5       	2.67    	1.10503 
48 	93    	0       	0.876395	0.79823 	0.213958	1       	5       	2.7     	1.06301 
49 	96    	0       	0.876395	0.801006	0.209813	1       	4       	2.81    	0.902164
50 	93    	0       	0.876395	0.790084	0.228741	1       	5       	2.87    	0.976268
51 	92    	0       	0.876395	0.811692	0.198739	1       	4       	2.85    	0.942072
52 	94    	0       	0.876395	0.782075	0.228246	1       	4       	2.91    	0.960156
53 	96    	0       	0.876395	0.791372	0.226344	1       	5       	2.83    	1.06822 
54 	90    	0       	0.876395	0.798532	0.222504	1       	5       	2.87    	1.10141 
55 	95    	0       	0.876395	0.779548	0.24878 	1       	5       	2.8     	1.0583  
56 	98    	0       	0.876395	0.376554	0.425588	1       	5       	2.61    	1.07606 
--- 22336.91677260399 sec ---
