   	      	                        fitness                         	                          size                          
   	      	--------------------------------------------------------	--------------------------------------------------------
gen	nevals	min     	max     	avg     	std     	min     	max     	avg     	std     
0  	100   	0       	0.401735	0.172274	0.119729	1       	5       	2.79    	1.20246 
1  	94    	0       	0.41276 	0.202622	0.126854	1       	5       	2.78    	1.19649 
2  	91    	0       	0.424931	0.22842 	0.137569	1       	5       	2.82    	1.13472 
3  	95    	0       	0.424931	0.2793  	0.112184	1       	5       	2.7     	1.05357 
4  	90    	0       	0.433856	0.296676	0.127884	1       	5       	2.84    	1.00717 
5  	96    	0       	0.433856	0.313826	0.116327	1       	4       	2.71    	1.01287 
6  	97    	0       	0.433856	0.339019	0.0988271	1       	4       	2.68    	1.00876 
7  	93    	0       	0.433856	0.330509	0.116983 	1       	4       	2.7     	1.06301 
8  	91    	0       	0.433856	0.36454 	0.0761216	1       	4       	2.67    	1.0301  
9  	88    	0       	0.433856	0.352354	0.0997496	1       	4       	2.76    	1.0012  
10 	94    	0       	0.435171	0.324365	0.14428  	1       	5       	2.72    	1.01074 
11 	93    	0       	0.435171	0.358761	0.104939 	1       	5       	2.62    	1.08425 
12 	87    	0       	0.435171	0.355378	0.11849  	1       	5       	2.59    	1.11441 
13 	91    	0       	0.435171	0.358855	0.112836 	1       	5       	2.61    	1.07606 
14 	92    	0       	0.435171	0.372609	0.0915131	1       	4       	2.56    	1.00319 
15 	92    	0       	0.435966	0.379283	0.0944188	1       	5       	2.48    	1.00479 
16 	92    	0       	0.435966	0.372494	0.0980888	1       	4       	2.45    	1.0332  
17 	93    	0       	0.435966	0.352284	0.12383  	1       	5       	2.43    	1.03204 
18 	94    	0       	0.435171	0.356153	0.105472 	1       	4       	2.66    	0.961457
19 	97    	0       	0.435171	0.355035	0.113752 	1       	4       	2.54    	0.910165
20 	93    	0       	0.436555	0.343707	0.12091  	1       	5       	2.63    	1.10141 
21 	91    	0       	0.435171	0.344619	0.133483 	1       	5       	2.91    	1.01089 
22 	90    	0       	0.4367  	0.365178	0.110625 	1       	5       	2.75    	0.90967 
23 	91    	0       	0.4367  	0.371528	0.10671  	1       	4       	2.75    	0.817007
24 	93    	0       	0.4367  	0.378357	0.10692  	1       	5       	2.75    	0.852936
25 	81    	0       	0.439866	0.353047	0.139897 	1       	5       	2.76    	0.849941
26 	93    	0       	0.4367  	0.378158	0.104165 	1       	5       	2.85    	0.852936
27 	95    	0       	0.436103	0.371095	0.094536 	2       	4       	2.92    	0.783326
28 	96    	0       	0.437477	0.370726	0.109253 	1       	5       	3.07    	0.897274
29 	87    	0       	0.436317	0.361283	0.120868 	1       	5       	2.85    	0.864581
30 	89    	0       	0.450174	0.345262	0.135606 	1       	5       	2.86    	0.938296
31 	91    	0       	0.450174	0.373258	0.105459 	1       	5       	2.94    	0.957288
32 	87    	0       	0.450174	0.372462	0.116351 	1       	5       	2.98    	0.905318
33 	89    	0       	0.450174	0.365726	0.119235 	1       	5       	2.95    	0.829156
34 	90    	0       	0.450174	0.367788	0.126437 	1       	5       	2.78    	0.866949
35 	89    	0       	0.450174	0.366804	0.116505 	1       	5       	2.77    	0.834925
36 	86    	0       	0.450174	0.367789	0.117235 	1       	5       	2.76    	0.788923
37 	93    	0       	0.450174	0.370146	0.1023   	1       	4       	2.64    	0.793977
38 	93    	0       	0.450174	0.378793	0.104613 	1       	5       	2.6     	0.787401
39 	93    	0       	0.450174	0.356838	0.132588 	1       	5       	2.73    	0.822861
40 	90    	0.147511	0.450174	0.395585	0.0617733	1       	4       	2.68    	0.719444
41 	84    	0       	0.450174	0.371009	0.11244  	2       	4       	2.65    	0.739932
42 	90    	0       	0.450174	0.381137	0.1043   	1       	5       	2.6     	0.787401
43 	83    	0       	0.450174	0.388821	0.0944235	2       	4       	2.67    	0.721873
44 	90    	0       	0.450174	0.386779	0.0914954	1       	5       	2.74    	0.82    
45 	91    	0       	0.450174	0.363886	0.129814 	2       	4       	2.83    	0.749066
46 	93    	0       	0.450174	0.353058	0.139845 	1       	5       	2.84    	0.770973
47 	91    	0       	0.450174	0.360128	0.118723 	2       	5       	2.96    	0.786384
48 	90    	0       	0.450174	0.362257	0.114201 	2       	4       	2.88    	0.711056
49 	91    	0       	0.450174	0.375407	0.110762 	2       	5       	3.03    	0.83012 
50 	86    	0       	0.450174	0.362569	0.127889 	1       	5       	2.89    	0.84729 
51 	94    	0       	0.450174	0.36744 	0.117945 	1       	5       	3.03    	0.910549
52 	92    	0       	0.450174	0.377151	0.102155 	2       	5       	3       	0.824621
53 	93    	0       	0.450174	0.364079	0.131226 	2       	5       	3.05    	0.84113 
54 	95    	0       	0.450174	0.377012	0.106741 	2       	5       	3.16    	0.845222
55 	97    	0       	0.450174	0.370542	0.11542  	1       	5       	3.06    	0.967678
56 	88    	0       	0.450174	0.376908	0.112986 	1       	5       	2.95    	0.99373 
57 	91    	0       	0.450174	0.346043	0.140745 	1       	5       	3.13    	0.955563
58 	93    	0       	0.450174	0.35829 	0.124345 	1       	5       	3.02    	1.00975 
59 	90    	0       	0.450174	0.388242	0.0991998	1       	5       	2.99    	1.07233 
60 	94    	0       	0.450174	0.365533	0.130252 	1       	5       	3.07    	1.09777 
61 	95    	0       	0.450174	0.3666  	0.123517 	1       	5       	3.04    	1.04805 
62 	92    	0       	0.450174	0.36919 	0.120864 	1       	5       	2.95    	1.00374 
63 	93    	0       	0.450174	0.370819	0.124112 	1       	5       	2.86    	0.98    
64 	90    	0       	0.450174	0.363267	0.118567 	1       	4       	2.81    	1.0266  
65 	92    	0       	0.451371	0.355325	0.129253 	1       	5       	3.05    	1.08051 
66 	96    	0       	0.450174	0.360361	0.119864 	1       	5       	3       	1.14018 
67 	93    	0       	0.450174	0.362166	0.12984  	1       	5       	3.15    	1.00374 
68 	96    	0       	0.450174	0.359872	0.136833 	1       	5       	3.45    	0.942072
69 	97    	0       	0.450174	0.350455	0.149071 	1       	5       	3.6     	0.883176
70 	92    	0       	0.450174	0.376632	0.103673 	1       	5       	3.48    	0.95373 
71 	96    	0       	0.450174	0.34003 	0.147003 	1       	5       	3.49    	1.02465 
72 	100   	0       	0.450174	0.372431	0.117396 	1       	5       	3.46    	1.00419 
73 	96    	0       	0.450174	0.381692	0.105942 	1       	5       	3.41    	0.949684
74 	98    	0       	0.450174	0.0210943	0.0920201	2       	5       	3.48    	0.964158
--- 21609.085322618484 sec ---
