,evoflow_basic,evoflow_op,evoflow_ens
abalone,0.1453,0.1517,0.1517
amazon,0.7562,0.5222,0.4669
breastcancer,0.7427,0.7427,0.7427
car,0.614,0.2739,0.614
convex,0.0112,0.007,0.7172
dexter,0.0717,0.0337,0.6764
dorothea,0.3982,0.3982,0.3982
germancredit,0.2087,0.6149,0.2858
gisette,0.1595,0.1595,1.0
glass,1.0,0.7326,1.0
hillvalley,0.1365,0.1365,0.1365
ionosphere,0.2462,0.0332,0.5459
krvskp,0.0444,0.1954,0.0444
madelon,1.0,1.0,1.0
secom,0.7475,0.1484,0.66
semeion,0.2774,0.1453,0.1651
shuttle,0.0766,0.0186,0.0703
spambase,0.2087,0.4524,0.2087
waveform,0.996,0.0249,0.996
winequalityred,0.0408,0.658,0.0884
winequalitywhite,0.5306,0.5885,0.6215
yeast,0.0362,0.1165,0.1165
