,evoflow_basic,evoflow_op,evoflow_ens
abalone,0.04844093322753906,0.0758514404296875,0.1230926513671875
amazon,0.7561664581298828,0.26109886169433594,0.15563546075803855
breastcancer,0.6021043185341932,0.24756078730477016,0.27946200028675405
car,0.3454475304692257,0.0912895702260051,0.30701389803382517
convex,0.005580902099609375,0.0023250579833984375,0.7172177958043885
dexter,0.03586828701753493,0.011219491909347764,0.6764499016658587
dorothea,0.13272666931152344,0.21616744995117188,0.17971249487899976
germancredit,0.069580078125,0.6149092970181265,0.14290618896484375
gisette,0.05316925048828125,0.05316925048828125,1.0
glass,0.9854354858398438,0.2442115938326087,0.982627294725416
hillvalley,0.04550026389635839,0.0832645166635504,0.06372261047363281
ionosphere,0.1230926513671875,0.01105490098741919,0.5458755493164062
krvskp,0.014790379438383712,0.19536769157632872,0.01653449266792266
madelon,0.8694877624511719,0.6215133666992188,0.7011814117431641
secom,0.7475000777680043,0.049468494673688884,0.3299827575683594
semeion,0.2773551940917969,0.04844093322753906,0.082550048828125
shuttle,0.07661792341167123,0.006210256590449749,0.03515697309591544
spambase,0.0758514404296875,0.4523754119873047,0.069580078125
waveform,0.49800872802734375,0.00830841064453125,0.5958194732666016
winequalityred,0.013616561889648438,0.6579763685443323,0.0442084385246971
winequalitywhite,0.17685317993164062,0.2942523956298828,0.6215133666992188
yeast,0.012079238891601562,0.058258056640625,0.06372261047363281
