dataset,EvoFlow_TPOT,EvoFlow_Auto-Sklearn,EvoFlow_MLPlan,TPOT_Auto-Sklearn,TPOT_MLPlan,Auto-Sklearn_MLPlan
abalone,0.24,0.24,0.8408,0.24,0.24,0.24
amazon,0.0,0.0,0.0,0.0,0.0061,0.0
breastcancer,0.4934,0.1479,0.096,0.4114,0.03,0.0168
car,0.0005,0.0,0.0008,0.2108,0.0363,0.2305
convex,0.0724,0.0005,0.0,0.0826,0.0008,0.0021
dexter,0.0006,0.0,0.0,0.0291,0.0,0.0098
dorothea,0.0042,0.0042,0.2277,0.5548,0.16,0.5548
germancredit,0.0006,0.6742,0.0,0.0,0.0,0.0
gisette,0.0015,0.0,0.1448,1.0,1.0,1.0
glass,0.0045,0.0484,0.0,0.9354,0.9354,0.9354
hillvalley,0.002,0.0,0.0,0.0,0.0,0.2734
ionosphere,0.9854,0.0,0.2462,0.001,0.1731,0.042
krvskp,0.333,0.6915,0.6915,0.6915,0.413,0.4628
madelon,0.2162,0.0,0.0,0.0,0.0,0.0
secom,0.0,0.0,0.0688,0.8983,0.0882,0.072
semeion,1.0,0.0,1.0,0.0,1.0,0.0
shuttle,0.0128,0.8608,0.0,0.015,0.8608,0.0
spambase,1.0,0.0535,1.0,0.0688,1.0,0.0138
waveform,0.0002,0.0,0.0,0.0,0.0484,0.0
winequalityred,0.0,0.0012,0.0,0.4091,0.0,0.0009
winequalitywhite,0.032,0.498,0.0,0.1452,0.1312,0.3072
yeast,0.0,0.024,0.0,0.0,0.0006,0.0
