dataset,EvoFlow_TPOT,EvoFlow_Auto-Sklearn,EvoFlow_MLPlan,TPOT_Auto-Sklearn,TPOT_MLPlan,Auto-Sklearn_MLPlan
abalone,0.04,0.0583,0.8408,0.1054,0.0441,0.0759
amazon,0.0,0.0,0.0,0.0,0.0061,0.0
breastcancer,0.4934,0.0493,0.024,0.2057,0.006,0.0028
car,0.0001,0.0,0.0002,0.1054,0.0121,0.2305
convex,0.0362,0.0001,0.0,0.0826,0.0002,0.0007
dexter,0.0002,0.0,0.0,0.0291,0.0,0.0049
dorothea,0.0007,0.0008,0.0759,0.3038,0.04,0.2774
germancredit,0.0003,0.6742,0.0,0.0,0.0,0.0
gisette,0.0003,0.0,0.0362,0.6215,0.4749,0.4091
glass,0.0009,0.0121,0.0,0.7285,0.3118,0.376
hillvalley,0.001,0.0,0.0,0.0,0.0,0.2734
ionosphere,0.9854,0.0,0.1231,0.0002,0.0577,0.0105
krvskp,0.0555,0.2305,0.3788,0.33,0.0826,0.1157
madelon,0.2162,0.0,0.0,0.0,0.0,0.0
secom,0.0,0.0,0.0172,0.8983,0.0441,0.024
semeion,0.7841,0.0,0.7285,0.0,0.9563,0.0
shuttle,0.0032,0.4304,0.0,0.005,0.4524,0.0
spambase,0.8124,0.0107,0.6215,0.0172,0.7841,0.0023
waveform,0.0001,0.0,0.0,0.0,0.0484,0.0
winequalityred,0.0,0.0006,0.0,0.4091,0.0,0.0003
winequalitywhite,0.0064,0.498,0.0,0.0484,0.0328,0.1536
yeast,0.0,0.024,0.0,0.0,0.0003,0.0
